danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.458,0.543,-8.374,0.0329,0.325,3.29e-06,0.183,0.227,135.794,3iJpkw9KKdzMNZQVrdRzsl,309330
0.205,0.556,-7.376,0.0357,0.35,0.0,0.429,0.129,177.693,2CNqVcNFHZxPOEnL2sPjkx,406437
0.212,0.653,-7.244,0.0461,0.0349,0.0,0.67,0.0787,173.088,1fUxbQqXmUB0B871Myk7IC,707470
0.547,0.819,-5.829,0.271,0.102,1.17e-06,0.0751,0.503,171.973,0Ci05XtL8veIKewQRDlbgo,196901
0.534,0.529,-11.219,0.0447,0.54,5.25e-06,0.0966,0.533,159.929,7FPk4lvq4NbxZhAcVn6vdI,232687
0.275,0.643,-6.231,0.0379,0.0623,0.0,0.103,0.172,157.167,0tlJgLE8ddOq2L2k6YBc2y,338194
0.424,0.757,-4.201,0.0813,0.15,6.06e-06,0.214,0.306,154.424,56rwjJ8kxKhVs16jjfLIbG,180946
0.406,0.553,-5.816,0.0351,0.58,0.0,0.111,0.328,149.868,4IMtVDoGeSkYclIoL3jGTX,298173
0.531,0.711,-4.874,0.0583,0.244,0.0,0.163,0.291,149.645,6VWwx9RvQadw4APUH0YrpR,209507
0.559,0.558,-8.3,0.0294,0.405,0.00055,0.182,0.202,147.972,14tG1j1nDdzXFWm3w5fc0C,273802
0.302,0.685,-5.165,0.043,0.043,0.0193,0.0885,0.0668,147.823,5pdYFUzu94cFVCqOFCd3lk,361413
0.438,0.514,-8.479,0.0318,0.116,0.0,0.73,0.201,146.797,4A7X1OObKEp7KAZOYrcPnr,350358
0.409,0.649,-6.061,0.0335,0.0168,0.0,0.268,0.194,145.894,181meJmk2QVQJnPsagVreh,305773
0.472,0.601,-8.325,0.0431,0.0657,0.000233,0.405,0.299,145.458,1JHlpXVIJTSQA6F8KMrpjc,268000
0.386,0.821,-4.642,0.0405,0.0606,0.0,0.0832,0.257,144.192,4JZ3skUPbW9QqCBPmbqvrT,207321
0.449,0.441,-8.344,0.0273,0.701,0.000213,0.338,0.327,143.925,5ENxnpwWGiNKcm9g4AU7Mz,322953
0.485,0.346,-9.611,0.0333,0.827,0.0,0.0978,0.192,143.904,58Ru3mM7f99AgLIIHWca2Y,282080
0.372,0.595,-7.856,0.0328,0.0953,6.57e-05,0.0849,0.212,143.807,4QKruZSoRzfvwhsDi8diKn,268639
0.381,0.532,-7.842,0.0372,0.00318,0.0,0.098,0.1,143.774,0VqMBJyeeRA4I6mSPO5uqZ,302577
0.376,0.65,-7.579,0.0338,0.0487,0.000181,0.166,0.304,143.771,6AQWVm4CSPxd8xNmgWjwmA,239171
0.327,0.411,-7.927,0.0318,0.0243,0.0,0.0873,0.18,143.43,1g1XJ6h4AjmyfLyVQW87nN,280872
0.504,0.706,-5.093,0.0424,0.287,0.0,0.0772,0.146,141.74,3gNy667YREH2roPybRrbPo,222039
0.255,0.558,-7.974,0.0359,0.0169,2.17e-05,0.0879,0.183,141.486,49EYyEIx0xpGuPLWxSsNgX,397216
0.477,0.684,-7.8,0.0395,0.0731,0.0,0.703,0.155,140.022,7MXheyD5Stj50XiDpzzxmE,401813
0.449,0.433,-9.551,0.0299,0.144,0.0,0.0697,0.154,139.976,2yYsMsc5Ic7HZoOS3DbGMZ,422135
0.445,0.577,-8.285,0.0355,0.0206,1.28e-05,0.253,0.116,139.963,0rrDGNRps64Pgz1Gw6AYBi,318874
0.52,0.505,-8.572,0.0351,0.232,0.0,0.119,0.177,139.935,6WJ8948zRpfEmUMgxGrAoK,228613
0.345,0.377,-7.715,0.0292,0.219,5.51e-06,0.0549,0.0767,139.798,3VHNtJNVPazkHGpeGgpoOd,424373
0.25,0.438,-8.55,0.0314,0.344,0.0,0.108,0.186,139.215,5VcdC4ECqjaqJMRxlt7foA,359374
0.317,0.523,-8.672,0.0331,0.137,2.56e-05,0.0928,0.254,138.302,5tvyBw58RUK5l2QyKghTzn,510522
0.458,0.42,-6.974,0.0281,0.455,0.0,0.0798,0.231,137.753,0UAZGHyrzJcgrXGu2EUK7J,246720
0.452,0.318,-7.1,0.0318,0.87,3e-05,0.277,0.201,135.889,48LRu8wJeDbUaAlZMg7fBF,333053
0.492,0.299,-10.911,0.0273,0.334,0.0,0.146,0.2,135.874,6ejOvm8qWPmieRiyCBQI2b,366287
0.386,0.236,-8.221,0.0317,0.68,0.0,0.117,0.312,135.726,6hPlQuK6U4XBudaLrvT4Ya,242267
0.455,0.336,-9.057,0.0278,0.86,0.000127,0.124,0.118,134.818,71dU3qEvAdaFSQ1TthJvPP,268348
0.538,0.721,-7.405,0.0336,0.332,0.0225,0.0973,0.386,133.01,5z3Y2383oNQaCjpbmnSK7J,282108
0.347,0.548,-7.047,0.0389,0.594,0.0,0.137,0.236,130.798,0LnkKSCtoWYMziO5MBbKCv,292855
0.491,0.383,-12.239,0.0334,0.904,0.035,0.183,0.0897,130.068,6XKKR2EK2L6MV6zRQQuVxe,220455
0.441,0.376,-8.533,0.0317,0.73,2.27e-06,0.0928,0.0994,130.055,6VqwQYT5jkmNqsdc1xRhVM,309173
0.45,0.376,-8.533,0.0315,0.729,2.36e-06,0.0928,0.0991,130.052,11uopkJGlq3ur9GZIeI7qE,309173
0.461,0.592,-7.815,0.0336,0.0383,0.0,0.171,0.243,130.144,59anQv3Oeypyj7vVRZ7S9g,324280
0.503,0.452,-10.116,0.0259,0.235,0.00013,0.123,0.154,129.999,1RgorTtTAK0noQI7Rkr53e,308423
0.497,0.566,-7.07,0.0331,0.0901,0.0,0.0942,0.245,129.865,4HP7ZEPa8nCVhKsGK9gzKM,265519
0.288,0.115,-15.022,0.0359,0.948,3.98e-06,0.121,0.242,129.283,0O4JOPpHz1JdshdQ8PuGNe,305493
0.537,0.577,-7.517,0.0342,0.221,0.0,0.0779,0.198,128.056,0ILZCXYCSq6AnBvBSOnmeB,263213
0.45,0.703,-4.813,0.0342,0.239,0.0,0.106,0.262,126.948,1uYqNIeFnuuAyECweX2jI7,242085
0.262,0.361,-10.187,0.0333,0.508,0.00268,0.108,0.056,126.786,5Mw9bXG1dLNhbjofkVS2oR,535963
0.28,0.229,-11.366,0.0342,0.851,0.00121,0.0705,0.0394,125.673,0VJc0VM2TJWp6wi4szBFaw,266827
0.541,0.867,-6.381,0.0505,0.00303,1.49e-05,0.807,0.51,125.033,0uD79S0GpgAfMRv6nc7KJg,233947
0.437,0.573,-7.939,0.0309,0.00593,1.21e-05,0.128,0.159,123.964,0X98LFhbqEYiUv4g1Vjppr,351349
0.49,0.565,-6.706,0.036,0.125,0.0,0.157,0.282,121.915,6VblPMjY5Vu8p6aPvjBWZE,198906
0.697,0.944,-2.796,0.0327,0.00173,0.000162,0.32,0.846,119.994,5legkLUDyq0qOg4TR7wUAs,223627
0.565,0.709,-3.99,0.0554,0.183,0.000114,0.12,0.198,119.983,4EKTLzgEPHij7hKpqjuZH5,204271
0.511,0.545,-5.819,0.0343,0.445,1.04e-06,0.185,0.133,119.687,0RGIthuwU7fubTalnVc5fl,299453
0.244,0.232,-14.747,0.0365,0.625,0.000102,0.147,0.0547,119.667,3jMS1GtmeRxhNIR6M7VhhR,255469
0.386,0.182,-10.189,0.0332,0.9,0.0,0.0959,0.152,118.497,1GfXRWcCxijFPbR5hYNh5q,231867
0.577,0.742,-6.052,0.0432,0.00472,6.65e-06,0.126,0.229,116.999,4Ot0zyWL4fzzVuduj6GZ9L,293707
0.539,0.778,-6.19,0.0479,0.179,0.0,0.0815,0.397,115.991,3ceCm2igtJA2EioXddFxMx,217278
0.247,0.267,-10.052,0.0309,0.866,4.21e-06,0.1,0.151,113.606,4qHVQTNhEKyCty4Edqn33c,259399
0.53,0.872,-6.039,0.0444,0.00583,0.0,0.41,0.444,108.976,0MiivvQA6j1yHa76w3GAJK,260147
0.517,0.41,-9.678,0.0259,0.451,0.000113,0.09,0.143,106.033,61tocgks0qcsTuShYOJq0y,503384
0.432,0.668,-5.744,0.0319,0.0323,0.0,0.239,0.155,101.979,7DGS5a43ZMNplbl69A5ZPa,277880
0.532,0.796,-4.72,0.0555,0.112,0.0,0.239,0.442,95.142,3lxkhK8FClFLOERZK2hYql,481168
0.245,0.723,-4.953,0.0626,0.41,3.97e-06,0.253,0.358,93.858,776imhCfnvp9NoIYJ8uj0G,445586
0.461,0.427,-10.385,0.0355,0.601,0.0,0.0623,0.0979,90.857,32r0t2fUFcrZ63Eg5IVRdz,312267
0.456,0.68,-6.577,0.0334,0.0538,0.0,0.0767,0.13,83.919,4Jq4Iru3LBhVE5uzmzpFv8,318660
0.417,0.595,-6.943,0.0419,0.104,0.0,0.0708,0.16,82.412,0EkyU9Ms0g7F2RJJgoypHa,261093
0.259,0.466,-6.741,0.0331,0.0878,0.0,0.113,0.106,81.922,3bGce0Swt1wEfOLZkCLFLI,182971
0.546,0.532,-7.576,0.027,0.0143,0.0,0.0642,0.336,81.966,6iN9sMVuodvL5sihElq083,219378
0.259,0.466,-6.741,0.0331,0.0878,0.0,0.113,0.106,81.922,3bGce0Swt1wEfOLZkCLFLI,182971
0.39,0.7,-5.159,0.0375,0.157,0.0,0.213,0.3,81.83,0f1EG0vU7ITLcrUIb4c8i2,231223
0.245,0.233,-11.219,0.0326,0.949,7.27e-05,0.0937,0.0926,79.641,7xOOHNV0eB6lmVmpnkR6TJ,349459
0.413,0.582,-6.211,0.0388,0.0403,0.0,0.112,0.111,77.976,3biY5EDhRUiS2uwtgJBmGC,261147
0.532,0.735,-5.54,0.0425,0.0771,0.0,0.124,0.319,77.044,7ePpMxyHYteDKAeNWeT6vi,206496
0.415,0.0435,-13.721,0.0346,0.772,0.0,0.103,0.25,76.874,3rTgpstAffCuS5553Um3Kp,286034
0.293,0.154,-15.799,0.033,0.821,1.45e-05,0.0862,0.199,61.879,6CNkqkMkoSIhQoCMcxXE4S,268800
0.51,0.644,-5.567,0.0341,0.0821,0.0,0.191,0.293,76.001,0KNvJzxdbslBddN27BEhfm,217680
0.408,0.256,-8.016,0.0306,0.833,9.59e-06,0.0998,0.186,73.854,5tnRnYnQIm9iJCraZGpOJp,185347
0.185,0.717,-5.735,0.0455,0.0496,0.0,0.546,0.1,73.6,573mudwDhftRSSbvLHC8xS,382573
0.315,0.319,-9.024,0.0338,0.547,0.0,0.0724,0.0394,67.697,38Oqk3geeK0GAYA7dxxUZ9,289758
