danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.4,0.00478,-32.946,0.0382,0.993,0.92,0.103,0.122,74.012,2vUY8WL94C9ortPW7AwwEE,143960
0.304,0.0456,-22.597,0.0445,0.976,0.577,0.101,0.191,81.715,6KjNPS8Qp0l5emxGuzgTL4,183036
0.136,0.0519,-25.312,0.0477,0.917,0.892,0.0705,0.0399,144.653,3ZS8mhkBb8JcO57NurUpGF,156333
0.349,0.0208,-26.719,0.0502,0.993,0.93,0.0854,0.128,68.673,6k72nrGlCMKzs5TZXUF9Gp,281803
0.108,0.137,-18.607,0.047,0.952,0.421,0.235,0.0901,83.868,6Wn3TQhCt3HEQVpw8fXRwJ,269013
0.137,0.0759,-25.74,0.0401,0.975,0.263,0.105,0.0363,142.767,4htAzv3rkpAzCjo2pW12id,180000
0.622,0.0861,-20.521,0.0648,0.995,0.96,0.0988,0.0369,182.047,3H8tLzrJPjfGEiAf7E3sab,149992
0.147,0.078,-21.562,0.0372,0.983,0.281,0.156,0.0393,95.305,2RiAsF5glPkl27ybQtMSvK,357147
0.196,0.0625,-23.636,0.036,0.974,0.926,0.095,0.0381,85.478,6ZQnV6aA74hchHqZ53bZKl,684161
0.166,0.135,-18.374,0.0458,0.92,0.00279,0.0781,0.0467,86.7,0X4j0IqoVICreUoHuKblYA,394267
0.216,0.0441,-26.135,0.0578,0.965,0.0178,0.0784,0.0938,101.467,1Y3NJjnXXaXmrfSLeDMaU7,148688
0.548,0.0142,-31.589,0.0622,0.994,0.897,0.0738,0.14,107.666,7zFYVHeN6bP4ZZNCtDgsWW,112032
0.227,0.00931,-30.591,0.0456,0.975,0.903,0.0868,0.0608,69.51,0L1E4gOGIbBimN7FTHun3g,255373
0.222,0.155,-14.193,0.0456,0.868,0.982,0.14,0.065,84.052,79IEO4HeDBjJ0lZ3gCowrz,83587
0.211,0.0423,-23.958,0.0407,0.989,0.876,0.0676,0.0385,136.688,6x5Vjt2sc2X5lCuy6fGbIK,179890
0.161,0.0535,-23.811,0.0474,0.976,0.489,0.0861,0.0538,91.131,1D5AWyG2oOk42eQFdLN1bK,286267
0.156,0.176,-16.286,0.0492,0.781,0.0984,0.142,0.228,78.422,5kZrrNIfz9lfDdTVivyFzp,226293
0.0951,0.155,-20.447,0.0342,0.865,0.776,0.0922,0.138,163.072,57YoIlL4U1khGfYI5JEBEk,159747
0.149,0.0209,-29.722,0.0476,0.962,0.959,0.0833,0.0365,136.875,0S35dcoORW5woopHAmDIxU,157055
0.248,0.0464,-22.036,0.0383,0.961,0.908,0.0869,0.0745,134.283,5PNE2h3eBgjdNA97JreMeM,864413
0.528,0.312,-18.129,0.0439,0.964,0.91,0.0981,0.141,169.937,6JXk9WDLEXnPevZQNVfXgA,369148
0.22,0.112,-21.352,0.0489,0.993,0.508,0.0809,0.0399,132.259,3XwJjvwpwLc8Epy4jhNlty,210373
0.39,0.0462,-24.885,0.0429,0.976,0.624,0.0893,0.305,79.268,2z7iDr3N4NbW4VmwpQWbTS,307893
0.444,0.139,-19.116,0.0354,0.98,0.792,0.105,0.652,88.637,3y24IasGhQQcZjzA5SsIvp,213360
0.322,0.00644,-31.982,0.0398,0.989,0.945,0.0931,0.0826,65.051,5LVSLLQz43rAYNMwmlOzTX,267440
0.24,0.0834,-29.545,0.0499,0.978,0.944,0.0804,0.188,169.621,4VVEfBXep7FdOt524jkfLF,159320
0.131,0.18,-19.165,0.0484,0.983,0.908,0.122,0.0661,79.179,12SMdBqkKEN1suZm6twiR5,207307
0.426,0.0616,-32.623,0.0417,0.996,0.907,0.0945,0.516,134.44,6LKYTKdEEgikRjVjKXj3d9,182373
0.26,0.0323,-23.485,0.0483,0.983,0.889,0.173,0.259,92.009,1qEJ1pHXVtuMTeHPvk0hMS,370347
0.164,0.0185,-30.778,0.0412,0.988,0.888,0.0801,0.078,86.65,5a0nC0tGDJBpGMZu3PeekY,157067
0.203,0.00332,-33.921,0.0478,0.975,0.00826,0.078,0.0372,99.57,64Qe81hJnfgWcFpvXh7DiF,407880
0.214,0.0522,-22.078,0.042,0.941,0.898,0.0943,0.0357,113.418,4FUUVMHHtbj7qJzfGteUl3,1003187
0.413,0.171,-19.837,0.0402,0.989,0.916,0.222,0.207,108.632,4VZZgBgdeLdaWjEnxl7iHD,190532
0.202,0.185,-15.421,0.036,0.957,0.401,0.0926,0.0361,85.545,1IvAa3uSlHeim4WcHIOQV8,316160
0.542,0.14,-15.381,0.0344,0.834,0.87,0.182,0.0753,75.516,7sXYoFoFoJ28bnjsnoBfvY,394507
0.211,0.3,-13.261,0.0336,0.937,0.418,0.0814,0.0366,123.711,6zyRNdOZbIX9U2LszJf8mq,398493
0.345,0.0571,-27.065,0.0404,0.995,0.859,0.106,0.284,64.837,0It6vbvsLBhNTSWBpsoOuG,124147
0.153,0.0341,-26.791,0.0494,0.992,0.892,0.074,0.034,70.667,3539YfcJbuyPXm8cN13mb6,277493
0.317,0.109,-26.519,0.0499,0.993,0.94,0.108,0.0377,95.117,4KZjoARqRW6xvGQ1PC0BRv,100051
0.268,0.269,-15.162,0.0419,0.744,0.857,0.13,0.569,115.933,0uUNXEy50SAU5iWEXR8QgL,247317
0.314,0.551,-5.724,0.0387,0.785,0.0096,0.104,0.373,86.485,2xsCi1q1VOsHj5r8sojlQc,306000
0.513,0.273,-9.454,0.0368,0.966,2.79e-06,0.12,0.263,106.304,0LhfRUyZlLu075THebL8Sa,235822
0.203,0.042,-24.032,0.0425,0.978,0.925,0.0748,0.0315,56.27,0ARS9EXBUHXdfgIVz31K8s,238000
0.242,0.447,-14.831,0.0822,0.976,0.266,0.421,0.0431,80.195,1elmqrmi5gRk1zZJcg6Z4R,1427667
0.061,0.291,-20.79,0.046,0.521,0.848,0.135,0.037,56.314,6qYCeiqAVBnHTba6V7bjMU,341347
0.225,0.0317,-24.434,0.0329,0.987,0.71,0.102,0.0323,88.167,0WRPRVhGwoFdsz0eZY3Vwg,321480
0.294,0.00776,-31.398,0.0485,0.994,0.882,0.0941,0.149,78.184,4oYfVPO2ZCRhC7MblMpcaq,281333
0.29,0.0269,-29.293,0.0406,0.992,0.917,0.0881,0.0382,94.294,3s2fVHYBRdjWRzcyqXNPHz,257747
0.298,0.277,-17.95,0.0467,0.87,0.854,0.144,0.599,117.468,58PcbmPBBQoffZBQYXamGS,176000
0.187,0.0913,-21.161,0.047,0.983,0.449,0.186,0.0349,78.6,7c9EjYBvffyPfidPjwjjvx,534987
0.409,0.275,-12.891,0.0391,0.941,0.229,0.153,0.535,150.814,0W1Oi7A5C4RXLODxzioZjc,217716
0.519,0.234,-19.482,0.0398,0.945,0.349,0.101,0.506,113.891,2fPmv1kyWASSfUCJtNSpTN,316440
0.459,0.245,-17.465,0.0324,0.992,0.885,0.246,0.504,105.351,6BsyXTqcpmZwVxNA4mM3Gr,292587
0.36,0.136,-19.443,0.0349,0.986,0.889,0.107,0.122,111.579,1xjlnTE8zHrkjN9CaD9RkW,371173
0.315,0.0542,-27.973,0.0402,0.988,0.886,0.0915,0.161,79.908,0yrHoMVTYMzudpVkauhMJm,222907
0.464,0.0256,-22.875,0.0751,0.981,0.941,0.0903,0.157,141.034,2EDADHR5dY95Fry75TP9P0,170587
0.563,0.0591,-25.79,0.164,0.996,0.899,0.0909,0.309,63.195,0eNmPoRTUgk7XmRZS7SnQY,86586
0.538,0.0478,-24.475,0.0722,0.991,0.916,0.116,0.0721,113.786,098c7lLo1bTZzsGriiIVEA,217360
0.146,0.142,-18.802,0.0459,0.99,0.319,0.0588,0.0411,71.622,5apJ5aE0Dp3UTYfpnCnra9,344600
0.0903,0.038,-23.514,0.0385,0.971,0.882,0.111,0.048,85.184,4caRxA3WAlAgD9Y2kqsRc5,566573
0.276,0.0583,-24.634,0.0384,0.936,0.886,0.0629,0.104,148.498,5NxgXaEt0t2K7sYvVo7q1u,369333
0.161,0.0278,-25.559,0.0447,0.927,0.0218,0.0785,0.0376,104.324,3gmhJL9nKwiJp12nxY1D9z,336160
0.568,0.00161,-40.474,0.181,0.993,0.956,0.0682,0.709,67.904,0WSWXSsIoIRe0grvGTE43T,176842
0.242,0.318,-12.158,0.0363,0.547,0.655,0.274,0.0371,97.38,7s4rXsF2uAeechqkvLrwK6,313000
