danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.456,0.804,-5.922,0.0483,0.00764,0.000832,0.128,0.603,140.105,55110NSrtlLhX4wfdF1VEA,229040
0.724,0.697,-6.594,0.0539,0.138,0.000717,0.126,0.961,130.014,7ixCRBD0FZMRBeOBhTu2KD,194493
0.707,0.672,-5.503,0.112,0.17,0.0,0.101,0.961,132.058,3rfDjFBGWeDW88inQfLzmm,184077
0.579,0.543,-8.216,0.378,0.418,0.0,0.152,0.286,174.84,62w3djsCFX85c5V6qfsI7Y,306320
0.626,0.769,-6.167,0.05,0.306,1.73e-06,0.111,0.579,115.981,0n9eeQnvzmMcq0l4DeGWQH,227333
0.705,0.683,-5.235,0.0317,0.00514,0.00452,0.19,0.792,124.011,5awqGLNiSTNRtMtWve1bSA,230840
0.516,0.239,-8.279,0.0387,0.844,0.0,0.129,0.361,125.232,7CRDA7HjjJB84ZkmJgKTMf,195467
0.614,0.512,-7.859,0.0261,0.217,0.00263,0.0952,0.401,96.98,1moFtJmSZHc8CwSkvGJ7kg,220387
0.711,0.768,-6.154,0.0355,0.179,3.1e-06,0.251,0.891,91.008,0Db6ejFxY0v2eIWVTNpf6J,207027
0.589,0.602,-8.04,0.0388,0.656,0.000138,0.11,0.358,159.814,6jypQiNeBTQM80iuSkoNsS,180413
0.687,0.748,-5.648,0.0341,0.249,0.0,0.287,0.825,132.004,2Ek66IsSxzDQdCG0Qee1x3,193004
0.608,0.759,-6.779,0.0384,0.105,0.21,0.0875,0.61,126.006,23pBiEPBdGrz5nb8IALTtT,203893
0.618,0.741,-6.299,0.0493,0.345,0.0,0.719,0.738,112.955,73oVDoxJHbqOIkZ0C9ir31,218133
0.54,0.874,-6.753,0.139,0.331,7.35e-05,0.361,0.67,135.026,1DCJJCT2TwJO1OxZ9E7px9,216493
0.474,0.771,-6.853,0.0703,0.0199,0.00504,0.0868,0.548,142.04,6qLDvJJz3SALzE1LW82DaT,249013
0.506,0.639,-7.019,0.0326,0.254,2.34e-06,0.0927,0.167,120.077,2x7jREyUbXj61x0Hpi2pQI,279187
0.635,0.812,-6.133,0.0378,0.0336,0.0,0.246,0.838,94.991,4lyIlP2RIrY2dy6U6Xy0qu,165293
0.752,0.214,-13.799,0.0493,0.854,0.123,0.0868,0.227,130.161,6mNXZmVqnfXEUpkjtApd2V,227467
0.432,0.253,-9.235,0.0345,0.818,0.0,0.126,0.111,126.237,3tTwH5Ut4S1LuTRKUTcj1O,205147
0.61,0.197,-14.197,0.0289,0.933,1.16e-05,0.106,0.383,84.969,1QiK39v4YOtHz5ziquZMn6,108320
0.534,0.437,-8.448,0.0285,0.172,5.25e-05,0.176,0.241,141.439,3Pjr1PIVNldDaRtX0EsjFh,201280
0.711,0.861,-4.964,0.0913,0.0264,4.56e-06,0.0501,0.898,122.045,6EGOx7U9NsnTAFmTfFISza,190480
0.712,0.446,-9.395,0.0324,0.63,0.00028,0.339,0.433,120.054,6RYBpVa8LZSQdOsuK8VyQv,220347
0.7,0.785,-6.359,0.0385,0.508,0.00114,0.0486,0.79,142.109,7fR23zj47csX8nlOhqlJ4B,239209
0.57,0.614,-5.994,0.0373,0.00664,0.0,0.239,0.712,135.002,1pLt09bz1KTF3SGDqHOI0X,229775
0.693,0.815,-6.252,0.0281,0.0187,0.016,0.109,0.533,133.999,4ovQY3yLU58scPdkK0IbkU,211853
0.779,0.803,-5.303,0.0356,0.0999,0.0,0.0898,0.928,119.02,302PMzFot7RAX6PSARTmiJ,166973
0.485,0.594,-6.831,0.0346,0.441,0.0,0.0905,0.416,80.004,4PIaJuqgruXdcgFAxc2u66,205231
0.321,0.262,-10.045,0.0329,0.893,3.38e-06,0.112,0.26,85.604,7d0NNbdPcgbJtwjndKy269,178880
0.437,0.313,-10.055,0.0335,0.638,0.00101,0.129,0.235,113.91,71OstTpEUSzqwCa5nUKGbE,174893
0.658,0.669,-8.495,0.0449,0.068,0.0306,0.257,0.714,90.234,7x9YXyKRitjhtDm9UOroKp,180240
0.478,0.449,-9.058,0.0303,0.133,0.0105,0.116,0.464,149.975,73V7shRcNsEQ4SpTgYFFB0,184000
0.702,0.606,-10.206,0.0587,0.00849,0.66,0.173,0.406,119.995,76pesdOvQTjmf6XFN7GOxs,199152
0.67,0.397,-9.021,0.0502,0.705,8.47e-06,0.111,0.423,115.918,6lQqzOSuBJqNlXAMNqFONM,179404
0.623,0.155,-14.532,0.0434,0.937,0.000874,0.108,0.382,136.727,47N4GLAQwudCP1JJMPCD50,174600
0.386,0.488,-10.425,0.0469,0.469,2.39e-06,0.837,0.317,149.657,61OuVGRWNDJcmKy9LI28u9,149373
0.474,0.261,-12.479,0.0377,0.951,0.189,0.112,0.172,125.773,4wANLVRn4s0FqYuvwM0UMh,184960
0.383,0.608,-11.855,0.355,0.839,0.00182,0.861,0.177,122.157,3oE8ykvNEFmLfjMo2wOBxj,558840
