danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.841,0.466,-8.386,0.203,0.065,0.0,0.0898,0.744,110.056,5uKJiHdlDBz53cM1qZd0yB,162373
0.864,0.595,-5.513,0.0506,0.52,0.000817,0.0689,0.758,119.077,4serT1J6lu8eTsMMG9VhF8,151000
0.701,0.787,-3.941,0.0855,0.27,0.0,0.105,0.904,180.027,1Bhm5HNO1cq8olDbBmokyL,171720
0.803,0.499,-7.969,0.276,0.232,7.88e-05,0.0949,0.507,167.939,6PlZ3T2h2dpoEWKrviNkKS,153288
0.618,0.698,-5.362,0.272,0.181,0.0,0.154,0.784,178.143,5cqLFudVQryezmVFmmyRJN,210958
0.755,0.565,-5.595,0.273,0.113,2.77e-05,0.111,0.407,177.941,35XF6veSvhoPdWy89zaeaj,215284
0.811,0.797,-5.428,0.165,0.0617,0.0,0.112,0.541,97.988,7sKDftgGirHWTVFMtJoDoh,171133
0.889,0.436,-9.576,0.172,0.0485,0.00129,0.106,0.411,92.998,6NCJTDAQsOErJGv7mhdvsB,147805
0.615,0.605,-5.83,0.325,0.408,0.0,0.0866,0.738,174.07,7BIPJBIGoxQTn3i748Wk0j,176587
0.709,0.612,-5.984,0.17,0.136,2.21e-05,0.127,0.427,82.5,43eoqH9CIZqy7VXLnwwMnu,197387
0.813,0.64,-5.908,0.272,0.269,0.0,0.131,0.488,92.989,65RWVU6N81CeH65nu52K1U,147076
0.877,0.356,-8.749,0.188,0.248,0.000274,0.2,0.536,109.932,6wL9pSXJ4roDSEoBpYyQy7,187873
0.912,0.598,-7.718,0.0877,0.0718,1.12e-06,0.0892,0.533,98.006,2QpUWi6VSNOt2WyH5FIeLD,180840
0.691,0.256,-10.177,0.0651,0.874,0.0,0.0826,0.519,130.087,2XDA9Zt9QI6vV3E1d7v1XS,153013
0.8,0.738,-5.025,0.0844,0.194,0.0,0.133,0.816,92.02,5k5duWxo5HqhetBe6ucgZJ,171493
0.912,0.469,-6.68,0.146,0.394,0.0,0.2,0.486,107.023,0SpWaGS2OVOqkZz5KDz4fW,150587
0.841,0.693,-7.335,0.205,0.396,3.99e-06,0.133,0.678,92.021,47LFcy7prvEY5D08d26zOo,174933
0.64,0.576,-5.615,0.173,0.287,6.17e-05,0.0658,0.468,162.028,3GyhxHaxCe3tPFMAHvMmoF,185053
0.709,0.645,-4.449,0.329,0.145,0.0,0.0869,0.423,91.793,5cZ6NaDFs0a7ZYfGpaJWEt,159434
0.605,0.419,-9.032,0.0342,0.373,0.0,0.128,0.291,152.161,7iZVBT6LV32t4l00p73VAw,175257
0.448,0.513,-6.108,0.163,0.203,0.0,0.0947,0.751,82.451,3aRgAfrt6aQW8IimLq2aVG,201720
0.605,0.602,-5.135,0.112,0.463,0.00261,0.272,0.444,174.037,3AcobHbeLi6HEnh3UNYgjV,170587
