danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.467,0.736,-8.612,0.131,0.826,0.000155,0.168,0.77,161.653,5UOzQpO62ljPFDqquxGDqT,221080
0.583,0.386,-11.531,0.133,0.896,1.01e-05,0.074,0.634,101.045,1uhQ3H3TSDX9Bq9Oz6uHWV,217853
0.539,0.975,-4.776,0.126,0.412,3.28e-05,0.684,0.466,95.588,30jAaWnKDzPLGETJwwPON6,338071
0.619,0.671,-6.811,0.0819,0.644,0.0,0.152,0.831,104.362,2g1oUOP1r8DpzXvd1PMafY,256840
0.664,0.688,-10.4,0.0424,0.625,0.856,0.129,0.797,172.955,6ADzlFXHPk846zUCEOM2C1,289493
0.308,0.579,-5.337,0.0639,0.765,1.99e-05,0.187,0.554,92.409,0dUdZidAd0WqUQLPgzsyvz,224838
0.461,0.654,-12.673,0.0349,0.923,0.874,0.0858,0.924,102.814,5hVqZ5hnvQGT4LOpUVuJUa,360427
0.597,0.589,-6.887,0.0537,0.756,0.0,0.228,0.82,74.82,5h5yv0pdK47Z9cFvykdkAh,137080
0.695,0.673,-7.762,0.155,0.742,0.00231,0.0833,0.683,117.525,3Qk5EjQ3eTpux9QJPz7fXO,322227
0.69,0.708,-5.985,0.0803,0.245,6.52e-05,0.0483,0.698,90.263,2pb85vmXEfRKI3DjjUBvum,204747
0.645,0.672,-6.876,0.29,0.525,8.48e-05,0.0857,0.817,86.002,2JssFLMkPIvOxlixAAqwbo,208600
0.527,0.499,-8.76,0.051,0.273,0.000104,0.155,0.425,99.562,4bFaDjWTSbudJdO9J0fp71,285587
0.835,0.775,-6.371,0.238,0.468,3.95e-06,0.54,0.801,105.034,1eVnOimXaPos2ua7Rxb7vY,273293
0.754,0.866,-4.393,0.195,0.486,0.0,0.0766,0.769,107.15,7v9AulMhVGemWErlV9k5Cu,246107
0.682,0.433,-15.953,0.0399,0.578,0.862,0.0934,0.477,114.204,2AjUz3OfSmnZa0CQKYKvLz,187520
0.694,0.794,-7.177,0.0521,0.715,0.0117,0.167,0.788,119.961,7zJphXiYLQXtR9jfBAKV2O,209375
0.651,0.491,-8.933,0.0472,0.394,0.0,0.105,0.673,153.752,6T00WxH8sJ66Sg9XFqy8lU,209329
