danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.669,0.734,-5.811,0.0636,0.0972,4.21e-06,0.241,0.588,169.985,6PscyC1oeC9LRxWcw6YqDZ,175390
0.568,0.702,-3.711,0.292,0.332,0.0,0.0635,0.584,198.591,0K7GtHgAp3dfyoiKapDWnP,169133
0.704,0.758,-5.9,0.0567,0.383,0.0,0.107,0.756,156.006,0PtLrH95CQ2lKf6pym5LmA,232645
0.575,0.782,-5.158,0.0992,0.216,0.0,0.272,0.869,85.126,7hlPoVZ1uz7FiQagPTVbQG,142900
0.682,0.582,-5.945,0.2,0.697,0.0,0.0998,0.505,95.879,0ZWeMVnlYwxe1UEXc91Sjs,177500
0.788,0.814,-3.822,0.217,0.562,0.0,0.208,0.665,97.982,17BqQS5Cj899fQR8e6gvk9,202098
0.865,0.849,-3.639,0.197,0.52,0.0,0.0732,0.703,97.956,36huV0YZh62SxXaNynVEzk,142041
0.769,0.871,-4.717,0.0286,0.266,1.24e-06,0.111,0.97,135.032,6ynErSDSlxqsxg0D3LJ8sK,191333
0.752,0.819,-6.47,0.105,0.351,0.0,0.125,0.722,105.0,2VW1DMt90nWPHQfWa4HMfz,256000
0.733,0.537,-7.207,0.0944,0.237,0.0,0.114,0.128,113.33,7LUXlPdTO8qBdzjOsKD7pT,196186
0.767,0.687,-7.041,0.214,0.238,0.0,0.0715,0.551,94.946,0KngGwsqYzLisleU46WuLH,197059
0.85,0.657,-5.083,0.0542,0.307,0.0,0.0527,0.867,130.013,3CVZ2ZbGf163K1IQ6wBMbD,192923
0.419,0.916,-3.188,0.0963,0.559,2.39e-06,0.0717,0.528,169.917,1uw6eHdMtRlX6MtiZVJYB9,201052
0.737,0.596,-7.973,0.0592,0.638,0.000281,0.159,0.49,115.062,3BI9eDy4iws4Ti5TXFr9Q8,202435
0.792,0.725,-5.821,0.171,0.0927,0.0,0.0702,0.68,138.867,18W8cuvcub2B9NQzm5rZxf,169209
0.759,0.85,-3.789,0.0339,0.0769,0.0,0.146,0.4,130.004,4P5feHvQ7SNdZwpSpVm88K,255285
0.705,0.526,-6.359,0.327,0.509,0.000106,0.0742,0.671,200.031,0TkIQ2I48rz4kpk1XpfyHq,168000
0.719,0.845,-4.92,0.137,0.441,0.0,0.172,0.374,109.982,2RWW5xhjGQawYl3g133F1B,178909
0.569,0.858,-2.978,0.0557,0.176,6.88e-06,0.101,0.558,179.813,5TQIZ4zEkborgqWCqiTvDt,183357
0.783,0.638,-8.416,0.0973,0.596,0.000456,0.0705,0.764,134.998,0w6kE9C6OBm9GoxaaFlZ8l,186051
0.604,0.635,-4.499,0.419,0.508,0.0,0.107,0.484,134.672,5rJhgzFjgpitbf0Bw1N0SR,179077
0.656,0.681,-5.117,0.0404,0.167,0.0,0.2,0.522,118.011,1ro4AY6oyquzrTR8ZylO72,191186
