danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.577,0.0721,-22.973,0.0317,0.981,0.898,0.111,0.242,73.998,6zTbtySCRStJOv5xA4XvRE,151917
0.467,0.243,-22.534,0.0332,0.842,0.947,0.115,0.0541,75.031,6cr9XbO2yAJgTNa6XNRINF,158000
0.442,0.112,-18.687,0.0415,0.985,0.919,0.111,0.111,112.206,4br0nM6NdvDKMJgLj44foR,126986
0.509,0.212,-23.342,0.0305,0.843,0.853,0.111,0.0711,84.0,7qa14fkhxgOwWgJ2cbDTyc,143500
0.346,0.0513,-20.528,0.0432,0.954,0.895,0.105,0.058,129.445,11nkLTEsCUzxXLWpyuz65G,183500
0.378,0.0973,-20.7,0.0418,0.955,0.94,0.115,0.0564,118.209,40yQjVqMx52xTlY4KFZXnh,154992
0.529,0.214,-19.268,0.0315,0.8,0.907,0.109,0.0903,124.069,5AciiCKJKTLKRrAPSrKQy5,149000
0.437,0.189,-11.221,0.0287,0.479,0.718,0.118,0.13,71.407,7hYgGeMBarMRK5iGPqKGsb,105957
0.513,0.0646,-21.471,0.0352,0.964,0.828,0.0967,0.135,74.906,76aMjXNa94NuHTNC0BFoH8,169567
0.489,0.185,-21.407,0.0282,0.762,0.893,0.111,0.135,149.927,1xn4V99fkCg868FBTlQSyC,181256
0.577,0.0406,-21.477,0.0482,0.965,0.873,0.11,0.297,149.851,1AL54jGmiH5sEn7OUIbVVP,161698
0.55,0.0907,-16.55,0.0348,0.994,0.928,0.111,0.135,83.041,5vAUwAzCryz0XuR6QdGwbk,124854
0.476,0.104,-20.96,0.0296,0.932,0.894,0.111,0.0386,70.003,07niZTYNkvPcw61OX0YSR6,205795
0.526,0.0732,-19.831,0.034,0.926,0.869,0.149,0.131,90.815,3S5bNdw13XmF0Zw98KtVrV,147767
0.604,0.216,-18.172,0.0412,0.873,0.863,0.111,0.0708,72.029,3XW2ewe1iNoBlHTYPUi39V,167820
0.302,0.127,-19.69,0.0386,0.905,0.91,0.0965,0.137,109.262,0yVsNXZjSNO0uLhPs8pynS,192047
0.482,0.0432,-23.186,0.0316,0.935,0.856,0.111,0.0775,75.033,5r9fTbn6YZVxHKaU4Rze3t,167582
0.559,0.176,-15.088,0.0325,0.298,0.856,0.181,0.0473,106.999,0WUmEgNPYXDCe8zwecTlYk,125607
0.454,0.0699,-20.839,0.0516,0.264,0.889,0.108,0.0858,64.443,2MQhJVwdsmdfG5qK96tEHH,174753
0.668,0.122,-17.167,0.0539,0.279,0.473,0.0883,0.433,120.07,1UdPbtn1tr1fm1d0FcrgAg,205000
0.548,0.0525,-21.708,0.0472,0.86,0.672,0.0865,0.135,73.959,41GmT2g8MpZ5F9IKbzVAc8,139567
0.454,0.119,-21.969,0.0305,0.964,0.905,0.11,0.104,75.959,2g7oWQYXIurU5x2YtMAC7H,146496
0.296,0.0604,-19.685,0.0393,0.971,0.896,0.111,0.15,81.874,5Uj3rUYghH7vcKl5IiitWC,135417
0.378,0.0684,-19.494,0.0413,0.985,0.915,0.107,0.134,77.328,1t2lWnGFqsejjpEUIoziKU,145603
0.448,0.0722,-20.913,0.0409,0.5,0.724,0.075,0.22,110.018,7rsRqxM1uneTiTKVjcxfPv,106290
0.665,0.12,-20.333,0.0358,0.925,0.899,0.111,0.147,99.958,1bUiyTithUxLGEMZ2RD8US,141613
0.394,0.0985,-22.02,0.0338,0.92,0.875,0.142,0.105,139.833,7AhQiikvGQzcr2Kpb74fLG,145286
0.552,0.109,-19.68,0.0326,0.98,0.944,0.119,0.0847,92.038,4Bl2bWpteL5TFmqQ22IQXp,143579
0.634,0.306,-18.009,0.0353,0.981,0.949,0.106,0.279,71.015,6lCPEra6l4YkPkXVZeFqeT,155574
0.632,0.0535,-19.569,0.0378,0.984,0.909,0.115,0.189,85.004,7zVTz5fDa8AfRfGdnXou3m,162126
0.354,0.129,-18.357,0.0356,0.913,0.921,0.0827,0.0762,70.841,7IbbjapJhOwteSxyMjWOLB,160684
0.699,0.0356,-20.645,0.0432,0.965,0.925,0.113,0.326,97.045,0MeFxDLrLaw3n0sSjIXYvn,164454
0.6,0.0793,-20.648,0.0372,0.92,0.929,0.117,0.116,89.907,6opcJWSYfidSOyn8bQlTlK,144209
0.255,0.00954,-27.838,0.04,0.99,0.806,0.0992,0.225,71.052,5UZdpqf1F4fvDqvGYC2sRt,155077
0.607,0.124,-18.633,0.0329,0.945,0.839,0.113,0.0805,97.094,0sm2PC8NP8L0J2sxPJwKvA,139212
0.421,0.059,-22.33,0.0384,0.934,0.888,0.115,0.158,75.984,433T7mnFe3pkrTZfnYtq7A,135599
0.484,0.316,-11.538,0.0367,0.0603,0.885,0.145,0.0385,107.156,0jgfH1TWoXIC0Qk5x0Uerw,103178
0.611,0.0622,-21.731,0.0379,0.95,0.928,0.111,0.0602,73.04,4mQEVCbtbQuiOYouVR0fcs,147558
0.243,0.0727,-22.296,0.0297,0.857,0.874,0.107,0.151,81.579,2o41jDa4T0QKF9804tqyka,222992
0.597,0.115,-18.215,0.0373,0.954,0.923,0.11,0.13,97.044,3YTZyDywwVOWOXw2d970Dx,190820
0.426,0.101,-18.238,0.0367,0.962,0.943,0.109,0.0626,78.734,0acEauszFAvCGw9cNF0kZM,166891
