danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.301,0.042,-27.807,0.0372,0.985,0.929,0.0916,0.127,136.795,55gJkKxdKrZqDG6BhzsKc9,138750
0.353,0.0944,-26.851,0.0386,0.993,0.938,0.103,0.416,147.411,4g7wXitUwsMOjZMA9m1vy6,157127
0.333,0.101,-21.789,0.0332,0.935,0.926,0.108,0.18,167.45,4qNuc1K8MD4s0GLSHAu03s,150000
0.478,0.126,-23.181,0.0461,0.987,0.933,0.0937,0.358,129.045,2EVpp1hacBt6Jr2VO0eDgO,149804
0.398,0.0469,-27.504,0.0457,0.99,0.918,0.094,0.0576,150.129,7lvOQc9v9ybktcebHIaIFs,89903
0.235,0.305,-10.46,0.0337,0.855,0.172,0.127,0.115,116.39,0n4u4Io2kCV3DzjB0jhsnj,187158
0.502,0.0577,-26.725,0.0427,0.995,0.897,0.105,0.389,149.673,6BwJD1phxzTu9Fg3U87whB,123125
0.352,0.0582,-28.1,0.0347,0.971,0.917,0.11,0.254,51.507,15Vmk7vlx19lynWPk75UkO,128683
0.143,0.0349,-31.159,0.042,0.971,0.782,0.12,0.139,174.661,0yke2mzO01rTHhBpBLnYwh,142339
0.36,0.0529,-26.857,0.0334,0.992,0.903,0.113,0.218,92.637,4rw3ixKqjEzKUajMD0z3mA,133250
0.678,0.0825,-23.438,0.0351,0.988,0.933,0.109,0.31,116.224,7raJ9hPFYeCf8o43g176zS,151396
0.291,0.0296,-27.526,0.041,0.988,0.897,0.104,0.0668,130.341,7mS1QFR4914xDutXZCWqvW,156354
0.384,0.146,-25.606,0.0505,0.996,0.891,0.0891,0.735,127.584,2QnEeS0SxgJR9RrMGB2dnm,112429
0.345,0.0895,-20.475,0.0464,0.965,0.941,0.108,0.17,52.448,4hSJTUpx45WO1Ib6VCRiFW,135000
0.3,0.0183,-38.363,0.0349,0.996,0.921,0.0852,0.11,64.544,5lCas1cqz70cDzNTOrjD8K,125212
0.294,0.109,-24.986,0.0394,0.993,0.906,0.095,0.321,116.018,0NxO070mkE8Fpaa2AWbWod,142293
0.289,0.00882,-28.999,0.0389,0.935,0.898,0.115,0.175,133.912,7x29ikGEInCzC5IrN3zMhI,180308
0.207,0.09,-29.657,0.0387,0.994,0.914,0.107,0.276,155.213,3lbo5NWbt8k2xqncCsMB7q,121732
0.368,0.0681,-25.753,0.0374,0.994,0.913,0.105,0.382,124.14,6zODDCy0JYLgVmx3aTt2rC,152625
0.275,0.101,-28.641,0.0401,0.996,0.871,0.0936,0.165,143.794,67g2IwGrHQW0MXnZ1Gr8Km,162437
0.34,0.0494,-27.583,0.0442,0.984,0.917,0.1,0.222,147.822,3zahvGDaE79KRUr447Jrzw,144341
0.31,0.0714,-22.988,0.0357,0.982,0.952,0.119,0.167,136.416,0tORg30nNgobvxNPeS2J5r,180000
0.198,0.0762,-26.676,0.0397,0.965,0.935,0.106,0.333,143.503,53P6FuGYsY5veR6DDGIFIs,171395
0.394,0.0859,-26.34,0.0365,0.995,0.905,0.087,0.439,104.228,0t9I0R052AW7iwwpwvn8Lv,136996
0.253,0.112,-27.8,0.0302,0.951,0.958,0.0999,0.325,135.52,6QvGC8d8dZLjYRYXlyTZ4l,133097
0.339,0.122,-19.715,0.0388,0.981,0.834,0.122,0.063,126.851,1MoOc8rH7o4TPY5bYKRA7J,184000
0.19,0.0489,-24.889,0.0691,0.993,0.927,0.102,0.187,209.123,0N0Rxym9LnsVtwAdAVcWrQ,126833
0.381,0.0093,-27.582,0.0483,0.992,0.962,0.104,0.296,137.513,1O20Wf66xnmyiFITgfq0no,97334
0.222,0.146,-30.047,0.0504,0.983,0.808,0.0992,0.0907,76.998,0ubuJV6bCSUME2iCKovVwo,120320
0.353,0.0167,-26.519,0.0328,0.995,0.903,0.131,0.0935,60.318,3FCvuX0Q89RnHmGsSkZQ5U,197473
0.269,0.0323,-29.788,0.0429,0.991,0.934,0.115,0.134,67.503,0i4LbBW7DOlVcXThcRlbsP,132786
0.518,0.0628,-23.932,0.0381,0.993,0.93,0.114,0.25,105.948,2cQ5XGvt8Yo5sNlvPLWYp3,207275
0.423,0.0585,-26.589,0.0399,0.992,0.961,0.128,0.176,82.125,7Jo0X730aLdGcB9rgkSOgl,190781
0.334,0.0455,-31.928,0.0386,0.988,0.968,0.112,0.147,118.891,4WguFQwPxlxTZ9QEWI88qL,124000
0.618,0.0452,-31.005,0.0442,0.995,0.923,0.108,0.453,113.983,059ryoQJ8Nt3xndqMJWDHk,123376
0.419,0.0322,-27.346,0.0364,0.994,0.92,0.0955,0.474,145.165,3Hse4yS1QfDHzq7lVEwarD,137243
0.266,0.0327,-31.887,0.0548,0.988,0.894,0.127,0.234,115.9,0I3MZaEMddQfkUjRTEYWA2,171276
0.396,0.127,-27.312,0.0455,0.981,0.874,0.106,0.441,141.734,2XpT1bngtM9pHoYEsfoYuu,124286
0.451,0.0937,-28.133,0.0352,0.992,0.928,0.111,0.493,112.016,1eZ7C5xgD8agqwvOu2wq4A,170852
0.451,0.0476,-25.382,0.0355,0.995,0.911,0.0997,0.224,135.892,2VRtvXFwINloiZyYE5GGNG,150911
0.502,0.0189,-27.991,0.0353,0.986,0.887,0.126,0.0382,142.393,4xPcKCcKH9ioUiOxLloJOa,185513
0.317,0.0371,-33.782,0.0466,0.987,0.922,0.0783,0.218,146.347,0Ic0bvDJY7b0qLKvQoJ3kn,132317
0.287,0.0443,-28.116,0.0356,0.985,0.942,0.115,0.13,85.617,2DXTpqaCHn4PmcyLyWTSXY,158432
0.312,0.0855,-24.409,0.0338,0.99,0.94,0.0979,0.175,162.126,70xS3AcW7idZcUrvFEzMln,109020
0.414,0.0326,-24.821,0.0337,0.994,0.872,0.0955,0.321,143.583,5GaORbyqST28rLeRLiv0D8,134000
0.361,0.06,-24.701,0.0399,0.992,0.881,0.112,0.661,114.688,1uoWQRwh5Oa6XP7Sbgo933,165224
0.373,0.00694,-28.016,0.0451,0.992,0.952,0.0964,0.173,128.379,4Lj9Ap737rbqtH2Zd6skxa,172135
0.242,0.0717,-30.912,0.0416,0.995,0.956,0.102,0.0954,137.74,1J4at1zyBzfGjCPjZi7xF8,186000
0.335,0.00782,-31.104,0.0405,0.99,0.86,0.107,0.112,77.56,5x2thfHti8A4ujmTjL9m7o,182000
0.452,0.0416,-26.717,0.0384,0.979,0.897,0.104,0.388,125.685,0udVYSGaMFWLUafXmTNbKI,96052
0.257,0.105,-21.159,0.0386,0.982,0.933,0.105,0.0446,59.849,3IjGjpi8PzoRmCXYv8xPLx,148000
0.471,0.115,-21.958,0.0462,0.987,0.954,0.109,0.809,137.164,1ImEbpBXsZD9LYyQ67WXiX,160868
0.28,0.135,-21.845,0.0639,0.992,0.927,0.106,0.538,181.572,0GxXg9FfNq1yqwqrrY6W1F,152556
0.4,0.0067,-33.023,0.0403,0.995,0.837,0.101,0.119,82.549,6b5jWO1oYGUG7LKNJ07De4,148771
0.286,0.287,-26.371,0.0398,0.986,0.918,0.103,0.514,136.919,5kHdX3qzFelWIDOiUAs96C,158500
0.256,0.0716,-27.028,0.0389,0.968,0.954,0.11,0.15,144.758,20iXuObDDyAfZ8R9VyjSUq,179813
0.397,0.22,-18.109,0.045,0.884,0.94,0.108,0.381,133.735,2pPaKO126yniarJuGFKj0j,191534
0.483,0.0315,-25.799,0.0343,0.995,0.929,0.0857,0.149,147.287,3MJkEsmJfxO7JiOJjlEm8Z,226868
0.348,0.238,-21.222,0.0436,0.989,0.899,0.108,0.247,127.367,5q3d5I3rMvfKAuyDvmBwwe,171084
0.305,0.0898,-22.128,0.0446,0.948,0.95,0.124,0.196,120.267,3eDCEskR6LRnFGgL5u7j8Y,164100
0.261,0.128,-29.106,0.0477,0.991,0.934,0.117,0.487,153.559,6cxJxS35yFpNdN40G9hIw5,155000
0.434,0.0545,-27.702,0.0381,0.989,0.918,0.0905,0.497,126.966,2CJyD8EayNejbgadmf6qxR,113997
0.339,0.0273,-30.004,0.0523,0.994,0.935,0.079,0.144,117.264,6ssrsr0MumEjM2CeYioYcU,125008
0.178,0.00712,-32.7,0.0399,0.992,0.906,0.117,0.0374,134.785,19UBwInMQqv987LmQdvu6I,164125
0.33,0.0576,-23.233,0.0387,0.995,0.912,0.097,0.086,69.092,2V1y8aiJS9HMFqh51dNVs4,208625
0.346,0.0431,-29.328,0.0387,0.994,0.951,0.109,0.326,138.532,4OQ4Ua0SulicmSHpgBXCvs,158975
0.528,0.0432,-29.205,0.0414,0.995,0.934,0.1,0.106,135.019,1GMMCBRboxvDYnm7oOFBNO,123949
0.378,0.0575,-25.545,0.0393,0.985,0.872,0.102,0.164,140.103,1DWg10tzVICdCpZoIdZ9qB,112125
0.439,0.131,-26.456,0.0421,0.995,0.937,0.1,0.318,124.149,638iDsayTPgIScb5MSn4Qz,149283
0.6,0.0446,-29.689,0.0525,0.995,0.889,0.0885,0.429,120.097,2TSm3aFc5f0tgzsVhIbMxp,173000
0.373,0.0521,-26.05,0.0339,0.994,0.94,0.105,0.246,96.363,0rYtdfXg99nfq9ZUJS4LwY,146250
0.611,0.0696,-25.31,0.0332,0.991,0.944,0.105,0.29,138.084,6kPyPhrxTK85bPB3DuvjME,125591
0.493,0.14,-18.582,0.0363,0.98,0.934,0.107,0.161,81.494,5VGWn67OKkc1UZzxtclMnm,174525
0.258,0.125,-24.067,0.0341,0.985,0.92,0.112,0.407,146.305,6mwVh9GJeesKKE0OJWHrMt,171688
0.353,0.0687,-28.788,0.0434,0.978,0.846,0.0884,0.18,124.837,7dMT5XlXtLoFkUBzJapLUr,189106
0.387,0.089,-31.737,0.045,0.994,0.926,0.129,0.117,125.677,7r8OKeD5bIacpidpuEx1SG,178000
0.43,0.116,-22.764,0.0451,0.994,0.965,0.124,0.371,64.988,51Tg7MFrOSdbYnqUCxN20O,117042
0.466,0.0354,-29.523,0.0358,0.988,0.947,0.118,0.172,130.012,1YOgykOfaRddTMVSxVyESp,133624
0.389,0.15,-20.37,0.0412,0.99,0.94,0.0894,0.367,142.427,3Z6yqIObjhcaR4rQsHTmkT,151000
0.266,0.053,-26.472,0.0418,0.993,0.943,0.108,0.184,61.38,16QEKihp9N6eHLbeIat4jb,145182
0.224,0.0469,-28.394,0.0371,0.951,0.88,0.11,0.0462,145.452,65HxtQIYEnCl7wor098PWC,203693
0.309,0.081,-23.417,0.0315,0.991,0.89,0.105,0.194,81.171,3kkgprUeiPDV0nDQerhq9h,165889
0.377,0.066,-23.024,0.0374,0.991,0.923,0.101,0.358,75.471,5Md0b039rd15mEkbPdYk6K,126088
0.31,0.05,-30.665,0.04,0.993,0.896,0.105,0.349,82.587,6QuO9a1qf3bfEJZL1TeCS2,119579
0.26,0.168,-25.407,0.0321,0.992,0.96,0.103,0.0968,146.628,6BKGokQ3PKLFqBlCBjCy8J,144846
0.27,0.0558,-28.25,0.0378,0.986,0.88,0.118,0.11,127.177,7oo1QJQyaKjZfsrAPREJg9,154885
