danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.555,0.216,-11.661,0.0721,0.557,0.00416,0.109,0.504,79.109,6me7F0aaZjwDo6RJ5MrfBD,87000
0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,42TtHTxWk782ZBiqyOi2d1,290892
0.461,0.258,-12.424,0.0355,0.892,0.000129,0.105,0.377,121.354,1KrC1a04RkYrJB02M35hET,259592
0.469,0.568,-7.084,0.0305,0.0817,0.0,0.146,0.193,109.172,3lGPy4laQ3s4lT1pRXKmFC,177880
0.478,0.498,-5.366,0.0288,0.516,0.0,0.141,0.378,96.018,1md6N1TV9uNH2VdiCcYEkM,198274
0.635,0.318,-9.053,0.0347,0.169,2.43e-05,0.103,0.395,95.056,68i0Y8xMaYxLHSeUu4uWtA,249873
0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,2L9N0zZnd37dwF0clgxMGI,182888
0.293,0.131,-18.658,0.039,0.886,0.14,0.105,0.123,78.885,1kr0XkYcWe2HTuCFN3BuGA,294189
0.295,0.434,-9.823,0.0361,0.288,0.392,0.0843,0.114,75.366,1cs14d3VfzeI4z94h30Pit,281796
0.59,0.438,-12.407,0.0363,0.728,1.02e-05,0.0937,0.352,120.611,7BhOH16ud5ybFUeP3wwhby,208608
0.578,0.385,-12.167,0.0534,0.903,0.258,0.101,0.462,135.895,2CuBUQZY5SmOaISKWUO9m9,214867
0.474,0.193,-10.76,0.0315,0.671,1.93e-05,0.0999,0.15,143.928,0EWHn0McVO8Ewbkqvh53AD,279041
0.503,0.643,-6.494,0.0407,0.0261,2.27e-05,0.314,0.43,169.955,0jkzxxDG8z3Y5OmfNl1VM0,194417
0.632,0.349,-10.289,0.0346,0.926,7.5e-05,0.294,0.307,109.981,6gPPoRYJwCsoB2VVdPJfmo,232992
0.66,0.254,-9.643,0.0454,0.783,0.0,0.362,0.393,136.186,2pcZglQR5vcE8z09qLaQoV,104280
0.649,0.521,-7.224,0.0253,0.0508,0.000509,0.161,0.649,77.479,2XBmrWOsPavSy6YnwbG7f8,288027
0.633,0.358,-7.587,0.0302,0.151,2.03e-05,0.415,0.372,151.651,4QthYp34wrGAPQEvbz9QNS,263253
0.548,0.395,-16.282,0.0378,0.622,0.00771,0.103,0.138,131.82,5PSnffyT93zHiE23tRsL0O,190962
0.586,0.265,-12.461,0.0328,0.809,0.00159,0.0908,0.348,122.844,7qkX2mHStdrHVC2NFWqwpo,190217
0.62,0.459,-7.743,0.0295,0.666,0.0,0.115,0.457,131.761,6mfq2McYfeiVIBa1tPA2gU,221302
0.375,0.494,-7.797,0.0324,0.0926,0.0,0.178,0.516,179.888,4ijH0M7n6oM4ZARKcInAyv,252508
0.408,0.338,-13.626,0.0431,0.521,0.000639,0.0732,0.1,133.943,7CiDwKE62N6ey3LyG6s7xc,177609
