danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.578,0.385,-12.167,0.0534,0.903,0.258,0.101,0.462,135.895,2CuBUQZY5SmOaISKWUO9m9,214867
0.348,0.177,-14.743,0.0282,0.829,0.00548,0.111,0.128,74.809,3nQbf8wfMOkKeLRe45kNFc,199123
0.117,0.272,-10.978,0.0345,0.533,0.0263,0.107,0.0671,77.883,5KWrRynsADgBtgqoPCh7kn,325443
0.432,0.138,-19.788,0.049,0.94,0.0243,0.129,0.103,81.765,4QnkWi5jg50ZVkzBB3PZ4e,326157
0.387,0.568,-6.48,0.0262,0.666,0.00127,0.255,0.263,73.863,4CIoVUlxgd0nlSIEhJb4of,345097
0.364,0.773,-8.214,0.044,0.159,0.0855,0.116,0.519,176.11,7E9xLaEn82sboW3CLJCO9X,225155
0.611,0.507,-8.521,0.0267,0.0208,0.012,0.222,0.401,76.578,3i7XRi2UyvGTdJawJRkVhd,187389
0.511,0.55,-8.323,0.0324,0.756,0.0,0.206,0.285,77.038,5r882UNUUII5EKZ9rlVImU,174540
0.481,0.67,-7.135,0.041,0.437,0.000146,0.079,0.549,137.838,4Vs2i8GdP5s7vd8vfSRcDk,255533
0.385,0.264,-14.792,0.0304,0.87,0.068,0.476,0.386,161.633,2uPFYzZXZSgIP6AHKneCLT,191960
0.295,0.434,-9.823,0.0361,0.288,0.392,0.0843,0.114,75.366,1cs14d3VfzeI4z94h30Pit,281796
0.436,0.407,-10.46,0.0312,0.536,0.00128,0.131,0.446,169.92,0UWXrfsHsy2LUJWEbneShb,252053
0.461,0.258,-12.424,0.0355,0.892,0.000129,0.105,0.377,121.354,1KrC1a04RkYrJB02M35hET,259592
0.552,0.485,-9.111,0.0332,0.517,0.106,0.164,0.51,71.548,3gaH1EhTC53WZeFRj3hGtp,200173
0.358,0.546,-8.927,0.0296,0.795,0.0586,0.111,0.264,106.489,1QJnDJuYOGj05iSc4eWGr5,252960
0.584,0.474,-7.981,0.0258,0.796,2.69e-06,0.115,0.332,101.457,75nZ4W6quZhI55LKiqCXWh,280795
0.531,0.707,-7.639,0.0267,0.645,0.182,0.252,0.651,144.037,3BsrEIMaUPq97jPCwF7cn0,185902
0.259,0.373,-12.925,0.0275,0.895,0.181,0.118,0.196,83.295,6AmrRS8slCMxGUZePjV6dH,203940
0.684,0.129,-15.007,0.0518,0.908,2.1e-06,0.182,0.299,93.775,2IRjyyiU5P9WnmXJKcnwww,158298
0.579,0.415,-11.599,0.0397,0.929,0.0018,0.671,0.42,102.713,0TQ8ZHFhrbH9I0WRjIzOCQ,219093
