danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.354,0.845,-4.31,0.053,0.13,5.53e-06,0.0907,0.344,184.191,68DSsSVGCUwfEMeZI6xhxW,243587
0.488,0.71,-7.954,0.0368,0.153,5.04e-05,0.116,0.231,103.771,0zesU7Cq6UM582kMYC6J3E,178080
0.472,0.512,-5.261,0.0285,0.693,1.06e-06,0.259,0.406,101.391,19fuc8JoaMoK5dNpKNTwVu,227573
0.684,0.632,-6.201,0.0498,0.124,5.73e-05,0.155,0.852,88.418,3GFMyPDzQjo2jxDSuaHEhK,242262
0.548,0.894,-4.824,0.0343,0.000895,0.00066,0.197,0.625,139.925,5hVBphaDDDa8AOnBPy5z4w,279797
0.568,0.476,-8.156,0.0274,0.221,0.0,0.102,0.481,154.12,45S2pGg2kr8ezWQZcfHZfr,183441
0.551,0.451,-10.683,0.03,0.27,0.259,0.117,0.19,91.962,2mDdkeVuUsyIepwzLCxuu6,249920
0.709,0.816,-4.66,0.0343,0.173,2e-05,0.106,0.547,118.066,3G1VzspiXFL8Y3cppYWxfN,206489
0.678,0.486,-7.847,0.0254,0.411,1.36e-05,0.173,0.371,105.023,5o4FPf6PxgN6HriyRdsY9h,190027
0.345,0.602,-5.952,0.0519,0.677,3.49e-05,0.0952,0.563,206.457,0nf0prxGiJlvNomPmYxe86,197146
0.44,0.646,-8.933,0.0363,0.137,0.168,0.0657,0.619,94.324,4PHCjTOpWuaYDacBBNd7Ut,253920
0.472,0.764,-6.325,0.0494,0.0806,5.92e-06,0.128,0.278,88.84,1LnTC50m1LHC36jtKo0UJk,230680
0.635,0.641,-9.861,0.0736,0.726,2.45e-05,0.115,0.422,82.51,2JHFr3SVvWSGoFKg3kvTgw,139333
0.666,0.397,-6.835,0.026,0.516,2.19e-05,0.099,0.105,98.004,2XVHVNrfeITZa9Dj9t9gc3,214653
0.399,0.769,-7.484,0.0531,0.201,0.00903,0.146,0.768,165.295,6tvXOpoonSGwxM0R4eq8Tj,235627
0.613,0.717,-7.914,0.0317,0.111,0.0053,0.164,0.682,122.015,1JPCveyZfQHq9wa2lnMo6C,235519
0.543,0.555,-5.658,0.0286,0.0671,9.09e-06,0.218,0.646,84.92,7MQp9woZdjakP8lCby1Upc,219392
0.536,0.748,-7.687,0.0279,0.0468,0.0314,0.265,0.743,120.1,2vJihPQKmsrSYRKtLwRlES,224680
0.62,0.459,-7.743,0.0295,0.666,0.0,0.115,0.457,131.761,6mfq2McYfeiVIBa1tPA2gU,221302
0.673,0.686,-7.378,0.0377,0.0467,0.000179,0.111,0.497,121.951,1ALH9oRd8FqjfsSH0d8Ft4,276760
0.535,0.314,-10.563,0.0491,0.839,7.33e-05,0.104,0.301,150.065,2leovgVrJjIhnm85tKTemI,238624
0.596,0.628,-9.172,0.0296,0.0381,4.52e-05,0.0649,0.719,116.576,1lAv7oakRuwnzrqjFyxSqx,252299
0.683,0.554,-7.487,0.05,0.379,0.00011,0.0845,0.452,85.455,6DHPLbudo5JXNdUlG7zDcC,181499
0.579,0.687,-5.812,0.0234,0.313,0.008,0.164,0.805,82.034,0iJtDX4l9iylfqrR6zwrGi,236459
0.574,0.754,-4.995,0.0342,0.0265,2.25e-06,0.0994,0.131,117.973,6hAZx4PQIlwyazfANp6joe,214000
0.602,0.475,-10.29,0.0279,0.0635,0.00184,0.0918,0.595,119.991,0ewKJ6eM0Z761OissISTW7,161733
0.487,0.768,-3.353,0.0304,0.197,0.000221,0.33,0.606,130.45,3Ndzwn3uw5CcJ4OZALd37H,166560
0.754,0.679,-9.582,0.0337,0.759,2.83e-05,0.178,0.834,116.053,7iNIav1ARUCoXCj5bKAfvq,229385
0.505,0.696,-6.201,0.0564,0.261,0.0,0.113,0.369,139.16,2oy3hJGwD5aJSlFy4OnAkL,157153
0.531,0.552,-7.846,0.0324,0.676,8.31e-06,0.109,0.816,80.945,2VRlBQCorJfk9QNWVyCMpy,179573
0.71,0.604,-6.505,0.0417,0.00691,0.0,0.19,0.338,119.877,4WG91Pt9MkJs5gMHZECKfZ,187867
0.53,0.771,-7.322,0.0285,0.293,0.00205,0.282,0.96,142.149,1LSTsFWHtku4E76HlIAOYm,177453
0.489,0.598,-6.455,0.0287,0.181,0.0,0.112,0.2,101.03,6Wh7Doli3WsaYihYXNVGiD,169467
0.491,0.528,-8.662,0.0302,0.112,0.000383,0.306,0.254,145.776,17Rlm2i1lChVzLN7aqkqlN,227224
0.473,0.54,-10.9,0.029,0.429,7.17e-05,0.141,0.638,157.665,4mrFszdYwKUgN5hlxEAfKK,203507
0.689,0.315,-8.918,0.0482,0.814,1.85e-05,0.116,0.529,75.513,4W0ymwsGpZyMRWQfikn7q9,159747
0.614,0.426,-8.215,0.0261,0.373,0.00197,0.237,0.563,76.01,2tKyv5qRq8PTp0sGJ0vu06,208053
