danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,6dGnYIeXmHdcikdzNNDMm2,185733
0.539,0.69,-9.019,0.0332,0.083,0.0,0.0847,0.553,120.983,6vE90mi4yKsQGY3YD2OOv1,281232
0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,3gdewACMIVMEWVbyb8O9sY,281613
0.575,0.67,-10.39,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4yugZvBYaoREkJKtbG08Qr,211578
0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,5ihS6UUlyQAfmp48eSkxuQ,199493
0.547,0.257,-12.358,0.0252,0.907,0.183,0.0935,0.169,75.752,7pKfPomDEeI4TPT6EOYjn9,187867
0.48,0.542,-8.51,0.0348,0.345,0.000609,0.113,0.567,152.853,7mjSHL2Eb0kAwiKbvNNyD9,200560
0.654,0.506,-17.18,0.0535,0.686,0.0155,0.155,0.831,123.179,54eZmuggBFJbV7k248bTTt,252240
0.659,0.678,-8.18,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,2DnJjbjNTV9Nd5NOa1KGba,258411
0.392,0.534,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,3G69vJMWsX6ZohTykad2AU,276187
0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.861,6mFkJmJqdDVQ1REhVfGgd1,334744
0.686,0.127,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,5jgFfDIR6FR0gvlA56Nakr,138387
0.606,0.457,-14.035,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,0iOZM63lendWRTTeKhZBSC,244027
0.608,0.524,-10.266,0.0309,0.367,0.00254,0.115,0.797,86.204,3lh3iiiJeiBXHSZw6u0kh6,205613
0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,110.578,2SpEHTbUuebeLkgs9QB7Ue,161533
0.292,0.324,-11.996,0.0346,0.797,0.000473,0.12,0.384,176.631,5RgFlk1fcClZd0Y4SGYhqH,201373
0.495,0.326,-12.29,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,476V2d6iA2tWXgQboKmTtA,221120
0.525,0.216,-13.551,0.0301,0.837,0.0,0.107,0.328,106.761,5y788ya4NvwhBznoDIcXwK,185413
0.688,0.435,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,3KfbEIOC7YIv90FIfNSZpo,146333
0.472,0.652,-10.171,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,0wokCRaKD0zPNhMRXAgVsr,340200
0.526,0.299,-13.797,0.031,0.941,0.097,0.106,0.679,156.848,7zkLpY72g6lKQbiHDqri1S,200627
0.597,0.271,-17.293,0.0394,0.766,0.0119,0.0933,0.338,76.271,1oht5GevPN9t1T3kG1m1GO,203613
0.63,0.551,-9.28,0.0549,0.373,5.75e-05,0.103,0.518,143.868,0P7DoyGrr4Wp9w5TotEtUC,274493
0.626,0.816,-10.593,0.131,0.237,1.8e-06,0.104,0.798,105.307,6vxHp3CDNo0afgKGp2yi1E,164813
0.654,0.336,-12.825,0.0379,0.858,0.385,0.0786,0.947,176.083,19Shlms2uTnOjIUg50TXzd,134400
0.425,0.369,-11.876,0.0379,0.183,0.00126,0.112,0.65,176.625,1H7gMYGykdtwZOV6s1N0by,124693
0.503,0.265,-15.913,0.0333,0.943,0.045,0.0867,0.522,78.044,70gbuMqwNBE2Y5rkQJE9By,212161
0.439,0.488,-14.464,0.0615,0.702,0.000339,0.16,0.629,93.017,76TZCvJ8GitQ2FA1q5dKu0,308520
0.642,0.427,-8.471,0.0402,0.871,0.0904,0.124,0.404,82.344,4KROoGIaPaR1pBHPnR3bwC,124001
0.559,0.524,-11.64,0.0462,0.318,0.00094,0.933,0.652,93.85,0zxj7dVhYZq5ACyaDx5XIo,289027
0.43,0.463,-10.96,0.0442,0.303,5.84e-05,0.152,0.66,93.405,1IqFh00G2kvvMm8pRMpehA,271333
0.419,0.085,-19.387,0.0362,0.908,5.33e-06,0.34,0.458,91.509,0VNzEY1G4GLqcNx5qaaTl6,243493
0.443,0.365,-11.829,0.0315,0.592,0.00484,0.0886,0.398,133.156,5y8d8RHvxb0KiTa9Nq0xWp,199453
0.815,0.372,-12.814,0.0752,0.166,0.000116,0.0767,0.293,101.684,6Qb7gtV6Q4MnUjSbkFcopl,217347
0.694,0.331,-13.0,0.0284,0.806,0.00235,0.707,0.458,79.055,3UqHlIBI771FNCiLY5MKrp,280000
0.481,0.392,-11.381,0.0312,0.366,0.0452,0.124,0.52,124.572,5YSI1311X8t31PBjkBG4CZ,269067
0.483,0.159,-13.648,0.0353,0.914,0.0,0.111,0.423,146.721,1UKobFsdqNXQb8OthimCKe,157893
0.398,0.392,-9.05,0.0282,0.207,0.0,0.102,0.378,184.267,4F1AgKpuFRMLEgtPETVwZk,129120
0.537,0.315,-13.79,0.0271,0.588,2.29e-05,0.206,0.575,86.813,2Pr1nZpt8A8WP7QYpyq6L3,190320
0.485,0.378,-11.773,0.0337,0.831,0.0,0.103,0.528,92.928,4Xl2PrS3DJqqSKXCo6Uhv9,149613
0.607,0.142,-23.455,0.0382,0.843,0.000197,0.121,0.305,118.867,4K1imZQQ0yKtJ40vGmUajS,220400
0.455,0.437,-11.411,0.0278,0.314,0.0,0.501,0.724,81.396,1ne9wOtDF2jM6Cm8WBkaER,283640
0.765,0.291,-14.456,0.0397,0.787,0.000446,0.149,0.806,115.751,0wEo4mwfs6tXYgCem9m9wP,102987
0.553,0.506,-13.271,0.046,0.144,3.78e-06,0.438,0.51,143.278,0gZXockVcE7rEhSf4mcGLO,226213
0.697,0.676,-10.742,0.0402,0.706,0.0,0.0824,0.852,148.072,1O0xeZrBDbq7HPREdmYUYK,182240
0.795,0.564,-10.482,0.0392,0.0934,0.000531,0.0631,0.961,124.166,1b7LMtXCXGc2EwOIplI35z,203893
0.389,0.396,-7.999,0.0332,0.887,0.0,0.0828,0.585,171.86,52vA3CYKZqZVdQnzRrdZt6,192053
0.721,0.558,-8.8,0.0246,0.491,0.00538,0.181,0.542,96.895,5Ds0VGkTSQ1jf4KzLUpZPb,234867
