danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.757,0.437,-9.289,0.0749,0.398,0.0,0.347,0.741,77.049,1ECDZ07Ew2dGSHSepfCQ4s,159533
0.77,0.649,-8.011,0.0865,0.282,0.0,0.117,0.181,91.046,6V40xLcDlYwZpz3oKIVNhL,178867
0.85,0.411,-6.739,0.495,0.717,4.24e-06,0.207,0.467,92.944,0u90qRh1kXM5W9RpsvCbDv,168226
0.392,0.473,-8.589,0.117,0.8,5.92e-06,0.293,0.269,169.914,0cJKxZzWTN36amL9JpcJfg,196141
0.626,0.674,-6.656,0.0427,0.815,0.0,0.101,0.502,91.011,1LC5nXDcDc5wv0ZQa1Qu86,145002
0.541,0.572,-6.182,0.0992,0.417,0.0,0.17,0.342,165.254,72xC2ldpqPeFRSyygTrMa0,161584
0.642,0.567,-8.846,0.0941,0.524,0.0,0.111,0.386,120.097,4rpeMWo125XcUrarKa4HJp,228067
0.681,0.459,-7.178,0.0398,0.595,0.0,0.0828,0.33,83.47,4otT81iBBpaf36roGtzT4a,218587
0.692,0.628,-9.325,0.0361,0.017,0.000447,0.357,0.445,139.97,4R1mhxy6AmZOtkAjQWfK1w,192091
0.875,0.514,-8.075,0.0815,0.347,3.04e-06,0.0803,0.864,118.99,4r49ds5KbqVNg73OmNWqaR,162778
0.672,0.486,-8.627,0.0768,0.767,0.0,0.0981,0.209,87.741,7LrVEMD3Qtva05qoBivomr,159560
0.739,0.682,-6.811,0.0561,0.089,0.000259,0.526,0.638,129.983,4VpmtsVKIRfNlmrtaEnrQi,204760
0.498,0.63,-9.7,0.429,0.659,1.67e-05,0.0862,0.186,179.886,5UeMitzJDjB1j9wrP9LplV,169003
0.732,0.425,-8.899,0.0787,0.216,0.0,0.128,0.6,85.009,3bQBRPHdIHWnaIYcan3V8A,173600
0.725,0.351,-8.871,0.0497,0.721,3.69e-05,0.113,0.255,109.971,2tiiVkGitu4bKtuPwXfZxW,197512
0.726,0.252,-12.661,0.0407,0.143,2.47e-06,0.0915,0.28,123.92,3xhxiF4ibWzHunz2SSGzmI,172391
0.498,0.444,-6.444,0.0389,0.804,0.0,0.105,0.209,123.05,6YkaP9iPyhk4tqZ6GcnTuU,154400
