danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.713,0.67,-6.447,0.305,0.113,0.0,0.52,0.457,120.76,6btgTbK2UslfSu0qjTEXQm,206273
0.545,0.552,-6.049,0.064,0.738,0.0,0.0814,0.276,134.8,1NwjfTd5fsvRFtYGERuKzA,212800
0.628,0.289,-8.405,0.0662,0.902,0.0,0.118,0.214,149.634,3g8XEpjHvbt2KfilEIh0Jj,190027
0.721,0.726,-6.518,0.278,0.216,8.81e-05,0.116,0.439,133.122,3s7x3OMiEI7cmE8KBxIwCy,217625
0.626,0.569,-7.971,0.0457,0.365,0.0,0.151,0.419,76.992,5bOWPM362XpMa8zn6UR9te,172394
0.724,0.725,-5.642,0.0694,0.412,2.77e-06,0.0716,0.708,90.046,2gwZ6ZmwlmNQyRgnP8hpO8,184811
0.472,0.345,-5.555,0.0331,0.866,0.0,0.0962,0.319,81.254,3qYfcGBdH6Nqe18QTGgfXz,219241
0.372,0.627,-5.257,0.101,0.767,0.0,0.0856,0.545,200.674,7B6z0HrxAByztLfgzkoxBw,182040
0.618,0.66,-3.202,0.0664,0.116,0.0,0.0727,0.572,81.023,2RO4aPByijQUqBZhYm1apz,200370
0.456,0.804,-5.922,0.0483,0.00764,0.000832,0.128,0.603,140.105,55110NSrtlLhX4wfdF1VEA,229040
0.784,0.706,-5.625,0.0562,0.145,1.34e-05,0.107,0.892,139.979,2cWtN3c20WjE08k0cS4cJK,198973
0.591,0.299,-7.829,0.0486,0.922,0.0,0.111,0.259,80.018,4Pm7dMCMz3XWjygwlnae7r,213613
0.544,0.578,-9.49,0.18,0.216,1.92e-06,0.0949,0.219,169.973,5EWPzyWm0b9McPS5Qyaijp,165558
0.676,0.615,-6.028,0.0327,0.214,0.0,0.312,0.293,125.933,4yWP2IC6gq5Hl8bVouCvMs,195003
0.748,0.853,-4.468,0.0548,0.266,6.34e-06,0.095,0.562,128.099,5mNzJwI6K103A3I46l081D,164987
0.492,0.392,-7.777,0.0311,0.832,0.0,0.116,0.396,155.86,3PLI39VQCqmce71B0en2SK,199680
0.869,0.506,-6.274,0.0465,0.287,0.0,0.177,0.861,111.5,1iSyXFLfAEq24LmIyiaNCB,182594
0.633,0.729,-7.538,0.113,0.218,0.0,0.769,0.526,90.007,6O8nTkdi63kDBqMQCCdWM4,256107
0.679,0.745,-5.959,0.0692,0.0536,0.0,0.122,0.71,95.999,5hquKiRUsOh0079PvO7EJN,196507
0.632,0.757,-5.008,0.0503,0.0194,0.0,0.098,0.8,104.998,41JzI6QlUnjuSZ0u77xgSA,191800
0.691,0.531,-6.77,0.0512,0.748,0.0,0.102,0.294,97.402,7eLgu338mTp5cru9kykW4X,215395
0.571,0.655,-7.411,0.0532,0.243,0.0,0.314,0.426,141.89,4mADDXDWn8B5ZRQARrKgbE,198867
0.744,0.504,-8.874,0.232,0.675,0.0,0.153,0.833,151.974,33mN4sWswIF5wlRs061KXX,177196
0.869,0.614,-4.783,0.0443,0.206,8.35e-06,0.102,0.798,122.036,1D5609drY3JVyf48LhBDoh,175673
0.486,0.534,-4.681,0.0698,0.524,0.0,0.118,0.142,143.439,7hMSysDmiuzDmecbl2ba5u,176046
0.592,0.717,-7.537,0.0504,0.00844,0.0,0.085,0.699,154.782,0ruriS7oaQE0j1NE0AAW3o,202303
0.329,0.39,-7.434,0.0395,0.697,0.0,0.113,0.209,182.413,7GNYp8iyvgLSqgSLLndu1P,188409
0.762,0.611,-7.71,0.0404,0.0746,6.77e-06,0.139,0.618,105.017,0HBmcorGWox3KmkT4d4SL6,193813
0.812,0.49,-7.318,0.105,0.115,8.67e-06,0.133,0.54,102.043,4KI8fxOwHVimletBn2Mhtx,153858
0.482,0.296,-8.909,0.0447,0.897,2.22e-06,0.142,0.224,99.352,02MJ7tsWDTcZSADrruVhIV,158093
0.665,0.497,-7.121,0.0375,0.0568,0.0,0.618,0.56,130.011,6YJrz5WxB02vFvZZoZFK9t,174576
0.635,0.812,-6.133,0.0378,0.0336,0.0,0.246,0.838,94.991,4lyIlP2RIrY2dy6U6Xy0qu,165293
0.58,0.769,-6.893,0.0661,0.00775,0.0,0.114,0.7,89.962,4wFWwZ3AYbFmeQTqAnSKgF,186680
0.808,0.701,-4.638,0.0331,0.00872,2.37e-05,0.252,0.927,123.004,3ElQZM0z5G62E4LpBTRv89,208747
0.762,0.656,-7.251,0.0361,0.492,0.0,0.153,0.655,118.04,1U4FJvekbyRbUJdWljJQTp,164746
0.45,0.298,-10.259,0.04,0.934,0.0,0.0803,0.137,149.676,5LjlW19V9AQ4pg0ck0uvcO,199427
0.552,0.721,-5.396,0.189,0.465,0.0,0.168,0.587,78.531,0gc9MiWqo0me326ecRzaPg,173733
0.815,0.584,-7.566,0.0628,0.545,0.0,0.16,0.508,115.987,31TWH0ExBSFWfQqEmDnLzG,152005
0.693,0.859,-6.513,0.0496,0.0866,0.000406,0.25,0.817,87.968,6tIkKaPaxg9SphUDePLQjd,147400
0.755,0.579,-5.683,0.229,0.234,0.0,0.29,0.521,88.044,7aZQEJC1f4PR0L8iugl3Pd,192080
0.808,0.662,-7.771,0.0761,0.0933,0.0446,0.108,0.187,113.007,0AwExghm7adTvBm2N8fiuX,198987
0.739,0.682,-6.811,0.0561,0.089,0.000259,0.526,0.638,129.983,4VpmtsVKIRfNlmrtaEnrQi,204760
0.735,0.493,-8.489,0.0876,0.357,0.00013,0.108,0.431,109.948,5FRYkF4q7TJ3QRHn2aWZHr,198539
0.569,0.536,-9.654,0.42,0.653,0.0,0.177,0.629,107.277,09IE6tsb0tL0VLGH4GxCOO,182160
0.723,0.63,-7.407,0.0439,0.604,3.01e-05,0.0669,0.409,108.009,4u0dpuvdgKBBGljlKYRkf2,206827
0.623,0.66,-6.928,0.0487,0.0603,0.00179,0.148,0.678,130.047,4vyLHP36kMCHJ3tY8CTBcL,169707
0.695,0.712,-6.181,0.0387,0.444,1.71e-05,0.121,0.553,104.987,6ywP6zNwc3BF9mx2UuNGuL,208093
0.67,0.773,-6.531,0.0712,0.677,0.0,0.784,0.96,91.987,5lph5Ohom4uGk7pQDyLPJB,206619
0.494,0.35,-6.041,0.034,0.754,0.0,0.107,0.315,127.227,3WubCkQR8CRwjHD5GMgIk2,280840
0.596,0.412,-7.723,0.0369,0.65,0.0,0.0858,0.28,74.128,2clu3lEp5DLIlCKLLml7kP,250973
