danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.504,0.535,-6.475,0.0643,0.263,7.17e-06,0.212,0.243,118.943,5Yhj7ln3iSqZziEwYNbv6Y,164470
0.792,0.874,-2.966,0.0852,0.0158,0.000365,0.071,0.934,113.969,1JUtrCqYzJ80tcAzMbCvir,186762
0.464,0.724,-5.019,0.0705,0.0188,0.0,0.679,0.303,82.526,0rc1HCVoReqzzXF9jssqZk,174749
0.565,0.402,-9.982,0.0341,0.517,8.43e-06,0.115,0.538,164.03,11pocbaq7T3ouJd4oa64Xn,189723
0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,5Z2MiIZ5I3jJvvmeWMLbOQ,272373
0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131013
0.684,0.661,-6.886,0.0339,0.0296,1.7e-06,0.1,0.316,119.951,3F2dQOabfFV8YEjgpUN5nq,206886
0.475,0.243,-11.209,0.0262,0.823,0.0,0.115,0.108,61.317,6m3T4RHAMaSIKUDsxko43y,191494
0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1xs8bOvm3IzEYmcLJVOc34,185093
0.853,0.676,-4.398,0.0616,0.0923,1.15e-05,0.0904,0.631,122.975,4KtVL332elRhpZoctkarI3,200075
0.58,0.716,-3.694,0.061,0.325,0.0,0.232,0.616,144.107,0tgjvCrVS32K4QzbTSxPVd,198333
0.775,0.742,-5.226,0.101,0.0779,2.73e-05,0.401,0.514,121.89,3FSOP0KUsO3hv96E92CHsp,200199
0.579,0.714,-4.308,0.0584,0.04,0.0,0.341,0.696,80.419,2rf9i0Enr8cw1JRME8Rsvq,161366
0.725,0.727,-8.328,0.0387,0.0828,5.23e-05,0.0837,0.962,120.958,5Sb83ml5k9pdRIqIkWfWNv,176653
0.625,0.848,-3.714,0.0824,0.0938,1.18e-05,0.115,0.421,125.885,1CuGuLSXI9k85Ppxw908yP,162500
0.844,0.729,-7.242,0.0541,0.256,1.72e-05,0.105,0.675,131.061,0rIyGzKYFeYGUKrQUnZwR5,150576
0.507,0.633,-9.605,0.211,0.0262,0.0,0.231,0.25,129.887,5ECoEOMNN2hUqNnwPOlOFa,181576
0.855,0.652,-7.768,0.0574,0.0615,0.0103,0.0748,0.827,125.031,7oiGzkDfrxvgV1z1mP5muH,209280
0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023,78Sw5GDo6AlGwTwanjXbGh,242485
0.67,0.838,-3.815,0.0866,0.0443,0.0,0.318,0.354,122.03,6UdBnXVvJTHm4o8E3ZCo1O,198088
0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822
0.467,0.624,-8.511,0.0508,0.143,0.000899,0.145,0.31,141.889,6BQrmjAgPfPTwILoFEK3Hd,225947
0.628,0.476,-4.947,0.0352,0.417,0.0,0.121,0.336,147.915,3BLWGYOcy1svvsBByeFxLh,168562
0.917,0.711,-5.835,0.153,0.192,6.82e-06,0.0818,0.938,111.941,3w6JB9UckmYZBn4Tsq2kpM,155571
0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,2dHHgzDwk4BJdRwy9uXhTO,221520
0.611,0.626,-5.087,0.0778,0.337,0.0,0.115,0.48,100.129,06dQ2rcBkq7z3AEZ4jhvc2,156073
0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,1xK59OXxi2TAAAbmZK0kBL,132631
0.935,0.81,-3.838,0.117,0.0401,0.0,0.349,0.787,106.028,5lHxARJJrZc3ss4ZVmGWfz,173182
0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791
0.52,0.693,-7.704,0.0331,0.0002,2.2e-05,0.122,0.12,126.985,1DzJbVkBELu6jDu6q0T0tk,267505
0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907
0.534,0.721,-5.917,0.0933,0.0161,0.0,0.277,0.496,93.224,6WNR9aFkw70fMa63FOGuDq,157652
0.826,0.736,-2.248,0.0512,0.0121,0.000843,0.0662,0.783,120.042,2JRQQZzxZ9X0Mlq92q0jSy,178000
0.716,0.914,-4.979,0.0371,0.0236,0.00047,0.0968,0.965,145.019,4yk0t3ZG8vkoligoo7iAQB,221410
0.626,0.696,-5.33,0.0324,0.0355,0.0,0.358,0.377,113.979,4ZGtGVsSemEMqVXU3cox7m,201667
0.849,0.511,-6.799,0.0737,0.0625,0.0866,0.182,0.92,139.974,1W8Ip7MHOwAg0nCMQ4tQos,128511
0.753,0.451,-6.49,0.195,0.576,1.1e-06,0.383,0.261,144.966,3qKI07m2ve50BhRux11Z82,161835
0.81,0.689,-6.798,0.125,0.153,0.118,0.111,0.78,94.039,5azjk29GqijbSSsi0JY01x,188787
0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4C6Uex2ILwJi9sZXRdmqXp,170977
0.731,0.741,-4.593,0.0357,0.0366,0.0,0.142,0.609,115.919,3WwW7zKRCxXnhjC5owiul4,219310
0.892,0.589,-8.303,0.291,0.392,0.209,0.107,0.94,122.011,5zzN7Dvt8eJI8m7egpKRdM,175064
0.913,0.459,-7.528,0.0446,0.469,0.000889,0.0891,0.848,114.996,2F9DCIJ7ZXHhNkiIlIIOkw,215385
0.847,0.603,-9.887,0.15,0.0204,0.119,0.0882,0.822,109.984,3WDyQV8e7Jo8ADMDIUZEqT,138855
0.462,0.821,-3.678,0.243,0.216,0.0,0.137,0.487,79.131,6y39UI6gdUexBGprn6pQo6,205170
0.486,0.847,-5.011,0.346,0.00265,2.76e-05,0.105,0.409,126.088,3WdijbYmphZ8N0MYblXDnF,181760
