danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.858,0.909,-6.643,0.285,0.0231,0.0,0.206,0.628,164.632,2PQ8j691jAj6T4f7Ur4RiU,145264
0.74,0.846,-4.185,0.318,0.169,0.0,0.286,0.635,154.73,51G1Db6j2UUiil1DzkPP9U,129306
0.853,0.593,-5.968,0.0653,0.244,0.0,0.138,0.31,123.983,3Hdeh6HKLdJd29L17gttkZ,187742
0.938,0.591,-7.522,0.497,0.00381,0.0,0.16,0.123,105.964,3c1wpfkGzcL260V38wtzCn,110080
0.725,0.584,-6.509,0.225,0.164,0.0,0.128,0.584,81.925,2m7vIOdJPH5eqDKYJmuJpN,158362
0.737,0.737,-4.628,0.252,0.00371,0.0,0.112,0.492,130.014,42DXWvSX2Sr2rY1Dg4JcEQ,133512
0.74,0.826,-3.19,0.308,9.25e-05,0.0,0.317,0.618,135.989,0YSk0QsEKgXM2cEt86HEsS,129743
0.513,0.899,-4.512,0.132,0.003,2.44e-06,0.367,0.636,119.921,1USaSmbCC4U80jbN7ZrqeN,152062
0.623,0.563,-8.98,0.162,0.623,0.104,0.111,0.752,199.663,7IA8ksXrY276otudaP7knL,139200
0.727,0.946,-3.545,0.209,0.098,0.0012,0.294,0.907,138.111,4uVIFUbUO4ZjmoTV2yVoB1,166980
0.603,0.64,-9.739,0.0684,0.126,4.64e-06,0.124,0.277,139.998,1YdKiPqNZCZ2bgwy1kPKvo,141650
0.796,0.518,-7.46,0.0475,0.0339,2.02e-05,0.108,0.149,129.877,1Y2qbVBSXXFKmlLtANA3FG,120186
0.709,0.661,-6.02,0.245,0.0157,1.99e-06,0.0846,0.329,170.051,6tdIXKADoiJMTG5buEqxp3,170701
0.796,0.587,-4.97,0.207,0.00015,0.0,0.109,0.175,74.976,3aJ4eDlQwc26G5oDg8rCW5,118312
0.812,0.479,-7.763,0.389,0.266,0.0,0.108,0.399,92.039,1N4BtJIjNoaEtoBMjgri7j,208723
0.788,0.377,-13.357,0.386,0.00402,0.0,0.0866,0.39,149.036,6AkmJXoBXjGiKApUYja2oD,104721
0.521,0.629,-9.54,0.17,0.0695,0.0,0.0851,0.329,112.376,6lRPCX37cioYwZItkUpAtl,159144
0.816,0.591,-7.332,0.224,0.226,0.0,0.416,0.623,120.047,1jRA4kpssddqi0W6D6efva,183963
0.573,0.926,-6.24,0.254,0.215,1.71e-06,0.153,0.7,145.953,6uiXDPUMlKQjsUOZVVco8g,85678
0.529,0.726,-8.751,0.0612,0.0169,0.0,0.418,0.546,133.571,0B6gI2Eupg8MigELBFHVA8,137707
0.756,0.87,-4.903,0.0427,0.18,0.199,0.1,0.967,130.005,10kgI5WbVmGmfaLzZPElCM,181331
0.772,0.563,-13.511,0.0415,0.404,0.000699,0.0964,0.371,107.975,4r6eiYt8C6HmBh584gNKRW,163403
0.714,0.342,-10.625,0.0451,0.498,0.000469,0.122,0.0845,122.001,0tEtaU2hWPVnqU9FkCs6bu,208619
0.516,0.374,-10.049,0.0602,0.874,0.0,0.254,0.695,147.667,0eQjeOTNSzUudwy7dyTExY,104500
0.856,0.797,-3.738,0.362,0.139,0.0,0.157,0.475,97.048,1CF9GDLrtXbmGxJiXRiZqn,132018
0.605,0.608,-9.336,0.183,0.000347,0.0201,0.246,0.11,72.706,1lyDZiu6WTr6dz7u0WlF9V,135000
