danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.873,0.578,-7.397,0.272,0.139,0.0,0.0953,0.765,147.074,6Ntj4LvgVgjlprxD2JyhZS,159371
0.939,0.713,-6.964,0.206,0.247,0.0,0.0732,0.69,123.065,4vj1VHAC9n8ZodCqdnauS7,187376
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389
0.545,0.641,-6.398,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,1Hohk6AufHZOrrhMXZppax,215460
0.903,0.519,-9.151,0.26,0.281,0.000106,0.155,0.587,114.991,0314PeD1sQNonfVWix3B2K,116727
0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,6UN73IYd0hZxLi8wFPMQij,139560
0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,4iZ4pt7kvcaH6Yo8UoZ4s2,201800
0.848,0.512,-7.72,0.102,0.228,0.00232,0.0879,0.572,120.009,2wSTnntOPRi7aQneobFtU4,181840
0.461,0.279,-11.776,0.0373,0.911,0.0,0.205,0.599,114.225,2CSRrnOEELmhpq8iaAi9cd,150720
0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,1KGi9sZVMeszgZOWivFpxs,214400
0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,7H6ev70Weq6DdpZyyTmUXk,271333
0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,4pmc2AxSEq6g7hPVlJCPyP,230200
0.826,0.647,-6.306,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,3dFwpxh2yH7C7p9BGEKLVB,223000
0.944,0.511,-10.96,0.161,0.042,0.00107,0.0379,0.842,113.046,7uKcScNXuO3MWw6LowBjW1,203787
0.57,0.821,-4.38,0.267,0.178,0.0,0.289,0.408,210.857,3BxWKCI06eQ5Od8TY2JBeA,225560
0.811,0.458,-9.688,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,1aWV3uY3SIEZVbmv45oFWS,268533
0.81,0.755,-6.408,0.199,0.291,0.0,0.0857,0.625,130.991,4KTtYhxFtFL7mBwnjkKfLm,246573
0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998,6pWzCKTrKrwbUPzY8RLCoP,209120
0.656,0.838,-8.407,0.041,0.25,0.00281,0.207,0.74,132.981,3NanY0K4okhIQzL33U5Ad8,131253
0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,274733
0.765,0.43,-6.926,0.0362,0.389,0.0,0.335,0.55,90.008,2FLyONNYaIWIfM4X71SaYA,247080
0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,242293
