danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,1i1fxkWeaMmKEB4T7zqbzK,208373
0.53,0.82,-4.936,0.0438,0.154,2.71e-06,0.14,0.355,171.933,1yX6sh2TkrT5hsXodo7aS6,128372
0.501,0.519,-5.88,0.0409,0.109,0.0,0.454,0.168,133.99,23L5CiUhw2jV1OIMwthR3S,195707
0.841,0.593,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917,5uEYRdEIh9Bo4fpjDd4Na9,162803
0.506,0.805,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008,46lFttIf5hnUZMGvjK0Wxo,227074
0.62,0.864,-4.334,0.114,0.0323,0.0,0.117,0.395,98.059,3UEnF6y5tyHVtMzldS3svp,228980
0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,1I8tHoNBFTuoJAlh4hfVVE,271640
0.778,0.463,-7.603,0.0389,0.546,0.00289,0.0731,0.496,121.999,39cmB3ZoTOLwOTq7tMNqKa,194840
0.631,0.953,-3.739,0.0343,0.0241,0.0155,0.108,0.422,141.99,3MEYFivt6bilQ9q9mFWZ4g,273803
0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735
0.817,0.716,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,5W3cjX2J3tjhG8zb6u0qHn,224693
0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,2USlegnFJLrVLpoVfPimKB,160000
0.88,0.821,-2.545,0.118,0.0197,0.661,0.234,0.575,127.907,3haS1MDe2Zh8jJaeiiymSt,326888
0.557,0.798,-4.162,0.0362,0.163,3.59e-05,0.295,0.347,144.969,5sPoju3oZHg9Wq5KXxBH3a,177207
0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,7vGuf3Y35N4wmASOKLUVVU,180823
0.784,0.572,-9.853,0.0573,0.0748,0.843,0.139,0.209,96.181,3CLSHJv5aUROAN2vfOyCOh,132346
0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,4J7CKHCF3mdL4diUsmW8lq,184280
0.936,0.825,-4.928,0.189,0.00612,0.0017,0.0703,0.843,123.991,6UU24wuWgGwuSBAxDH866Z,233301
0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,2V65y3PX4DkRhy1djlxd9p,212862
0.731,0.928,-4.28,0.0514,0.285,0.00121,0.119,0.326,109.997,4y1nvncvBhdoelqPMyXxis,194182
0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290
0.716,0.946,-3.412,0.261,0.094,6.63e-05,0.0825,0.587,139.943,6KigD0mlF4VGDYiSEzAyYw,200571
0.677,0.744,-6.806,0.0295,0.0404,0.00016,0.074,0.631,124.08,1DFD5Fotzgn6yYXkYsKiGs,152913
0.682,0.836,-3.259,0.354,0.141,0.0383,0.0891,0.224,82.53,1QQ1Dx8dcLgWvUaY5fk84y,201016
