danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.634,0.691,-4.971,0.0458,0.143,0.0,0.097,0.316,141.831,0bs5Nbnk6nDjxcgqfehx9v,210576
0.703,0.594,-6.146,0.0752,0.342,0.0,0.123,0.475,153.848,1000nHvUdawXuUHgBod4Wv,114893
0.433,0.498,-6.711,0.207,0.263,0.0,0.339,0.69,79.434,32L05FkUrYfVlc0IwJ45ld,137876
0.668,0.626,-5.278,0.315,0.0833,0.0116,0.0782,0.679,165.926,5KXp9E22MHunsS4W4PNBUf,169741
0.654,0.871,-4.547,0.348,0.00765,0.0,0.052,0.608,176.17,3egamOji0THEWgIOnAN2LX,143901
0.736,0.699,-7.404,0.0579,0.0221,0.0,0.0486,0.911,149.991,2Pner0zYKaSPQ3YeYYXdup,212000
0.752,0.614,-7.407,0.082,0.454,3.29e-05,0.0926,0.46,119.996,4AfdBeGRL6PqVE6sDoJUpt,136500
0.49,0.987,-2.279,0.253,0.049,3.24e-06,0.406,0.451,175.064,6A8NfypDHuwiLWbo4a1yca,226813
0.551,0.636,-6.798,0.054,0.0837,4.28e-06,0.112,0.148,174.065,34eF4BoV8FPk0uhAAoqU7h,168276
0.711,0.541,-5.635,0.118,0.655,0.0,0.171,0.762,140.16,1RDkJlLvIL6jM8CkCzB3cX,122571
0.817,0.506,-6.996,0.166,0.122,0.0,0.0846,0.807,151.975,1EHWTyklqY1X4UGRylJTU3,154998
0.556,0.913,-3.512,0.0598,0.0798,0.0,0.342,0.0853,139.952,586VUZmfGAEjeHkIPHwy3p,225027
0.768,0.764,-5.82,0.0295,0.0963,1.03e-05,0.114,0.472,92.965,6th8IdY4lYeM0QlSQJhhkp,170323
0.588,0.786,-6.083,0.0634,0.0276,0.0,0.0855,0.465,150.025,5QwLHJDelqEuMEEOT4oLy9,171000
0.811,0.648,-3.684,0.0368,0.236,0.0,0.0761,0.695,104.988,2pIUpMhHL6L9Z5lnKxJJr9,180067
0.531,0.623,-7.383,0.0233,0.0965,0.587,0.164,0.452,100.006,3euVD6KnWFISxJlNlgy4oH,235462
0.555,0.737,-7.576,0.0878,0.0221,0.0,0.261,0.454,124.951,3bRnBON6HvX42xiPssnAY6,188000
0.667,0.747,-7.059,0.189,0.337,0.0,0.115,0.918,86.917,4iz9lGMjU1lXS51oPmUmTe,203493
0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067
0.596,0.62,-6.133,0.039,0.0122,0.0,0.82,0.102,80.029,0mEdbdeRFQwBhN4xfyIeUM,271600
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.15,0.859,-2.827,0.0595,0.00201,0.194,0.387,0.354,170.527,0WSa1sucoNRcEeULlZVQXj,228147
0.623,0.837,-7.699,0.0399,0.0203,0.454,0.199,0.601,120.043,4Rrv9oNClBhzKRfKwdkg99,106821
0.537,0.786,-4.331,0.0317,0.075,0.0,0.253,0.178,127.994,5fOjFkFA0k5MTOo1LmnVTO,208140
0.717,0.912,-3.678,0.04,0.0253,0.00512,0.14,0.465,120.01,4ghTMIWl95C531LslVDOWg,198000
0.609,0.438,-8.486,0.0311,0.626,0.00011,0.103,0.176,139.875,3e6ebtUCZ0tZL1J7wvM8Xi,248407
0.697,0.827,-4.623,0.0683,0.0313,0.0,0.292,0.769,164.116,5IdzhiIoGFVOkSKHyglOta,275922
0.365,0.851,-6.238,0.065,0.0964,0.003,0.238,0.309,78.068,1lgN0A2Vki2FTON5PYq42m,170067
0.588,0.494,-7.129,0.0309,0.00137,0.000114,0.156,0.539,78.99,0SxQz5uPZ5cAGWzj6MvzrX,195020
0.482,0.798,-6.523,0.0454,0.0112,1.48e-06,0.854,0.143,110.067,6KMgPewrVRxzeFzRwkFa0M,216308
0.653,0.694,-6.284,0.039,0.0911,0.0,0.111,0.226,96.024,7uidJM7xBikobIitpHQKZ4,216164
0.723,0.741,-4.442,0.0344,0.0714,3.17e-05,0.0796,0.387,127.967,39rqDP2s2hN1JtXptyeM3u,195467
0.446,0.976,-6.274,0.153,6.47e-05,5.15e-05,0.0642,0.325,118.085,6fPnFIYsa9breYF4bAjCDz,191750
0.498,0.598,-6.638,0.0377,0.00786,0.0,0.111,0.0573,140.078,1FpVJ7HpZInE2GvhVE2TwT,235000
0.535,0.586,-8.256,0.107,0.00437,0.0,0.0745,0.823,124.853,53WD6QvMGh7wXQVP0U8Rnr,163933
0.459,0.663,-5.939,0.1,0.0169,0.0,0.0621,0.412,176.791,69Sy7207dnixZ6w7RSV9Kb,192881
0.42,0.723,-6.86,0.175,0.0638,1.17e-05,0.123,0.288,167.806,6zAiRKvAMlXHxEtyO4yxIO,197634
0.801,0.783,-7.08,0.241,0.325,0.0,0.285,0.613,109.955,4mQMvcRtQou5yI8mjuJ1lf,168627
0.446,0.73,-3.916,0.17,0.18,0.0,0.118,0.39,107.918,7asFSf2pkWNEG3E5EuN1QR,213853
0.553,0.694,-6.561,0.0603,0.000629,4.56e-06,0.121,0.231,145.149,0ked784BOZ1JtRVHux98jE,201840
0.0993,0.626,-8.212,0.0467,0.00499,0.00161,0.0741,0.0399,49.452,3jevgr3fYdv9wYO3IDJq2a,198187
0.665,0.553,-8.553,0.0669,0.00433,1.01e-05,0.101,0.0927,150.119,0OpJ7UO05ccyRpMw0DeuDV,205877
0.14,0.478,-10.145,0.0484,0.1,0.000112,0.105,0.0412,185.121,3f4fc8c8unrQeKecmUPEDR,204587
0.203,0.54,-12.594,0.0738,0.463,0.937,0.139,0.115,132.709,2iI556oF2qwtac9r1RzrXo,222839
0.682,0.766,-4.638,0.206,0.0874,0.0,0.115,0.241,131.957,5POTnKuAUJENGLGJ04WDmK,187473
0.691,0.747,-2.851,0.338,0.00812,0.0,0.0674,0.816,160.137,6qONYDmRz1s7Msz0yVDHMB,150907
0.265,0.632,-9.835,0.0668,0.0967,0.000367,0.145,0.202,102.904,4vvLC50if1kVOemsm7gjcJ,201606
0.412,0.776,-6.843,0.0522,0.00573,1.33e-06,0.0697,0.216,170.037,2Q218QT28mAgqnUVDgUOsK,253467
0.405,0.756,-12.469,0.0424,0.000188,0.745,0.13,0.279,160.012,3gZyjgWdEibTsQFEmGiSSk,205500
0.894,0.748,-8.22,0.338,0.0463,0.0,0.057,0.697,99.983,6k6pPAqLxleqb3fbMtVjxe,141147
0.655,0.627,-6.687,0.0471,0.218,3.36e-05,0.153,0.782,167.94,3seTKIM6brUxC8M2rHGPkC,156640
0.9,0.585,-5.868,0.11,0.109,1.94e-06,0.113,0.331,107.014,3os9JEuXCDI2u8uoKi0xPY,173948
0.633,0.698,-5.57,0.152,0.176,0.0,0.0935,0.268,132.034,05f1rPg0cUUbShsL4FYcPt,200568
0.358,0.923,-3.722,0.143,0.000291,0.196,0.074,0.191,149.938,2Byxr0ooaeLayBBaVLup67,210212
