danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,2ksyzVfU0WJoBpu8otr4pz,142839
0.607,0.767,-6.069,0.0474,0.118,0.0,0.122,0.662,123.998,3rb0tMq42WfggucPm0HHkA,148629
0.588,0.496,-5.947,0.0417,0.00166,0.936,0.186,0.582,128.001,7mLWNwcvwRdEviz6SfYp8A,146274
0.81,0.836,-7.721,0.0645,0.0515,0.229,0.0598,0.0585,139.979,1GfBLbAhZUWdseuDqhocmn,146571
0.712,0.972,-0.514,0.112,0.00547,7.06e-05,0.128,0.568,119.966,6qyS9qBy0mEk3qYaH8mPss,145000
0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,6f3Slt0GbA2bPZlz0aIFXN,164000
0.663,0.559,-12.876,0.0391,0.136,0.0894,0.108,0.296,145.007,4tRhRLBxIZ34Iw0eCuiC03,206385
0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,6GomT970rCOkKAyyrwJeZi,157445
0.692,0.729,-10.435,0.0554,0.438,0.656,0.0939,0.13,100.015,2BH3j05ZXWr5PR30sW079d,139200
0.784,0.572,-9.853,0.0573,0.0748,0.843,0.139,0.209,96.181,3CLSHJv5aUROAN2vfOyCOh,132346
0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,2USlegnFJLrVLpoVfPimKB,160000
0.721,0.692,-2.927,0.0414,0.000166,0.275,0.104,0.531,120.005,0wGbyS1tExQSwOYu6UceyE,162042
0.841,0.593,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917,5uEYRdEIh9Bo4fpjDd4Na9,162803
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,186210
0.625,0.814,-5.181,0.0657,0.0172,0.0,0.158,0.535,144.991,2Y0wPrPQBrGhoLn14xRYCG,205485
0.805,0.816,-4.685,0.346,0.363,0.826,0.121,0.338,124.966,5mnpMkzp3Z2RCCbwIEZCbv,141343
0.665,0.738,-5.931,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,3nEHrvNNtgLv9rneTAYVr4,214071
0.498,0.598,-6.638,0.0377,0.00786,0.0,0.111,0.0573,140.078,1FpVJ7HpZInE2GvhVE2TwT,235000
0.889,0.884,-4.323,0.0379,0.0111,0.804,0.0999,0.789,124.003,1Y5MJnYsIi3Qlifvss4jPI,116129
0.319,0.657,-6.124,0.0477,0.0242,0.0758,0.157,0.0814,90.009,11uvudmvZBzG2ztQsOB5sF,228340
0.803,0.889,-6.545,0.0439,0.189,0.653,0.13,0.876,147.983,7jQkiAaa4XYYsPH3rcfcWo,163515
0.74,0.934,-8.178,0.0384,0.063,0.831,0.198,0.261,119.693,0G17UriYHMjXnZE2OJJSMR,138857
