danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938
0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567
0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18,242573
0.794,0.594,-8.698,0.139,0.283,0.000381,0.109,0.637,99.238,4w273WCBXwM4P3jTX5HkB2,160897
0.87,0.548,-5.253,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,1O2pcBJGej0pmH2Y9XZMs6,153750
0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120
0.873,0.826,-0.722,0.0876,0.00127,0.0361,0.311,0.201,106.972,2TDyyEBasw10wu5Uh94bR1,190654
0.639,0.703,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB,207301
0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940
0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,0bI7K9Becu2dtXK1Q3cZNB,140500
0.647,0.801,-2.946,0.249,0.0451,0.0,0.0628,0.517,180.108,3PpWCS95gDUDRPko3u1MZ9,166253
0.808,0.697,-5.899,0.241,0.041,0.0,0.0546,0.554,95.06,5gflgO9EPbIBf16n5TKnQS,232020
0.804,0.787,-3.824,0.0746,0.14,0.0,0.0927,0.562,91.974,2beS6dD5rovBxSA1zYoSHR,309120
0.845,0.677,-4.798,0.136,0.269,0.000917,0.108,0.68,90.013,4HYDUMY0xSpeBr0AMY9cUz,219048
0.659,0.688,-4.649,0.0673,0.207,0.0,0.113,0.632,153.979,0G2zPzWqVjR68iNPmx2TBe,273474
0.835,0.747,-4.65,0.083,0.0492,0.0,0.055,0.432,102.003,0kTMK4gNFfLXaTb62w1UaJ,176471
0.78,0.718,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949,4fSIb4hdOQ151TILNsSEaF,199604
