danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,5BbdKBZO0TH0GhfxUfyhL9,162053
0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3F5CgOj3wFlRv51JsHbxhe,218365
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891
0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,0vjeOZ3Ft5jvAi9SBFJm1j,182667
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360
0.911,0.573,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,3LtpKP5abr2qqjunvjlX5i,97393
0.791,0.818,-3.93,0.406,0.0695,0.0,0.114,0.693,159.922,7KXVIAuw3m2hxZanrpSXS3,209811
0.772,0.413,-8.193,0.089,0.0361,0.0,0.111,0.211,131.965,01Lr5YepbgjXAWR9iOEyH1,246213
0.776,0.675,-6.224,0.266,0.00196,0.0,0.227,0.27,131.984,7jslhIiELQkgW9IHeYNOWE,217707
0.729,0.625,-5.266,0.0315,0.194,0.00986,0.248,0.261,146.034,1xzBco0xcoJEDXktl7Jxrr,183907
0.946,0.483,-8.24,0.148,0.0117,3.49e-06,0.328,0.429,123.041,2PWVxWymGDZKj5BZJB7dAR,197381
0.796,0.542,-10.289,0.147,0.0461,1.09e-05,0.0881,0.464,136.913,2Mr4XjFeOWi8Dxi4BwhRx1,140146
0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,4xkOaSrkexMciUUogZKVTS,297787
0.785,0.903,-4.184,0.21,0.258,0.0,0.169,0.565,139.98,29TPjc8wxfz4XMn21O7VsZ,193234
0.632,0.924,-1.802,0.29,0.281,0.0,0.263,0.441,86.844,7LR85XLWw2yXqKBSI5brbG,267520
0.9,0.509,-6.647,0.257,0.115,1.67e-06,0.0937,0.765,100.007,27ZZdyTSQWI7Cug2d2PkqV,99283
0.802,0.785,-4.781,0.207,0.14,0.0,0.123,0.435,99.998,2wGSgTmgSF3xjRrHkTc25R,206400
0.963,0.346,-9.309,0.53,0.0355,0.0,0.108,0.562,119.957,6vN77lE9LK6HP2DewaN6HZ,142273
0.749,0.63,-6.652,0.116,0.0623,0.0,0.353,0.445,122.03,2KLwPaRDOB87XOYAT2fgxh,242027
0.837,0.364,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,2JvzF1RMd7lE3KmFlsyZD8,213594
0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,0fX4oNGBWO3dSGUZcVdVV2,195950
0.807,0.51,-9.697,0.361,0.243,0.0,0.336,0.255,131.972,6PUrGILWggESRQVzezloBr,200000
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,196653
0.819,0.626,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,5SWnsxjhdcEDc7LJjq9UHk,195906
0.711,0.611,-5.453,0.33,0.00588,0.0,0.23,0.144,134.093,3QFInJAm9eyaho5vBzxInN,252262
0.745,0.642,-6.257,0.287,0.0204,0.0,0.0658,0.226,179.974,1lOe9qE0vR9zwWQAOk6CoO,131240
0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S,190476
0.809,0.545,-6.678,0.0735,0.392,0.0,0.151,0.244,97.008,3QzAOrNlsabgbMwlZt7TAY,180435
0.849,0.424,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887,2BcMwX1MPV6ZHP4tUT9uq6,242966
0.821,0.636,-4.479,0.169,0.142,0.0,0.233,0.163,127.961,0QNNd0qMCDbraS1nQPg3aA,142657
0.889,0.496,-6.365,0.0905,0.259,0.0,0.252,0.544,86.003,2IRZnDFmlqMuOrYOLnZZyc,180522
0.81,0.353,-9.931,0.31,0.588,0.0,0.102,0.0727,88.031,0AluA5RNsa4Cx6XRhf2hWZ,208293
0.898,0.64,-8.796,0.255,0.0212,0.0,0.0919,0.68,149.988,2i2qDe3dnTl6maUE31FO7c,153600
0.542,0.914,-4.747,0.113,0.0161,0.0,0.744,0.576,153.993,2gZUPNdnz5Y45eiGxpHGSc,292093
0.629,0.692,-8.045,0.0376,0.00981,0.331,0.603,0.453,162.948,527k23H0A4Q0UJN3vGs0Da,167916
0.48,0.602,-6.335,0.368,0.487,0.0,0.0848,0.269,179.798,5rZlwNFl01HqLWBQGryKSm,213333
0.709,0.734,-5.027,0.125,0.0411,0.0,0.346,0.245,143.087,2VtgzixdB967bHDNu5A1nh,174560
0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,0.261,168.112,6uFn47ACjqYkc0jADwEdj1,166560
0.88,0.575,-6.091,0.163,0.415,0.0,0.109,0.671,120.031,1dg3qy5DjoJodawfOCgrTP,232048
0.773,0.422,-4.572,0.187,0.00783,0.00693,0.129,0.488,77.502,3XOalgusokruzA5ZBA2Qcb,136267
0.676,0.609,-5.831,0.481,0.0706,0.0,0.152,0.508,142.037,5yY9lUy8nbvjM1Uyo1Uqoc,237735
0.905,0.647,-5.065,0.107,0.0187,0.0,0.282,0.367,130.97,2r6OAV3WsYtXuXjvJ1lIDi,190534
0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062,1EJIcDYXwSqipW5dFe4uJz,236524
0.802,0.591,-4.895,0.225,0.0104,0.0,0.196,0.309,139.864,6gi6y1xwmVszDWkUqab1qw,157712
0.856,0.564,-6.295,0.392,0.00327,0.0,0.134,0.483,77.972,4Iedi94TIaB2GGb1nMB68v,135960
0.682,0.559,-5.545,0.127,0.174,0.0,0.344,0.137,202.015,3j84U36KvLeXNDPv4t5pI8,192471
0.818,0.526,-8.078,0.277,0.0103,0.0,0.146,0.531,125.061,0UMqDSXk4xvoCNRrIEPf7T,214594
0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,7hxHWCCAIIxFLCzvDgnQHX,195429
0.877,0.56,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3S68RFe1lsdCdTMPIMJM3X,216136
0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF,200548
0.929,0.7,-5.595,0.0906,0.144,0.0,0.349,0.802,120.009,4xqIYGwwZTEem9U8A42SPF,132024
0.876,0.786,-4.884,0.306,0.0627,0.0,0.127,0.575,153.068,60SdxE8apGAxMiRrpbmLY0,244679
0.584,0.859,-5.616,0.121,0.0144,0.0,0.847,0.369,77.005,2BITQ360Knh6qNAOqR7Dyq,236883
0.769,0.787,-3.909,0.367,0.189,0.0,0.129,0.836,126.77,6Ozh9Ok6h4Oi1wUSLtBseN,159715
0.631,0.774,-2.459,0.3,0.468,0.0,0.281,0.44,79.745,42zd6DYQ4o4SECmTITrM1U,230693
0.808,0.639,-7.266,0.279,0.0802,0.0,0.15,0.395,118.0,4eNOLmx8r2IJAVKvBBL1jv,144349
0.763,0.726,-5.61,0.109,0.00377,0.0,0.0719,0.327,99.042,6aGpM4DXts4pdRhVKbRYuk,131053
0.884,0.423,-10.181,0.275,0.115,0.0,0.0895,0.259,95.753,5JS1gz9zP4GTy0LZYvSeUK,159973
0.474,0.631,-5.884,0.343,0.0687,0.0,0.132,0.425,180.051,6Gg1gjgKi2AK4e0qzsR7sd,189323
0.49,0.618,-5.655,0.104,0.0221,3.77e-06,0.259,0.286,99.7,1H7KnK26kc1YyellpbINEn,201600
0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,227478
0.926,0.542,-5.064,0.293,0.135,0.0,0.0877,0.564,135.14,6gxKUmycQX7uyMwJcweFjp,181929
0.581,0.662,-5.239,0.303,0.0153,0.0,0.111,0.434,93.023,1wJRveJZLSb1rjhnUHQiv6,189487
0.761,0.899,-3.09,0.183,0.0135,0.0,0.0719,0.673,95.027,1zzxoZVylsna2BQB65Ppcb,217587
0.747,0.524,-6.807,0.245,0.0306,0.0,0.2,0.363,140.053,40oKW22ZNNkEdZLJTScaQI,213132
0.691,0.64,-6.441,0.369,0.511,0.0,0.409,0.163,138.672,6MF4tRr5lU8qok8IKaFOBE,202040
0.785,0.524,-7.004,0.122,0.0123,0.0,0.365,0.0855,142.007,2A0G0bPmlkUXUbvWqrAXzg,163454
0.752,0.658,-6.297,0.342,0.0421,0.0,0.0927,0.387,151.951,0k7wmahjkn389wAZdz19Cv,213520
0.653,0.826,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,2I9foKseoFQh07p6sD2voE,256227
0.825,0.458,-7.47,0.0577,0.114,0.0,0.102,0.161,145.115,3nS9a01VvXHQriLqJYwRqG,197760
0.887,0.485,-9.358,0.2,0.0392,0.0,0.141,0.328,125.987,6rTInqW3YECMkQsBEHw4sd,215693
0.85,0.664,-8.119,0.261,0.322,0.0,0.0475,0.743,144.108,6R6ZS5HYH4RdXkjEwEJO5R,160000
0.774,0.554,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034,6wJYhPfqk3KGhHRG76WzOh,162547
0.819,0.651,-5.829,0.169,0.00639,0.0,0.122,0.501,139.957,3GdWfmQBiiJrDUvSZS1bGv,185786
0.729,0.603,-6.736,0.0666,0.0948,0.0,0.113,0.207,134.972,3XiNC94b4Tq1xwv70sQJGN,243976
0.902,0.669,-5.049,0.457,0.161,0.0,0.0728,0.628,139.949,0cu0rhnlCnJ7JIeHRiLpj3,112547
0.89,0.633,-5.475,0.168,0.0232,0.000343,0.0993,0.425,139.948,1XRgIKC5TPwo7nWGyKqgG0,233087
0.874,0.443,-9.628,0.241,0.147,0.0,0.124,0.298,118.004,40TPiJpvwGIyvPjJMDTKfy,235988
0.855,0.651,-8.044,0.235,0.063,0.0,0.0772,0.559,111.997,5Z8HZM6iQMhhqyPcCGY5g9,193027
0.87,0.561,-10.388,0.186,0.0124,0.0,0.103,0.691,100.458,1mAey8kEPmDM2icL56kS9d,156368
0.841,0.672,-5.557,0.371,0.0122,0.0,0.321,0.599,157.026,53tv6ZbyeAwfAUwFaxYbfO,146845
0.841,0.732,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,1tkipCYkIgti8f1tqjfcWe,143480
0.869,0.298,-12.076,0.386,0.2,0.0,0.0753,0.178,77.47,5cx7vkF8BQ0iOsVpfvZbnz,161355
0.759,0.538,-8.256,0.384,0.151,0.0,0.126,0.831,146.933,7JuHVG3qQKQKxC4doneXVW,184490
0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,75.445,2gwkD6igEhQbDQegRCcdoB,163320
0.876,0.519,-6.531,0.143,0.202,0.0,0.108,0.158,94.981,1ZAyjvIk9YiD76yYy0TEG6,175230
0.833,0.498,-5.196,0.117,0.0493,0.0,0.119,0.259,139.928,22ruOqBqBRiZDiXFud4OXa,153406
0.83,0.644,-5.431,0.407,0.0298,0.0,0.11,0.227,155.103,0HrWshW3SuFJ6nKS9ba9Mh,173419
0.674,0.695,-8.636,0.278,0.0387,0.00202,0.194,0.773,151.486,6ScJMrlpiLfZUGtWp4QIVt,221840
0.912,0.608,-7.686,0.397,0.0458,0.0,0.248,0.327,136.994,0YrKSfpvflYnLSBd4Jtu6J,136900
0.94,0.761,-4.408,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,53acd3PVcgGCux58YABBr5,195254
0.867,0.744,-5.171,0.227,0.268,0.0,0.0713,0.645,84.005,4cSSL3YafYjM3yjgFO1vJg,173288
0.825,0.234,-14.202,0.495,0.235,9.54e-06,0.0696,0.18,77.487,5mt882Eqx22RwFOTE01jS8,111484
0.696,0.708,-4.737,0.0438,0.000113,0.0,0.444,0.287,142.026,0jQ4mEnWB1AuSVqnFLhxT6,168161
0.781,0.726,-4.213,0.0836,0.0299,0.0,0.093,0.436,139.988,26UxwWl9xCb83OynXELJcL,181714
0.545,0.781,-3.616,0.185,0.0139,0.0,0.161,0.277,150.097,12PNcnMsjsZ3eHm62t8hiy,232507
0.794,0.756,-7.16,0.136,0.11,0.0,0.247,0.775,123.066,4DuUwzP4ALMqpquHU0ltAB,156498
0.786,0.65,-6.472,0.31,0.156,0.0,0.127,0.492,130.993,12CNybio0Bxean3F3uYugU,175019
0.919,0.622,-7.384,0.0997,0.228,4.24e-06,0.122,0.424,140.022,59ywHNwwchG4nZJMLyxSzd,205803
0.502,0.652,-7.224,0.3,0.0848,0.0,0.0675,0.648,136.08,3hQCHzkE5oSA3F1xM8bpcM,254093
0.855,0.478,-8.31,0.345,0.145,0.0,0.101,0.536,153.074,2BSl2gSFHdzJAMus74qzNj,158431
0.883,0.525,-8.054,0.0633,0.189,0.0,0.0971,0.312,99.978,2zjGJ0dChMR0KxBZS15aqo,174100
0.974,0.596,-8.888,0.184,0.0976,0.0,0.151,0.892,111.959,1GeNui6m825V8jP4uKiIaH,149040
0.953,0.621,-7.638,0.221,0.017,0.0,0.0398,0.883,123.016,6755DFiZ7CWe2WMdTGW5C1,152333
0.749,0.548,-6.223,0.352,0.194,0.0,0.16,0.581,153.855,1KaRuTOGchQyTnrY3vWzfR,180240
0.761,0.586,-5.368,0.359,0.0392,0.0,0.0558,0.719,149.804,36J0iaPDGbYGsHvYpaYs3k,169147
0.957,0.437,-7.882,0.359,0.00402,0.0,0.219,0.616,130.058,4aarlAfLKVCTxUDNgbwhjH,137984
0.688,0.842,-4.211,0.264,0.0499,0.0,0.241,0.416,159.897,0P2P1AxcRYhiZvoF5MyRmM,185856
0.691,0.602,-6.807,0.209,0.123,0.0,0.0637,0.685,151.987,5qDsijQM75KTdv3RtSPx91,189480
0.5,0.69,-4.448,0.312,0.159,0.0,0.104,0.371,180.206,3WcC6NH9J77xPEvj1SOL7z,244511
0.895,0.467,-5.78,0.378,0.347,0.0,0.214,0.433,118.016,1tIgeZloeOtSJrVx9WiArC,174915
0.907,0.59,-6.128,0.108,0.18,0.0,0.184,0.681,134.902,48qgXl0CQUVYJVn6xv0rsP,199111
0.796,0.586,-6.946,0.147,0.0247,0.0,0.132,0.179,97.981,7DcvwMAiqKJQD1rrdfxSDx,200107
0.859,0.721,-3.369,0.237,0.011,0.0,0.484,0.689,148.015,5BvfdAtqZXGbR3Ub1Bejb6,214240
0.87,0.835,-5.875,0.311,0.0353,0.0,0.142,0.901,140.051,0RkCnqwF8Tfl2QGPZwopyk,118249
0.599,0.598,-7.015,0.124,0.0502,5.01e-05,0.173,0.343,179.49,5uVW9FWVaQde0lfF4hYs4C,192428
0.78,0.828,-2.235,0.237,0.409,0.0,0.104,0.786,160.113,6GSkLS2y4ZnnZsuRAj975K,167898
