danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.64,0.541,-7.731,0.162,0.755,0.000445,0.0966,0.765,88.127,27axiMYaZu77nF45ogoTTy,186307
0.801,0.815,-6.861,0.108,0.00852,0.0203,0.313,0.629,140.013,03o8WSqd2K5rkGvn9IsLy2,170653
0.534,0.624,-6.406,0.116,0.712,0.000132,0.112,0.642,87.786,3ejjmzEsUfObGdmmQRVmM2,190787
0.853,0.717,-4.248,0.0376,0.0184,0.0,0.0676,0.911,125.034,5VUm2SH1nTCXgIs8MA5WtE,197471
0.882,0.716,-7.061,0.0748,0.00973,0.000127,0.0772,0.519,135.999,5BwdbhIcQPWM7Vpo9ggAsx,176333
0.603,0.802,-5.089,0.111,0.306,5.06e-05,0.124,0.787,130.121,6PrB4KpvuoYWtwjPC5a44S,176120
0.791,0.904,-2.83,0.0956,0.384,0.00352,0.106,0.361,100.077,22IP2WKjuGYQ19JAz5GpAv,195459
0.841,0.466,-8.386,0.203,0.065,0.0,0.0898,0.744,110.056,5uKJiHdlDBz53cM1qZd0yB,162373
0.557,0.746,-4.066,0.258,0.293,0.0,0.115,0.577,86.683,62u6D0NgRPtFcCdF5rNLeh,145846
0.814,0.817,-5.456,0.206,0.203,0.0,0.152,0.768,139.955,5QowMIujytktMDC8pktNXH,241160
0.786,0.757,-4.889,0.106,0.0978,0.00106,0.131,0.898,175.903,3fgEIHsl6ecyAK1rpAxBIY,189867
0.805,0.744,-4.37,0.0394,0.438,0.0,0.0866,0.516,129.932,3lT2yaxSLBWDbjcFDMLaUn,184394
0.709,0.612,-5.984,0.17,0.136,2.21e-05,0.127,0.427,82.5,43eoqH9CIZqy7VXLnwwMnu,197387
0.454,0.71,-5.15,0.219,0.403,0.0,0.143,0.419,86.588,28n4yesf3IGNnsYzg6foRS,198180
0.657,0.576,-6.998,0.151,0.399,0.0,0.235,0.559,179.882,7DfBKw4PYAar1FXOFLqMFE,165747
0.841,0.573,-7.111,0.0527,0.134,0.0,0.13,0.749,124.985,2q7yBIQNQYWuj8qPw9YuSW,180996
0.758,0.599,-5.99,0.0877,0.57,1.13e-06,0.129,0.557,129.96,4ZpIuzx91EAPK3VimONbfB,219188
0.548,0.445,-11.337,0.186,0.837,0.0,0.096,0.534,135.025,0wlaxCNEyKtftA8MLwfSQm,138907
0.88,0.508,-7.804,0.111,0.238,0.0,0.0963,0.695,123.942,5Genin2XQ9UcJSXcOJTDE7,173787
0.75,0.756,-6.355,0.0541,0.148,0.000454,0.173,0.34,99.975,5n47nN6GxeLdsr5mECAQm7,165600
0.837,0.669,-5.623,0.0823,0.0968,5.29e-05,0.109,0.706,142.045,1B8HsvGSvD9rjL9oHwh2iu,177348
0.724,0.55,-8.615,0.263,0.0362,0.0,0.115,0.631,82.893,2q2tG7xR37PNyqrXqooemZ,180760
0.746,0.824,-5.299,0.0596,0.0135,0.023,0.092,0.81,140.066,3eaPSv2wnWMbRSg86R9sWq,189947
0.72,0.861,-4.36,0.0403,0.512,0.0,0.131,0.34,99.992,20fxUoq426rn3gXNxFQvZD,179864
0.868,0.638,-4.533,0.0587,0.203,0.0,0.0781,0.43,133.071,4qdRH3I8RsPdfXFswlQzMc,181312
0.52,0.643,-5.308,0.107,0.0912,0.0,0.109,0.315,130.821,0VAOuVnWq6vESexz3svOaM,170120
0.932,0.608,-6.157,0.241,0.22,0.0,0.151,0.597,135.023,1sXyWfgBERQvoddC0v7QZ3,186280
0.699,0.909,-4.206,0.0456,0.0939,3.41e-05,0.114,0.783,110.003,5wV6G01ZhBbwrFSmWjmaa4,175555
0.837,0.844,-3.656,0.0531,0.0485,3.19e-05,0.0906,0.858,130.005,17JXkST3znIDJ2zkpr0cZR,170360
0.798,0.809,-3.741,0.187,0.182,0.0,0.0973,0.748,139.995,5KfWnap5mNjlrvXBNVZ58w,148757
0.615,0.605,-5.83,0.325,0.408,0.0,0.0866,0.738,174.07,7BIPJBIGoxQTn3i748Wk0j,176587
0.755,0.837,-4.503,0.0526,0.295,1.76e-05,0.131,0.566,135.983,6gyRcNpnp4wqx0V1XUJTrf,139722
0.818,0.714,-6.005,0.0507,0.266,0.0,0.0647,0.912,98.997,3iys0VNbv5QGm6HzlxwBlh,181213
0.512,0.597,-7.473,0.11,0.311,0.0,0.0973,0.652,97.956,19EZ9PFgJM0xh2Ruld9z2F,181290
0.728,0.692,-7.925,0.047,0.635,0.0251,0.195,0.698,143.019,1UPB0Aaubo5o2pvLFG7Srs,161811
0.773,0.805,-7.908,0.0574,0.243,0.0,0.118,0.354,100.024,1rp6lUbKOD0ONFhCeaeLjs,147600
0.817,0.538,-6.32,0.212,0.249,0.0,0.0948,0.43,126.947,2MJfKaAwCIODbmmDaEXhq6,191598
0.807,0.757,-3.789,0.0508,0.0707,0.000695,0.325,0.282,103.02,1hq1Aa1U11uD51dIdCgK2X,173491
0.748,0.641,-6.258,0.0689,0.252,0.0,0.153,0.462,100.037,1TE1TZ7qOLVAcbKh15sxOi,179093
0.728,0.642,-8.963,0.171,0.141,0.0,0.0625,0.109,95.063,18lHQCmdqzT8FoyONY0j0t,205872
0.787,0.703,-9.811,0.159,0.572,0.0,0.189,0.671,140.045,5weE30Vlib5fgKVOKlpsYu,170121
0.823,0.849,-3.723,0.244,0.148,0.000307,0.0446,0.692,140.067,0HtbhFPKGWDyQ4DaqnDdXx,127383
0.908,0.648,-7.341,0.238,0.0969,0.00109,0.328,0.471,124.987,4qGP4DI9dHe9ZHWlCVccUn,211286
0.684,0.793,-7.19,0.139,0.133,3.71e-05,0.122,0.724,137.993,4AulkMc9uqPu5aRE3iYFHh,168689
0.746,0.524,-8.943,0.0966,0.562,0.0,0.0998,0.359,130.004,1CUhM2zYQmbw6q9DsqiniV,159920
0.699,0.635,-8.322,0.256,0.479,0.0,0.107,0.497,91.357,444gop4T5KTBV5ZbkuxGBg,128398
0.884,0.752,-4.805,0.0489,0.305,4.47e-06,0.0673,0.797,124.979,387yCeKQgJON67MA3a5w0e,172720
0.75,0.441,-10.696,0.182,0.119,0.0,0.109,0.409,94.971,7jAlHqy35MBCJczx5A26F9,154847
0.91,0.52,-9.152,0.107,0.00583,0.0298,0.0679,0.517,116.005,6tSTgxvwxGTe0PveXxSI7d,205862
0.783,0.565,-7.407,0.282,0.548,0.0,0.109,0.547,97.937,38yoAEaewZF6BeaMNFUbKA,152395
