danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.813,0.56,-5.904,0.0618,0.108,0.0,0.268,0.287,118.033,6C1RD7YQVvt3YQj0CmuTeu,286041
0.815,0.514,-9.446,0.361,0.54,0.0,0.611,0.623,120.054,6NSMQFKgjpQb0KkjMDYIK0,264000
0.816,0.726,-3.998,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390
0.734,0.531,-5.662,0.0321,0.196,0.0,0.119,0.199,130.024,0gCPvo1GkbtPhMqg5Gbx1K,279613
0.807,0.633,-6.016,0.0929,0.0564,0.0,0.107,0.325,138.038,7rwX0O3RlxqqIjQM8evm5E,311726
0.783,0.75,-4.891,0.106,0.218,0.0,0.546,0.48,123.043,15yuvKhcoEtV5KwKxqHSwa,224625
0.566,0.531,-6.635,0.0716,0.192,0.0,0.179,0.367,118.96,77dMSg2VHi2wwXjXNrmcrZ,227518
0.718,0.46,-9.498,0.0711,0.519,0.0,0.0981,0.52,121.927,2joKSGkqac0LIwYG9Ghrwq,243560
0.748,0.69,-3.812,0.0477,0.0353,0.0,0.315,0.433,131.972,5hKjEpYrJIJs6uPl7zw6Y6,233251
0.854,0.556,-4.49,0.14,0.345,0.0,0.165,0.342,119.938,03a359wbiUsjN9h6yzXvmS,209531
0.883,0.6,-7.188,0.37,0.114,7.94e-06,0.0931,0.691,113.903,26w9NTiE9NGjW1ZvIOd1So,156430
0.704,0.691,-5.414,0.158,0.255,0.0,0.129,0.427,143.982,5lhcHMDQpNwhM62lSOrvLf,270493
0.894,0.721,-5.829,0.258,0.155,0.0,0.154,0.392,107.963,4COGASZEbAxmH6k5gYMo6G,335737
0.703,0.615,-5.647,0.119,0.691,0.0,0.131,0.637,134.82,4WDSPCfr60K0HI7YYhEHKu,219008
0.619,0.762,-5.689,0.11,0.471,1.77e-06,0.322,0.351,126.35,3EsXS6UlpHtJvopnLTbsiT,216056
0.692,0.719,-5.373,0.124,0.408,0.0,0.0986,0.266,130.053,7narbj6zkSW1SnMhAPep0u,264906
0.834,0.753,-3.011,0.0486,0.342,0.0,0.108,0.462,113.058,0vnrhysrKKRdNYFKLAGzRc,246383
0.696,0.678,-5.893,0.0735,0.582,2.22e-06,0.134,0.346,91.985,0TUW9faHNaBmi89wsYGp9y,219202
0.878,0.855,0.642,0.094,0.0906,0.0,0.174,0.33,123.991,3E4ZzO4ySupnYypDPXcc3D,112273
0.8,0.355,-10.47,0.0895,0.616,0.0,0.118,0.253,145.929,7dNwJbsT0sg1le5kVugGJb,228493
