danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.791,0.527,-7.496,0.0692,0.457,0.0,0.118,0.77,140.098,2nD4X3sHH2kZ1gWraTpe7u,168088
0.717,0.686,-6.388,0.0483,0.141,0.0,0.208,0.653,134.067,16FTTvpIgihyei3EBNw1jd,159573
0.697,0.759,-5.929,0.329,0.0505,6.48e-05,0.078,0.516,161.985,2A44J8NMBI9DKi0AZW2W84,148016
0.747,0.462,-9.524,0.0707,0.754,0.000434,0.125,0.335,138.061,4oujvmTUXlPr6jWTWuzfAK,171293
0.467,0.732,-7.08,0.231,0.353,8.74e-05,0.095,0.481,96.006,4HllqyOknEOEwq7bZuhDW7,182000
0.724,0.593,-6.498,0.0766,0.508,0.0,0.196,0.624,141.901,4wNyrbY6B2Okii8VeKo2B2,152547
0.762,0.59,-7.039,0.165,0.34,0.0,0.0765,0.738,122.105,1xLCwgQcF6bKncTJmRGGws,226653
0.707,0.778,-8.915,0.221,0.0853,0.00365,0.177,0.668,140.988,5UPpgOKi0UQMMMSzWWgJJe,182068
0.673,0.636,-7.431,0.0771,0.268,0.0,0.108,0.438,127.021,0i9RysNKssk6syOrKDX3U2,210933
0.747,0.577,-8.209,0.346,0.247,0.000181,0.269,0.681,141.086,7wNHu6h06KBh20KVYmnRKa,225413
0.765,0.744,-9.147,0.0644,0.244,0.000223,0.0966,0.523,117.989,4yYpZTbJPa6Uoct89yXdKf,146441
0.734,0.532,-9.038,0.102,0.361,0.0,0.105,0.491,138.043,3TVUW7bJJWDOonkVCZxfLV,143526
0.718,0.643,-7.473,0.16,0.441,0.0,0.113,0.645,131.825,0EzNyXyU7gHzj2TN8qYThj,176747
0.751,0.57,-8.163,0.141,0.49,0.0,0.0913,0.76,136.048,2OFTQpmXnuVK1v6cFcqZuJ,156600
0.496,0.785,-6.46,0.195,0.402,2.56e-06,0.0768,0.545,97.22,7zgKUbJczQXGEICIwP6Diw,217948
0.684,0.493,-7.946,0.124,0.517,0.0,0.0672,0.501,119.087,6kwmp0U8M1tPvgPHqvbwsr,183053
0.879,0.622,-7.161,0.1,0.474,2.87e-06,0.236,0.873,118.011,3x6n0IkVMIqTl7EE2j3R2g,162293
0.813,0.583,-6.951,0.29,0.418,0.0,0.0945,0.908,120.043,1Jbim0t3F0TlAgBcza6tty,184120
0.755,0.636,-6.529,0.281,0.324,0.0,0.0717,0.523,144.953,6qvyN6NTUpdfOJRYjtSSd7,147720
0.713,0.562,-9.228,0.229,0.125,3.02e-05,0.104,0.567,122.186,7rzjdyHmqwloCA16UBdDgg,193248
0.715,0.836,-4.972,0.366,0.203,0.0,0.0288,0.777,160.015,7IXQrRgmHxWYWitSlyFY7z,190213
0.806,0.629,-6.892,0.31,0.204,0.0,0.127,0.5,97.928,04M7hgJo8KgONKo4OL91jz,170619
0.534,0.697,-5.636,0.272,0.0977,0.0,0.0823,0.423,72.351,15Cdh1RxOdlaFUm24ifnKH,146118
0.884,0.647,-5.886,0.28,0.101,0.0,0.0976,0.655,127.016,0KZwbPHcktfHL3OCxXzoYu,228575
0.736,0.684,-10.723,0.294,0.0442,6.2e-05,0.211,0.436,164.939,5atXcF9P7BvCIfCwpALYXB,143197
0.811,0.757,-6.614,0.223,0.00426,0.0,0.227,0.625,143.964,4lx26x6BggtyDtYZxUC0su,163920
0.675,0.694,-5.476,0.0747,0.341,9.13e-05,0.11,0.182,160.06,0iR0ZbEw46KtSDSGph0HHE,235183
0.865,0.446,-9.836,0.352,0.324,0.00024,0.132,0.772,159.927,3UizQJoEShTLDSUUByJLDr,129026
0.752,0.669,-9.817,0.251,0.167,0.0,0.0795,0.627,155.997,0z3bi63SNZ5ylyHOzb81Uq,123846
0.695,0.63,-7.16,0.035,0.229,0.0,0.118,0.55,130.968,3D29kjUyWxsT3jUUTtARVQ,240413
0.609,0.692,-5.887,0.24,0.614,0.0,0.147,0.718,139.873,3BsYL1gVsiFpo0bM8oTbi0,194000
0.695,0.581,-10.546,0.371,0.595,0.0,0.105,0.0995,134.658,5w3GRfKybnACxA4vTuIDAi,94253
0.84,0.571,-8.095,0.171,0.205,0.0,0.0969,0.661,120.046,2Jof799F251cl0DyUW2dqW,205627
0.796,0.534,-8.074,0.073,0.26,0.00103,0.0863,0.172,130.008,4MHEsggGJNsgcK1zKD6W1D,200279
0.934,0.475,-9.162,0.607,0.243,0.0,0.103,0.743,124.056,21or6VWTcaOPwwVxPioLmJ,209153
0.818,0.633,-6.048,0.412,0.156,0.0,0.147,0.579,120.026,0aG6nPOgAKnbWOWrAlFLjO,298080
0.699,0.848,-5.331,0.431,0.407,2.49e-05,0.114,0.754,139.825,2YGtFjsTpSrsGb2rQy4ARj,166747
0.579,0.523,-8.773,0.404,0.464,0.0,0.0841,0.382,79.972,6OhaunEHa10FjmOMFuxy38,169320
0.803,0.521,-8.89,0.0428,0.476,1.83e-05,0.11,0.412,108.247,5bt380zWDlGAd3NmhOeZ3H,238916
0.847,0.626,-6.224,0.368,0.0748,0.0,0.076,0.594,103.032,1bQzTUxeGELwCbWIan83V3,194906
