danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891
0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,5BbdKBZO0TH0GhfxUfyhL9,162053
0.912,0.507,-11.952,0.0587,0.579,0.0,0.167,0.725,134.978,3RKjTYlQrtLXCq5ncswBPp,115556
0.647,0.65,-7.396,0.0771,0.171,0.0,0.106,0.377,132.997,7ezboaARv4FY1k0WFoINWC,216738
0.671,0.658,-5.567,0.309,0.189,8.66e-05,0.147,0.257,87.933,4WuOWVnAqvEQxgSRrspBgt,207307
0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,79s5XnCN4TJKTVMSmOx8Ep,216387
0.765,0.882,-3.392,0.414,0.0432,0.0,0.353,0.439,166.784,5c2IvJeaFx4m2DmOR1iryD,140573
0.819,0.626,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,5SWnsxjhdcEDc7LJjq9UHk,195906
0.818,0.526,-8.078,0.277,0.0103,0.0,0.146,0.531,125.061,0UMqDSXk4xvoCNRrIEPf7T,214594
0.734,0.605,-8.476,0.0699,0.0102,0.0,0.317,0.252,103.976,7GeTsDIc5ykNB6lORO6Cee,236795
0.898,0.64,-8.796,0.255,0.0212,0.0,0.0919,0.68,149.988,2i2qDe3dnTl6maUE31FO7c,153600
0.711,0.611,-5.453,0.329,0.00575,0.0,0.231,0.144,134.14,7Bpx2vsWfQFBACRz4h3IqH,252070
0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062,1EJIcDYXwSqipW5dFe4uJz,236524
0.797,0.631,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,40uMIn2zJLAQhNXghRjBed,184213
0.849,0.433,-8.434,0.316,0.0407,0.0,0.388,0.395,142.11,0wshkEEcJUQU33RSRBb5dv,152962
0.833,0.652,-6.942,0.0762,0.00161,0.0985,0.106,0.405,158.022,0LnS7aOdOdI1dNKZqdOLz4,135053
0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF,200548
0.823,0.636,-7.239,0.0612,0.0168,0.0,0.108,0.5,151.978,1a7tOEheXeaSNathZW4Gzk,205893
0.763,0.726,-5.61,0.109,0.00377,0.0,0.0719,0.327,99.042,6aGpM4DXts4pdRhVKbRYuk,131053
0.597,0.571,-6.205,0.293,0.492,0.0,0.093,0.165,106.196,4TIqzdAssasqx3DAe6cG9J,218448
0.918,0.58,-7.501,0.322,0.00108,6.12e-05,0.106,0.611,139.977,6HJ34Zyw6bg8yGm28AxLXf,181415
0.878,0.685,-5.28,0.225,0.00152,0.0,0.0753,0.523,157.003,3uJFmluXzYedoJcvhpC1AW,211649
0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,227478
0.785,0.524,-7.004,0.122,0.0123,0.0,0.365,0.0855,142.007,2A0G0bPmlkUXUbvWqrAXzg,163454
0.84,0.744,-4.751,0.113,0.0181,0.0,0.629,0.171,83.737,2tUL6dZf1mywCj5WvCPZw6,204347
0.902,0.733,-4.056,0.164,0.289,0.0,0.085,0.821,147.977,4yzDNpEa75MSTypGg7tCAx,154869
0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166.0,1XXimziG1uhM0eDNCZCrUl,156945
0.866,0.613,-6.385,0.151,0.0293,0.0,0.104,0.359,98.001,2toVe5hfuIi97ytDPDbQFt,229210
0.92,0.833,-3.18,0.253,0.0277,0.0,0.0596,0.645,141.034,4PklAHGXT5ityno3IA8SKd,165726
0.819,0.651,-5.829,0.169,0.00639,0.0,0.122,0.501,139.957,3GdWfmQBiiJrDUvSZS1bGv,185786
0.894,0.528,-7.623,0.466,0.0444,0.0,0.108,0.2,144.532,2Q2mcoXVkioh4OBcL8mm4p,159720
0.785,0.609,-8.623,0.186,0.031,5.47e-05,0.096,0.326,83.962,5B40Td13cDQ4adeAiLf8Z4,148855
0.677,0.557,-8.409,0.0694,0.00508,8.36e-06,0.0984,0.1,150.127,62Yo3FDddWY8ydu6PW2wyz,206385
0.535,0.618,-5.668,0.382,0.0245,0.0,0.103,0.211,165.991,6ws54n2IzyrIxxyzlG2bVJ,213976
0.759,0.538,-8.256,0.384,0.151,0.0,0.126,0.831,146.933,7FGdjbZ32vMybPuP0IuE7d,184490
0.841,0.732,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,1tkipCYkIgti8f1tqjfcWe,143480
0.91,0.585,-7.572,0.257,0.0536,0.0,0.127,0.599,129.011,4KDNRh9Oor80z3XIxdWlui,165067
0.869,0.298,-12.076,0.386,0.2,0.0,0.0753,0.178,77.47,5cx7vkF8BQ0iOsVpfvZbnz,161355
0.833,0.498,-5.196,0.117,0.0493,0.0,0.119,0.259,139.928,22ruOqBqBRiZDiXFud4OXa,153406
0.845,0.503,-7.021,0.334,0.027,0.0,0.116,0.416,147.031,7fSM2taFBEB1WNZl8AOIoo,161637
0.864,0.476,-10.068,0.436,0.0374,0.0,0.374,0.647,157.144,1vrFJDrysqmsNAgyjBzx4f,137580
0.912,0.608,-7.686,0.397,0.0458,0.0,0.248,0.327,136.994,0YrKSfpvflYnLSBd4Jtu6J,136900
0.94,0.761,-4.408,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,53acd3PVcgGCux58YABBr5,195254
0.696,0.708,-4.737,0.0438,0.000113,0.0,0.444,0.287,142.026,0jQ4mEnWB1AuSVqnFLhxT6,168161
0.913,0.534,-6.048,0.0571,0.0163,0.000875,0.269,0.312,107.054,7bH9S0IHoM5kznWf1432zZ,168224
0.799,0.733,-6.234,0.216,0.172,1.7e-05,0.332,0.753,146.051,7k5lDslyLbcykzUOPGEdKR,185280
0.658,0.515,-4.402,0.134,0.0168,2.15e-06,0.596,0.196,90.131,45M6MPP3yI5I1PXse40lpR,175999
0.855,0.478,-8.31,0.345,0.145,0.0,0.101,0.536,153.074,2BSl2gSFHdzJAMus74qzNj,158431
0.671,0.857,-5.435,0.292,0.266,0.0,0.668,0.597,118.574,1BzXvBpIFWJgu0P8P6xmP4,309323
0.681,0.63,-5.585,0.0385,0.00383,0.0,0.139,0.183,151.951,3J4VKkUpLvomXJbn9ZAypO,161053
0.801,0.688,-4.594,0.396,0.144,0.0,0.107,0.5,162.928,1MIGkQxcdAt2lDx6ySpsc5,157675
0.815,0.742,-4.896,0.245,0.0579,0.0,0.345,0.584,137.036,2g3qKijfeHfDyM7Fmaoi5M,182533
0.688,0.842,-4.211,0.264,0.0499,0.0,0.241,0.416,159.897,0P2P1AxcRYhiZvoF5MyRmM,185856
0.895,0.467,-5.78,0.378,0.347,0.0,0.214,0.433,118.016,1tIgeZloeOtSJrVx9WiArC,174915
0.868,0.638,-7.746,0.0736,0.146,0.0565,0.0931,0.459,126.03,7v96VvFLS0wSYT8kewNLRy,182857
0.681,0.687,-7.612,0.332,0.0555,0.0,0.062,0.588,108.641,21AJQhGZpujjZQXByZAXpr,190345
0.936,0.497,-7.185,0.41,0.0324,0.0,0.111,0.364,138.016,30vAfL9Wyu2fu07vdbZ1Xt,146732
0.779,0.705,-5.891,0.163,0.00471,0.0,0.0971,0.196,140.005,7eX3um6NpOQKWJMGCi97XD,192804
0.741,0.788,-6.403,0.2,0.00119,0.0,0.0957,0.307,160.03,3gOL6mYIq19Oq8raxIntrV,132987
0.783,0.853,-4.787,0.292,0.252,5.64e-06,0.0743,0.948,140.202,5APTC8XAiHLn89cpgWqrWl,96000
0.802,0.42,-10.088,0.13,0.229,1.87e-05,0.299,0.183,125.948,3TJTvFCoVZaWWTRuaIPkMl,154286
0.798,0.471,-8.824,0.125,0.00189,0.0,0.154,0.11,135.102,6Md6lyVVoKWcOaSg8u1tDn,187844
0.73,0.726,-4.865,0.0655,0.00893,4.42e-06,0.255,0.731,139.938,1R7IfLjtJ4B9kqjIqaEeVf,151286
0.676,0.61,-9.185,0.273,0.000114,1.73e-06,0.191,0.519,156.005,2bPI4TKM4oTxl2SijUXM2J,186538
0.929,0.667,-6.789,0.353,0.0185,0.0,0.1,0.274,126.998,3sKz6Sd72K0ofPWcJPPk6H,155168
0.893,0.699,-8.059,0.0517,0.0576,3.02e-06,0.128,0.747,139.972,7lcI4X8RZxK4zIknJcwpBq,136761
0.892,0.577,-4.299,0.341,0.0121,0.0,0.243,0.64,145.935,1zwvbkUqTozLnmIECvBfgs,94521
0.898,0.58,-7.632,0.26,0.0101,0.0,0.169,0.661,84.018,4heBcjj4Lw3X2sQVFNbLbz,204286
0.915,0.686,-6.094,0.092,0.0324,0.0,0.14,0.25,133.953,1gXOwyDr6zzIL6FHk5L9IJ,218414
0.905,0.724,-6.255,0.237,0.00813,0.0,0.329,0.361,136.982,3p4YmRsO7aOu8PUbwdN3OB,193480
0.875,0.59,-8.106,0.271,0.0332,0.0,0.109,0.485,137.013,32FMtf6NNstA7Geu4B3uUP,128194
0.789,0.71,-6.165,0.0681,0.128,0.0,0.112,0.188,138.033,32ny2YtiR7zKi7PBjiQ5Iy,183187
0.797,0.64,-6.272,0.194,0.148,0.0,0.209,0.486,100.002,0fcq51a3gOI6gPvzc0YLsk,170053
0.665,0.846,-3.874,0.0686,0.0205,0.0,0.157,0.44,130.946,2qvc0vB4AAW39DR9j6vXa1,147213
0.83,0.727,-5.338,0.0894,0.00473,0.0,0.251,0.247,145.901,6I5DkMtgMjN6k270nRwNEl,132018
