danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.631,0.672,-6.963,0.0406,0.175,7.28e-05,0.125,0.927,174.161,6zfT8ekh9fF4Tf2uEZYC6t,137093
0.578,0.892,-7.952,0.0441,0.000139,0.0111,0.215,0.892,150.253,2YxXuCdbUpil3P7tRjhW1t,196613
0.587,0.767,-5.713,0.0449,0.225,0.0,0.112,0.664,100.38,5p9XWUdvbUzmPCukOmwoU3,201707
0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,0FDzzruyVECATHXKHFs9eJ,267867
0.586,0.777,-6.185,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,0Ui05Ov0s4PnRc4JI3Pilg,220468
0.461,0.936,-6.866,0.109,0.435,9.13e-05,0.124,0.804,172.404,423o3ZHIaBtGXyhF1uH41a,252467
0.864,0.656,-7.286,0.104,0.263,0.00495,0.0712,0.821,115.959,4bPWDXpN6MlTZBedxega3X,235813
0.44,0.567,-4.94,0.03,0.299,5.07e-06,0.286,0.194,90.492,2pyA5g5GLsJgetJGc1mwlF,252951
0.706,0.787,-4.205,0.0364,0.021,0.0,0.331,0.716,126.052,0LRIic8CC7KkwJNA1yLgnE,178585
0.639,0.83,-3.677,0.0337,0.0144,4.24e-06,0.121,0.777,99.999,6V7HtXMotzn8hYZQ9iZ0v1,205262
0.636,0.876,-3.413,0.0555,0.00164,0.0,0.117,0.799,120.983,63WuQOXohQIxOxIFA2K7bR,148064
0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,1zB4vmk8tFRmM9UULNzbLB,187147
0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,1X1DWw2pcNZ8zSub3uhlNz,202533
0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn,202333
0.749,0.82,-5.755,0.034,0.00157,1.22e-06,0.279,0.721,109.558,58F6iKkYdIccktJ8i8BuQQ,180120
0.5,0.501,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,153800
0.611,0.952,-3.934,0.0841,0.00276,0.0,0.272,0.666,118.958,7MmSp3kPyFr4Kw89ajXLjy,225631
0.715,0.796,-4.889,0.0534,0.0284,0.0,0.0658,0.431,129.04,4YeKAwFn69ehnciOfi7Sbf,218707
0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046,305WCRhhS10XUcH6AEwZk6,213800
0.526,0.712,-6.525,0.0356,0.0161,0.0,0.179,0.32,105.009,1eyzqe2QqGZUmfcPZtrIyt,241440
0.465,0.841,-5.767,0.0633,0.00486,0.0,0.109,0.689,168.743,4dneV7C1yDt9UtyxrQY375,157533
0.591,0.841,-4.351,0.0304,0.0119,0.0,0.395,0.392,109.034,3cphb8kdsjElYR7r5icK3H,158805
0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4nXkbcTj3nyww1cHkw5RAP,207267
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253
0.745,0.639,-4.312,0.0327,0.193,0.0194,0.142,0.713,111.957,33wtOrINFmeERJsRPfoSVw,192800
0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,3a94TbZOxhkI9xuNwYL53b,232412
