danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.531,0.737,-6.975,0.0386,0.126,0.00765,0.0756,0.279,142.215,3I4ecHrrMuD8FFfFCVy4g5,273920
0.653,0.877,-5.336,0.0359,0.061,0.0133,0.344,0.927,111.025,49l4Fv41jWi2TGCsPmseKY,282400
0.534,0.56,-7.565,0.0236,0.451,9.63e-05,0.11,0.599,89.885,7zjkSx1EUums3s1Yg2jPJD,275040
0.703,0.442,-10.383,0.0823,0.594,2.39e-05,0.276,0.381,115.932,2jX5c5RFp0A9E1GDsvGxIa,189480
0.365,0.55,-7.218,0.0346,0.74,0.0,0.423,0.593,106.111,61Yh6AEwsba6RYsrWiNmI0,212747
0.699,0.762,-5.895,0.0374,0.047,0.000829,0.267,0.439,100.017,3XM3TD08DSAzl84yasWP1x,291400
0.581,0.299,-9.344,0.0401,0.671,0.0,0.264,0.537,113.75,709Vk4ahhCM6ENgRVTTYw6,197707
0.693,0.729,-7.544,0.0659,0.207,0.0,0.0818,0.749,100.029,2jY4XzyntBSe2ns2EwA2pL,229427
0.648,0.858,-4.39,0.044,0.116,2.47e-06,0.145,0.592,126.059,4QJfrtZEaJ51F1drECpOIe,239547
0.676,0.856,-4.609,0.134,0.305,0.0,0.0955,0.455,133.847,3LgrzjwX7RVTtAX9Ai12Qm,192990
0.788,0.679,-7.013,0.141,0.088,0.000141,0.118,0.536,119.036,1QjKfNGfDuMiVuF8x7cj0R,188973
0.55,0.815,-6.34,0.0426,0.122,6.56e-05,0.146,0.716,162.248,3MzqZDQInpsxboLy33uMct,142680
0.765,0.54,-12.114,0.0984,0.103,0.0,0.373,0.788,129.48,1jL4dBrmBpkAwxiMFzHulz,250747
0.681,0.618,-10.318,0.0821,0.338,3.87e-05,0.0835,0.852,98.947,4uAjN3NPLhUfQE0NP61a3n,171707
0.736,0.667,-7.901,0.0307,0.43,4.42e-05,0.0992,0.4,113.062,4B6XjmOWI55np7y4MUTXDu,167520
0.764,0.507,-9.564,0.0481,0.0804,0.0,0.176,0.662,124.995,2057R2gFq9MZfTzej3tSwS,214293
