danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528,5XeFesFbtLpXzIVDNQP22n,183956
0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,3JvKfv6T31zO0ini8iNItO,244360
0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,240400
0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,3k3NWokhRRkEPhCzPmV8TW,258299
0.672,0.745,-5.269,0.3,0.438,9.29e-06,0.0699,0.739,173.974,0Bv7O6fmZk3GrNQFYJaXPn,413111
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,200040
0.826,0.449,-8.33,0.0674,0.556,1.85e-05,0.273,0.337,128.028,278kSqsZIiYp8p3QjYAqa8,236216
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938
0.951,0.692,-4.038,0.312,0.472,0.000182,0.0894,0.431,115.047,6WbAhuwE6fCOriBu5786X1,201280
0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,7lQ8MOhq6IN2w8EYcFNSUk,290320
0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000
0.575,0.648,-4.891,0.0358,0.583,0.0,0.115,0.466,75.977,4SqWKzw0CbA05TGszDgMlc,160240
0.555,0.634,-5.522,0.273,0.129,2.32e-06,0.188,0.555,170.228,2SiAcexM2p1yX6joESbehd,174045
0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235
0.685,0.848,-4.561,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,6NfrH0ANGmgBXyxgV2PeXt,163084
0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,086myS9r57YsLbJpU0TgK9,161124
0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18,242573
0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200
0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,3rmo8F54jFF8OgYsqTxm5d,230747
0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,6Uj1ctrBOjOas8xZXGqKk4,172627
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,02MWAaffLxlfxAUY7c5dvx,238805
0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,178147
0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS,206710
0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,0ct6r3EGTcMLPtrXHDvVjc,176658
0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,5E30LdtzQTGqRvNd7l6kG5,260173
0.695,0.54,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL,168602
0.793,0.78,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360
0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,567e29TDzLwZwfDuEpGTwo,141806
0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,1r9xUipOqoNwggBpENDsvJ,173381
0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO,143901
0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013
0.671,0.673,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963,1SOClUWhOi8vHZYMz3GluK,237720
0.639,0.703,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB,207301
0.575,0.568,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986,2K7xn816oNHJZ0aVqdQsha,206280
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,46IZ0fSY2mpAiktS3KOqds,224695
0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890
0.744,0.868,-4.524,0.047,0.0326,0.0,0.0822,0.586,93.037,69vlMrzHwATKzupwNcUPyK,206420
0.75,0.608,-4.008,0.0387,0.00165,0.0,0.178,0.958,132.507,4pt5fDVTg5GhEvEtlz9dKk,173347
0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,0bI7K9Becu2dtXK1Q3cZNB,140500
0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT,229227
0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,6mmPpaltUZK7xjNlBPQQ0p,224997
0.603,0.784,-4.023,0.062,0.446,8.32e-06,0.119,0.769,172.041,3EaJDYHA0KnX88JvDhL9oa,173104
0.804,0.787,-3.824,0.0746,0.14,0.0,0.0927,0.562,91.974,2beS6dD5rovBxSA1zYoSHR,309120
0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,3Vi5XqYrmQgOYBajMWSvCi,210560
0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,179940
0.85,0.541,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,0cOa970mzTWAxKtltpkpLc,165275
0.657,0.821,-3.06,0.32,0.459,0.0,0.103,0.752,96.561,6VAS7m73rDopQe7BdrFMpD,160000
