danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.621,0.646,-6.726,0.0364,0.0114,0.000131,0.0931,0.216,112.914,0lo0uTr01YwLsquOAuwUEA,183053
0.861,0.627,-8.382,0.0391,0.108,0.00729,0.0617,0.6,123.999,2vMq9s42ULbH9v3CdNABI3,182027
0.679,0.739,-7.184,0.118,0.162,0.0013,0.131,0.457,101.985,1J8BB10crN7uZc42kZiALR,206600
0.691,0.742,-6.393,0.0555,0.558,0.678,0.109,0.365,104.933,5BkbrF1KA0Y6Y0B5M1N57v,194347
0.687,0.631,-7.013,0.03,0.173,0.000785,0.207,0.579,129.988,2p3WQbRO3rEhugBATJDZKU,171827
0.651,0.645,-9.395,0.0372,0.496,0.0204,0.105,0.24,115.027,2zx4cyrEkfZHIwJcYEHyDB,185913
0.824,0.499,-9.646,0.044,0.0936,7.88e-05,0.0791,0.926,100.104,5WFiYXOtO5u45X5mLv6ckW,202796
0.773,0.56,-8.787,0.0473,0.551,0.000157,0.0717,0.392,103.005,11oSV1uWeXCF4jSzwpZffA,170097
0.723,0.63,-7.407,0.0439,0.604,3.01e-05,0.0669,0.409,108.009,4u0dpuvdgKBBGljlKYRkf2,206827
0.705,0.792,-5.167,0.025,0.0217,0.0259,0.0574,0.542,104.012,5doB18k5d74YdrF74Dybvf,204496
0.81,0.479,-11.028,0.0457,0.0108,0.529,0.0656,0.49,123.981,4FZXNjy9tRM2qrwpEs46Wc,184805
0.811,0.469,-9.197,0.0548,0.358,0.00071,0.0914,0.373,120.005,4DHT5FB2rVe1PuJMcgZmg2,190649
0.753,0.554,-11.75,0.0355,0.61,0.0514,0.0862,0.496,131.005,0VUrBTBFYX8tkGUbWJ5wkD,201836
0.395,0.364,-11.728,0.0296,0.845,0.00454,0.0825,0.482,133.228,5c7FvMWuOdaa2ZLvj67rsk,170093
0.639,0.44,-10.815,0.0312,0.403,0.000704,0.123,0.449,96.99,3A8Xv7OLC1IvruefbgEPt2,142840
0.58,0.668,-9.882,0.0768,0.268,0.00209,0.114,0.568,157.05,0PvDUG18CCUqrVTyK2aGkw,173183
0.756,0.78,-6.387,0.0356,0.0415,0.0812,0.0816,0.444,116.055,05LxLrui38KJAD1Ui1yGqN,218520
0.805,0.397,-9.041,0.0375,0.835,0.00118,0.18,0.943,130.043,4U6rMXd8plvspnNy7Iihwe,119925
0.704,0.671,-8.686,0.0362,0.125,0.0237,0.512,0.396,98.021,6lKs1pXjZvGQHNky3qD6qz,149719
0.656,0.698,-5.93,0.0352,0.0245,0.0185,0.0829,0.675,128.025,154FZo5XA2j8PqpsWeBzOt,203893
0.598,0.193,-14.154,0.0383,0.898,0.54,0.0507,0.0745,140.005,2wWlrpVleWOYkOqhpkV2EJ,324960
0.742,0.624,-8.139,0.042,0.252,0.154,0.268,0.866,133.977,17FECd8IneHV65pCJduuse,191417
0.812,0.368,-9.801,0.0479,0.0663,0.548,0.0838,0.912,129.951,4Ns96VeAFjAjtTxYSdSQ2f,202227
0.574,0.854,-8.312,0.0858,0.0199,0.00559,0.18,0.821,173.963,4CJ4WBeEZZVFulKVS6zmqz,168787
0.696,0.462,-8.264,0.0605,0.159,2.18e-06,0.129,0.465,139.979,0pTlR1MBae9DSvYTI8falu,176127
0.657,0.296,-10.762,0.0591,0.76,0.32,0.102,0.497,79.879,1CyELRjfViP1ihdN8i0GKI,172510
0.792,0.766,-5.322,0.0928,0.144,0.0177,0.145,0.75,122.131,70pdLmAbTG5Hxsr8UmJSFs,223600
0.842,0.557,-7.531,0.07,0.302,7.66e-06,0.0786,0.839,109.987,5q33mH9sEEdZJyK51d66tu,151501
0.65,0.712,-8.484,0.184,0.364,0.0244,0.12,0.663,196.039,0g8woFgSUJHgJ3tuKxMezr,167124
0.8,0.832,-6.773,0.221,0.0309,0.922,0.106,0.496,129.969,2604QmkjAd8peUvW2pq6DX,158769
0.687,0.701,-7.817,0.0422,0.00494,0.00248,0.154,0.649,100.007,2OjATTlZrAxGtQVQjec1Kj,223905
0.874,0.575,-7.471,0.0712,0.236,0.00031,0.0974,0.285,119.993,2VeWiX4VpEh5FlSqAI8ZxH,187291
0.703,0.571,-7.312,0.0502,0.0732,2.91e-05,0.131,0.881,110.065,5as4AqOmSQQpEgEabsrtHx,179697
0.644,0.878,-5.326,0.0255,0.0844,0.205,0.0724,0.5,109.021,3zOw6BCIkalIfA8pS9bYTX,276741
