danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.415,0.748,-5.008,0.0481,0.00305,0.0,0.0903,0.154,120.056,4ltqfN12ohaVZdM6C45gMg,258419
0.779,0.372,-6.252,0.0284,0.195,0.000324,0.703,0.327,129.968,11uXhnPkoGQtk3STW7ItHr,184973
0.555,0.474,-11.706,0.0668,0.224,0.00426,0.162,0.262,134.89,7jhxagwOk9y1HC5ciRfmkQ,216160
0.634,0.663,-6.818,0.0331,0.433,0.124,0.102,0.6,146.053,41P6Tnd8KIHqON0QIydx6a,177533
0.677,0.551,-7.963,0.0293,0.0206,0.269,0.088,0.246,106.954,3ceTUPvI4JAuSwFWfeB7Ym,142667
0.413,0.722,-5.875,0.036,0.00342,3.13e-06,0.0626,0.0803,109.948,0JX23XA8E7aN1Chj32kgVn,257747
0.491,0.87,-5.138,0.0393,0.000141,0.000729,0.368,0.314,131.989,1QmWlI3uylUl7Je1uTtj42,232320
0.732,0.703,-7.224,0.0314,0.104,0.0417,0.109,0.836,108.979,5DRnssBoVo8e7uAQZkNT8O,156772
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667
0.834,0.928,-3.183,0.0346,0.00813,0.411,0.0795,0.795,132.993,4FHJqPdhIHhHn1JfcdwQOL,205387
0.619,0.548,-9.338,0.0294,0.582,0.0496,0.0733,0.636,124.884,5QLw2hi44Hhc9okMOF4VLT,321663
0.627,0.791,-6.422,0.127,0.00365,1.05e-06,0.595,0.545,144.06,4eSZUNz2flCKs7zESV50kW,106867
0.611,0.507,-8.521,0.0267,0.0208,0.012,0.222,0.401,76.578,3i7XRi2UyvGTdJawJRkVhd,187389
0.416,0.762,-7.385,0.0279,0.312,0.804,0.0559,0.461,95.967,1fDFHXcykq4iw8Gg7s5hG9,326491
0.269,0.764,-3.735,0.0534,0.132,0.0,0.0723,0.15,181.299,49EXOlUTFBGdI098L6SXDh,252760
0.589,0.61,-9.663,0.0921,0.152,0.000261,0.374,0.348,139.941,4gsdYgnktO0jmKEVoL8kfm,296555
0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,64dLd6rVqDLtkXFYrEUHIU,215150
0.913,0.459,-7.528,0.0446,0.469,0.000889,0.0891,0.848,114.996,2F9DCIJ7ZXHhNkiIlIIOkw,215385
0.676,0.685,-11.396,0.0616,0.547,0.817,0.107,0.621,168.996,5jyj2XKWILHQxDoz59ddCT,195290
0.353,0.851,-5.068,0.0756,0.0589,0.000636,0.325,0.241,117.069,42oq4KDYcBwAHpEkV3PuWc,174627
0.398,0.826,-5.714,0.0336,0.0468,0.00189,0.195,0.175,82.531,47htv7rED6WpgrPFM4J9pS,252733
0.648,0.403,-7.038,0.0301,0.159,0.761,0.115,0.265,122.009,4TCMDoYMAGRzmvmBjnqUmw,253373
0.426,0.342,-11.531,0.0265,0.858,0.0172,0.258,0.155,74.853,7G6NU3cp3ufNMEFCI2l90X,376520
0.555,0.697,-4.47,0.0382,0.028,0.0,0.119,0.527,163.881,3BEG90ffpOk0TO8PTEA4AT,165453
0.641,0.773,-5.182,0.0676,0.00169,0.000189,0.115,0.555,114.677,0MtRE3z0MqQp9ZgYVW9s8u,213025
0.635,0.612,-7.371,0.027,0.0601,0.0035,0.787,0.545,99.972,1yQkAv4xtapCBCzI8q1QGF,177642
0.712,0.53,-9.842,0.0444,0.66,0.512,0.129,0.496,118.994,1672RT45nXNUb28fzzPxn8,226013
0.671,0.736,-6.705,0.0344,0.0547,0.00381,0.111,0.89,141.967,4JvFNFTjEtZyEzh8w0YzHF,246707
0.523,0.555,-7.761,0.0776,0.295,0.000859,0.0812,0.715,99.641,2NbS9E0ZZKAMJAppj8P53N,303173
0.593,0.576,-10.331,0.032,0.526,0.718,0.0827,0.559,109.935,3dvXRk7TZ929m21p49RR5P,310554
0.559,0.852,-7.428,0.0287,0.00169,0.732,0.392,0.462,132.972,3tYH04NBLuzodhjHpsBjoh,231493
0.485,0.747,-7.188,0.0339,0.00416,0.0123,0.157,0.589,151.212,4VYNZbmI3ixv9mlTTd9NKc,184549
0.571,0.775,-7.83,0.0273,0.00278,0.59,0.182,0.515,99.902,4WYVA9t70fpESE1mychdZL,239147
0.465,0.696,-6.233,0.0363,0.00777,0.00196,0.142,0.0494,174.806,7H7SHw3YWXhb4zYqyoPNa1,234858
0.742,0.859,-6.495,0.0417,0.349,2.61e-06,0.12,0.848,129.978,1UZ1OcxlQYd28UoCnbNYCB,218640
0.228,0.427,-8.739,0.0363,0.752,0.0167,0.592,0.192,180.345,2LtCEKs68u3RpNh4wybCF8,197333
0.641,0.917,-9.749,0.0347,0.202,0.84,0.17,0.14,113.401,22MPIMPsoi0vd46wsbpzfE,152381
0.694,0.623,-11.177,0.0446,0.171,0.235,0.073,0.629,109.992,48iDkwmfHzeX5IXFQujb7x,284971
0.568,0.594,-6.211,0.0257,0.0568,4.83e-05,0.23,0.468,140.029,7JONeaUwRAPZvrXBrhGq4E,224000
0.942,0.814,-2.523,0.227,0.0685,8.72e-06,0.057,0.886,121.981,6Oxvmvd1R15OPi86rcj7l5,119559
0.711,0.72,-4.898,0.0319,0.000219,0.804,0.0748,0.388,104.022,1IafXP9REln2SxcNXOCIDS,195805
0.623,0.766,-7.445,0.0531,0.103,0.0193,0.158,0.55,153.15,0atclF6Pp5MffEEi7CSFlE,150824
0.538,0.689,-6.906,0.0248,0.0145,0.0079,0.115,0.637,100.203,0c8dhGhpolT4ByZ28RgIti,227842
0.598,0.924,-4.974,0.0623,0.0205,0.799,0.17,0.611,168.017,2B664ulJSVBd6B8SAY3Wux,162339
0.613,0.633,-6.494,0.0292,0.0439,0.0,0.0839,0.334,115.98,4CZgQq8KJYWGh1bM3sqGmd,214158
0.687,0.691,-6.743,0.0378,0.325,0.000153,0.12,0.831,98.055,3G1nE9ZEv4eGEM48IAIv8u,181687
0.702,0.525,-5.028,0.0313,0.376,0.0667,0.119,0.515,113.856,1ciQU7ZQGHq129m3njp9en,169720
0.466,0.404,-7.789,0.0271,0.0187,0.0494,0.085,0.235,89.955,4JAFlkYkNy1MM6zOqRbiGp,212093
0.589,0.899,-5.578,0.225,0.512,0.00016,0.125,0.335,175.719,6I1iRZyHuBtsolaGh3knLI,286903
0.741,0.389,-10.971,0.0615,0.462,0.532,0.103,0.742,90.01,3BeaiIXko9QV8689eWB6yd,161397
0.739,0.522,-10.876,0.0355,0.0174,0.00608,0.199,0.214,110.0,3fpfQC77x3uwESSJ6VmUKM,188781
0.513,0.369,-10.899,0.0307,0.634,0.0139,0.186,0.311,72.062,0yowbJnnbTLpr99f9l1uba,265798
0.787,0.761,-8.415,0.0372,0.186,0.535,0.291,0.674,131.947,3XlKF7jaEQhVc3FcmN6ao1,149524
0.611,0.737,-5.552,0.0314,0.000395,0.0436,0.187,0.486,119.994,1gib2zY48RjxVCXcpKuwPW,152584
0.72,0.783,-4.314,0.0268,0.0042,0.000517,0.0971,0.512,94.01,6fTkSjFAjab49yVASIWwey,198373
0.763,0.759,-3.925,0.0906,0.218,4.24e-05,0.0724,0.964,146.006,0Dl965SLJGi9bB0SrvtPRx,133151
0.464,0.518,-8.13,0.108,0.758,0.00744,0.103,0.56,155.623,3Q4WTzhqY25Y7aVCmYt4TJ,176667
0.661,0.853,-6.349,0.035,0.0612,6.96e-05,0.265,0.82,120.003,5c6lGOvAZrsuj9ypNX3doN,202219
0.628,0.786,-8.15,0.0593,0.153,0.000772,0.0777,0.243,103.01,5fzFsmKy3ey9HHkUxrKYhW,205775
0.696,0.786,-7.593,0.0467,0.0834,0.419,0.0446,0.76,96.001,5eWKybWrLV0JyI2rU0NfA1,267080
0.494,0.854,-6.818,0.0477,0.131,0.359,0.0921,0.71,220.024,6MynbspeogZ1SeMXsoD0Nf,189202
0.852,0.376,-10.434,0.0485,0.408,0.452,0.0956,0.484,114.999,5vbnQr1tWSSREmcIONIUm9,187072
0.576,0.764,-6.243,0.0401,0.0597,0.264,0.18,0.465,128.013,2JMB5piiHlzUWqvnPfuVCO,201333
0.548,0.56,-6.246,0.036,0.128,0.000132,0.139,0.476,83.967,6IhWjoBYe5hvHKA4ZLH4dX,231627
0.782,0.359,-9.088,0.0302,0.417,0.0237,0.203,0.793,98.996,6DYLWAdxEJvwWmT7EkeDkX,158360
0.572,0.771,-9.007,0.0983,0.0197,0.000382,0.288,0.841,194.032,3T99pTSG50ydk5NWrWb8t4,123711
0.577,0.806,-5.134,0.0406,0.272,2.2e-05,0.0795,0.707,128.377,1FjITBDWT1DyZGiMaJvy2a,288747
0.632,0.861,-3.472,0.0365,0.0766,0.0,0.327,0.714,108.004,71qr4SoRZ61SKxhH4XhAqP,217137
0.452,0.853,-3.9,0.0452,7.59e-05,0.0,0.421,0.349,160.094,4laLG72m2HR2WzU3BRIGo8,193500
0.754,0.554,-5.16,0.0337,0.0204,0.0,0.0645,0.471,111.051,7uDPHQ8ZRfeqwmYGDGYAio,184240
0.633,0.592,-8.381,0.0849,0.659,6.03e-06,0.109,0.298,147.996,575TV9YEnYo7bVLa0sveRn,155680
0.47,0.673,-6.267,0.031,0.1,0.000885,0.0996,0.545,124.887,0l5RnR0hCX0PnOlYuR6x3q,137333
0.581,0.522,-8.615,0.0266,0.557,0.000389,0.0988,0.407,132.314,5AOfrE1Sw9wWYfTkL2C7uP,198467
0.589,0.802,-6.085,0.0336,0.00345,0.0466,0.0768,0.759,107.945,0pPriiSNZ0ZuTVsWZbPuph,90127
0.84,0.299,-9.548,0.118,0.271,4.7e-06,0.164,0.553,105.002,0xEpNvwICCpdZU6i2h0GUr,170933
