danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.656,0.589,-11.478,0.0381,0.665,0.851,0.108,0.578,129.992,48mqfE8RHAaxVWSr3aSOjD,273560
0.723,0.604,-6.254,0.0319,0.179,0.000463,0.0939,0.562,111.497,4rf0IVQDFjr27T4sgah5Pf,240880
0.59,0.697,-5.877,0.0291,0.269,9.86e-05,0.0881,0.497,146.059,3SkKLZFgKIY0DKX5Vro5jV,315599
0.572,0.583,-7.407,0.0412,0.153,0.000109,0.0977,0.181,84.017,1YhJTm664ZT5xheQLBDgd1,221388
0.71,0.458,-11.79,0.0757,0.71,0.00179,0.112,0.29,144.019,2dxyTLxvO1xzHSD6fDafwZ,207053
0.715,0.636,-6.271,0.0288,0.299,0.00373,0.0955,0.573,127.932,0tSMRt4iehP8ogwmRMEBdi,221627
0.693,0.572,-10.491,0.041,0.308,0.000405,0.0736,0.867,109.816,1hp7aHiWB6zxcpehJR7xRO,209099
0.864,0.385,-11.553,0.0454,0.102,0.0539,0.143,0.665,113.014,6otUjBoNrp27EubqsoYGQx,205680
0.723,0.635,-7.975,0.0674,0.211,0.00982,0.281,0.191,91.996,7EsezxxlX1rNmdFEG4l4AN,209627
0.365,0.273,-16.526,0.038,0.94,0.431,0.109,0.238,132.285,0oTtnnedK0C4unALxVTPhz,248965
0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,0Oqc0kKFsQ6MhFOLBNZIGX,202193
0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,7eJMfftS33KTjuF7lTsMCx,173333
0.621,0.873,-3.067,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,5hM5arv9KDbCHS0k9uqwjr,237800
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,238805
0.687,0.617,-5.213,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4sNG6zQBmtq7M8aeeKJRMQ,252307
0.731,0.626,-6.919,0.0805,0.125,0.0,0.183,0.862,82.488,1sx0XsWUusUoPstbvokZjP,173640
0.6,0.535,-7.043,0.107,0.648,4.7e-06,0.162,0.269,71.912,0CZ8lquoTX2Dkg7Ak2inwA,225133
0.638,0.738,-4.976,0.0292,0.117,0.000384,0.689,0.657,97.021,4BdGO1CaObRD4La9l5Zanz,243147
0.863,0.533,-7.986,0.0484,0.291,0.00126,0.0794,0.738,102.025,66tkDkPsznE5zIHNt4QkXB,249957
0.593,0.576,-10.331,0.032,0.526,0.718,0.0827,0.559,109.935,3dvXRk7TZ929m21p49RR5P,310554
0.811,0.452,-8.676,0.115,0.162,0.00305,0.12,0.556,121.058,0BWBqb5XxraObLopqskk6D,199006
0.381,0.502,-5.505,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,1djzKW3eYLyzjjHXazEWWh,237800
0.594,0.516,-7.848,0.0316,0.198,2.91e-05,0.0736,0.154,108.017,1oSDiyNMslJoTCfUZBHNP2,191530
0.593,0.697,-5.416,0.0399,0.00289,0.0257,0.14,0.428,170.0,67YPjbcxUypwNOwYBZquq1,230960
0.762,0.481,-11.057,0.234,0.519,0.0154,0.124,0.317,108.989,6wqv1yeDe2wlPmQEM5ZCYb,196162
0.54,0.842,-3.926,0.05,0.0075,0.0,0.0915,0.377,105.011,2PL9IBLQvJjE7hqCQyJl2g,207679
0.62,0.712,-6.434,0.1,0.228,3.39e-06,0.0561,0.83,170.234,4dRqYKhLVujxiBXcq50YzG,268600
