danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.935,0.532,-6.416,0.0396,0.403,0.0,0.089,0.844,110.013,0O0kmHHBUG4YCqrKvMnmQy,195273
0.838,0.708,-4.668,0.166,0.176,0.0,0.343,0.96,119.984,7MVIfkyzuUmQ716j8U7yGR,128677
0.757,0.727,-3.458,0.242,0.261,0.0,0.108,0.651,91.638,07Y65et1sMhIcVP4MA7p0R,182470
0.805,0.666,-8.314,0.13,0.302,0.00435,0.283,0.551,95.999,21M3XwoJcEXdLp9cQPJKeK,208607
0.7,0.472,-7.254,0.0651,0.382,0.0,0.117,0.53,144.299,5W9BnhT88VCmPKDvpXY7vu,148333
0.831,0.442,-15.197,0.0528,0.0558,0.0449,0.113,0.333,123.992,0Zk7UObYCZLCLd1pqN3Gjb,174194
0.699,0.63,-7.137,0.0689,0.359,0.0,0.155,0.308,130.067,6P9s4nXzkFjapxRmcTUlka,188827
0.819,0.657,-8.01,0.0407,0.326,0.00159,0.0915,0.875,122.01,2XvJurdJip7XdjW1j1EfS8,228437
0.575,0.419,-7.498,0.0749,0.746,0.00011,0.0982,0.468,164.861,2IEO7E3Qh7nYgKjdVagZKq,139446
0.809,0.711,-5.077,0.125,0.409,0.0,0.0924,0.821,84.949,0TiFkOjNbX3I08fC6n51Bl,180706
0.674,0.456,-6.253,0.0399,0.785,0.0,0.126,0.933,89.967,3UytZp1xDkNkROyIwE7DbY,176373
0.795,0.625,-6.966,0.0751,0.151,0.0,0.128,0.715,99.991,0bhWW1Bve1Ng6kEm8WjiQA,194840
0.62,0.741,-6.081,0.137,0.531,2.92e-05,0.156,0.353,140.04,5uHAzGa4d9j35DEbhUwGhi,176395
0.633,0.755,-6.961,0.123,0.213,0.000366,0.072,0.317,159.972,77TNJhVDMPwRYxeMOED5Bl,162422
0.494,0.553,-5.57,0.197,0.413,4.17e-05,0.218,0.359,82.061,0fVDu1evgjX9CFD0cmuRrM,172756
0.899,0.442,-8.931,0.291,0.106,1.57e-06,0.215,0.766,117.053,4CVhywni3QwalKLZgwFi58,140288
0.784,0.754,-4.784,0.225,0.0223,0.0,0.17,0.478,107.943,4rW2KfMNxdyNsLlaOYWXh3,258847
0.854,0.697,-8.538,0.207,0.387,7.97e-05,0.101,0.499,104.982,2AAiUwUnxOY0sZYRLGkW9H,157716
0.494,0.274,-10.15,0.029,0.897,0.000241,0.107,0.0835,134.29,4lOP4BFzkPCECQTcVJgZPL,251853
0.761,0.681,-6.507,0.505,0.402,0.0,0.0922,0.547,82.285,2KTuqLyX4K0on4TovE9u8o,187317
0.565,0.807,-5.413,0.274,0.547,0.0,0.421,0.31,104.777,73zQG7t3tZDyePEflVSqJJ,237658
0.515,0.595,-6.469,0.0263,0.602,9.13e-05,0.248,0.246,106.049,715WLRXs9Jrc65K2KH1lNS,236656
0.937,0.63,-6.063,0.0502,0.61,3.88e-06,0.0734,0.943,132.033,0FDTPGlLjF8SGWSsHyzNBe,167273
0.788,0.68,-5.716,0.0802,0.142,0.0,0.0642,0.742,114.981,4KQODLeXGCDfixEiUX6aDF,181890
0.786,0.365,-6.458,0.0347,0.317,1.71e-05,0.379,0.401,130.093,3CaqjyISMBli311fJtv44h,127154
0.654,0.354,-7.358,0.0738,0.724,0.0,0.134,0.262,81.956,2x8oBuYaObjqHqgGuIUZ0b,183547
0.463,0.214,-8.959,0.0392,0.843,0.0,0.14,0.452,141.865,57i3tg8kJYRL13vZqoq0kC,277675
0.743,0.804,-5.839,0.039,0.112,0.00325,0.131,0.951,112.019,0nddhkhTtvxd7kh7QdnkFR,225938
0.618,0.601,-5.922,0.201,0.424,0.0,0.105,0.531,82.588,3NYmQgmnd2nDeRfq5vQbyu,192527
0.723,0.826,-9.429,0.0719,0.296,0.582,0.094,0.819,110.0,6F0ba08q7nfxxIwExEJ0Rk,244705
0.597,0.64,-9.149,0.0303,0.000306,0.0382,0.0967,0.31,113.996,6SOQ1rrcQL3UcGmsLOrXtd,238723
0.653,0.833,-5.864,0.0347,0.145,0.906,0.109,0.688,109.975,4ctYJYvxvcbGKH7cXoaVy2,207646
0.691,0.31,-13.202,0.0722,0.507,1.35e-05,0.111,0.513,79.996,297Vr1chPCF0607I0g80IJ,244500
0.826,0.485,-9.87,0.115,0.797,0.0,0.123,0.367,106.957,6F7ZNF4DVfzyDi6Gjnjt2m,112509
0.745,0.497,-5.758,0.124,0.215,0.0,0.0711,0.81,160.031,1wd9Yc43eVRgsfivN750MU,226517
0.689,0.41,-5.593,0.0304,0.852,0.0,0.122,0.898,90.034,2u3Hwa2fckCMGb5vo8DBbJ,122667
0.754,0.784,-6.639,0.0409,0.0583,7.06e-06,0.118,0.671,139.996,4Aoz42A3p0N9fReZrIezJ5,173000
0.606,0.704,-3.203,0.0285,0.391,0.0,0.109,0.666,91.478,1DFDbSWdESvzWHHAe6BCQ3,310296
0.767,0.755,-9.564,0.0621,0.0867,0.455,0.162,0.0575,120.987,5nQNuWgtRHzQXTmnrb2Ysn,181983
0.621,0.669,-9.17,0.0539,0.571,0.000591,0.202,0.602,160.045,7lBhTIVEhFmuptaX7Cs1vD,237750
0.897,0.432,-10.249,0.0818,0.0424,0.399,0.107,0.417,95.035,2G4v9zseCOfdTvIs90qi6D,157880
0.431,0.34,-9.384,0.0311,0.794,0.0108,0.12,0.0529,119.877,5U1OEoEW4xnalSAToamwZL,285051
0.679,0.367,-15.134,0.0323,0.322,0.00574,0.0503,0.744,111.014,74EyCgYnEH3ARfgpLh0Cdq,229239
0.472,0.37,-13.301,0.0305,0.145,0.902,0.127,0.427,92.041,2hTLilKnyaOeQ2Ost5uGDS,232174
0.656,0.652,-7.899,0.0276,0.0428,0.017,0.121,0.527,140.004,06kZbAkPevdwrQDa1Y41UM,221250
0.51,0.45,-10.012,0.0552,0.514,0.0,0.11,0.166,144.032,41bVvrQ3VwOPWg9Wkz7JLa,216000
0.752,0.433,-8.96,0.0297,0.679,0.000207,0.0872,0.686,96.986,4DbemOwzWCwqGV6Q98as2h,162312
0.619,0.548,-9.338,0.0294,0.582,0.0496,0.0733,0.636,124.884,6LkquZ7k3q1eeBtltF63lj,321663
0.685,0.621,-9.637,0.0271,0.0022,0.225,0.0988,0.337,119.975,7B29BMyYb5jgnwfiJxLwq8,258630
0.668,0.634,-6.988,0.147,0.0711,4.7e-05,0.13,0.446,87.036,0HDVApchfoNIfFPsbtTfPT,192935
0.872,0.577,-6.33,0.037,0.154,0.014,0.112,0.38,121.996,4nbkZq5yLjPh4Zy7kEqOGX,188633
0.836,0.534,-5.301,0.0565,0.745,0.0,0.0777,0.922,133.983,24La1Vx1hoGp9SVo3gL8x5,144179
0.677,0.743,-5.381,0.0358,0.362,7.93e-05,0.138,0.44,128.001,5JM0MaVqz9I38pRzbo9U6l,183110
0.392,0.481,-8.406,0.115,0.574,0.00932,0.131,0.566,173.071,5wuiYSW949mfA4azJ32mx2,166194
0.576,0.243,-9.616,0.0321,0.898,0.0,0.297,0.708,164.797,1Zp6wk74v4tf1UPgX75IQB,214162
0.74,0.866,-4.925,0.0565,0.0982,0.00122,0.109,0.778,115.052,6rZNDWPFxpmbBhjm4RwpUB,161693
0.637,0.784,-7.157,0.0665,0.0888,0.000545,0.162,0.499,166.009,5gGQIro4l0L55dfk85WxUP,200624
0.757,0.867,-7.179,0.0329,0.339,0.644,0.117,0.785,128.031,2XsgW6lzGWGCmw9DoOkZ2S,208962
