danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.416,0.248,-14.62,0.14,0.647,0.427,0.113,0.134,161.667,1wTopxO5eQBpxrBXPSbsUn,433916
0.617,0.272,-9.594,0.055,0.86,9.22e-06,0.125,0.301,127.385,6rN8cR7iEcC1hAlHF4UpSN,201174
0.657,0.66,-8.457,0.0538,0.133,0.00586,0.137,0.419,118.984,2x8zUjRP6z5N2GmZ13zU76,177500
0.699,0.372,-13.396,0.0476,0.363,0.915,0.1,0.831,104.023,11sfRkHdvsop5DdHVmGpt1,201524
0.612,0.654,-4.868,0.0309,0.301,0.0347,0.101,0.384,138.121,7mfGLdrBIlR7o6s6YFpjwi,140147
0.533,0.847,-7.261,0.0383,0.0127,0.533,0.159,0.494,140.088,6dmZu0IVmbT1rDIiYiRchg,173262
0.376,0.831,-6.543,0.0826,0.0417,0.00764,0.0678,0.289,168.026,0KmC4jFH8axcJqKvOTBXeX,175387
0.436,0.497,-4.442,0.0292,0.0633,0.0,0.166,0.495,159.869,5GKs69j8y4MajGkizLNFCK,182400
0.679,0.74,-7.746,0.0588,0.198,0.0451,0.107,0.674,141.016,3ne8gcrNZD2lJihBGl5RC5,195510
0.701,0.656,-9.312,0.0373,0.0679,0.0098,0.0622,0.352,123.994,5bsfGuTSjqfkJdQQ4xVx9X,154280
0.533,0.716,-9.718,0.0573,0.00243,0.227,0.391,0.38,120.058,4IPATLSUoEdsmqwxwNjr4g,210773
0.416,0.653,-8.409,0.0357,0.0355,0.000867,0.0927,0.557,145.126,66miBbiy913lgyKOCdFta0,218330
0.567,0.301,-14.914,0.0325,0.74,3.92e-05,0.173,0.23,119.953,7mMuc0fI5zlcQ6YXsQfVBk,308000
0.573,0.63,-7.112,0.0377,0.46,0.0,0.143,0.348,133.738,4F29imzGfhbvEuYgyUPpHx,171280
0.568,0.834,-9.437,0.0397,0.528,0.925,0.111,0.356,130.979,5yjCsVemygAPwehOOPRtND,164885
0.564,0.378,-9.164,0.027,0.00137,0.0,0.241,0.876,95.03,7ezdBjcpj2yQVDLWv80z3U,220011
0.757,0.191,-15.082,0.0414,0.88,0.00119,0.109,0.737,135.006,4Zx6WKvQxGhk2UD4huHFBZ,174888
0.553,0.224,-12.492,0.0358,0.925,7.24e-05,0.112,0.392,160.775,0QiNYxQRmZgkkBf023sPAz,135339
0.622,0.682,-6.487,0.0839,0.741,2.6e-06,0.49,0.405,78.028,6wuJXtirfIartyLOSSDno9,141538
0.581,0.55,-8.527,0.0268,0.174,0.0739,0.151,0.423,108.825,7BaYmGOuHwdosJil9lObDL,276880
0.717,0.482,-9.211,0.173,0.0108,0.0194,0.157,0.646,177.998,02jhBMmYb4HHlrDP4kPp6f,243206
0.479,0.722,-7.423,0.0815,0.0371,0.743,0.149,0.45,80.117,0i2Jqb94Sproa7BVv9pwd8,336294
0.49,0.504,-10.806,0.0317,0.237,0.364,0.119,0.123,161.975,0MFBeyhJD2LJBPA5wpi0X2,220107
0.401,0.153,-22.095,0.0387,0.961,0.628,0.0861,0.254,94.655,6G3Rl9I1mqrok2EyPeQ0PX,202000
0.463,0.62,-8.027,0.0315,0.15,0.927,0.255,0.205,99.094,2TNfI1TGo40RpRfvIuI2zO,177572
0.508,0.881,-6.059,0.0442,0.236,0.0,0.341,0.559,109.401,484pR4ygqRozOWewi1hA1Z,174800
0.762,0.581,-5.54,0.0309,0.00412,0.0,0.098,0.781,120.073,7bYhWHFq1bdgF75y0CE9E9,172173
0.535,0.884,-4.521,0.0518,0.0305,0.000918,0.241,0.673,137.938,39JRTESEqGbjhTPz0N0Ctk,180548
0.621,0.646,-6.726,0.0364,0.0114,0.000131,0.0931,0.216,112.914,0lo0uTr01YwLsquOAuwUEA,183053
0.489,0.108,-15.797,0.0704,0.918,0.0,0.0997,0.249,142.874,66p4Ccug3Mn3r4FAv9ojCy,130000
0.399,0.711,-5.855,0.0321,0.0324,0.0631,0.114,0.102,139.972,3kUAdSRSrERn2yDfm8J9kU,243354
0.474,0.193,-10.76,0.0315,0.671,1.93e-05,0.0999,0.15,143.928,0EWHn0McVO8Ewbkqvh53AD,279041
0.669,0.458,-9.009,0.0263,0.654,0.84,0.118,0.763,133.024,0QTBPKcT0vvXRRNFTznWy6,133494
0.517,0.891,-6.749,0.101,0.00905,0.0245,0.0654,0.363,152.007,21rYCEejlfM0LYRlfzxGeM,226077
0.588,0.898,-6.362,0.0492,5.99e-05,6.04e-05,0.186,0.593,155.989,37Q6kTk6hb3nqMCo6KaFln,124769
