danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.755,0.553,-9.449,0.107,0.0492,0.00607,0.0646,0.836,119.7,3AA8xNhDC0MpqwkGX3EP5V,266600
0.563,0.739,-4.239,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,3GBApU0NuzH4hKZq4NOSdA,191707
0.722,0.725,-5.337,0.0293,0.0299,1.16e-05,0.0917,0.345,119.985,3h7eMylOrv17N8f1RlTom0,216240
0.638,0.535,-7.792,0.0415,0.623,0.0391,0.0837,0.504,84.947,6zfczP87XO2SxWlQtnjFNa,277653
0.696,0.354,-14.043,0.0353,0.767,0.00158,0.128,0.242,119.938,0HDO6JFfplYPrSWuufUosZ,227027
0.763,0.803,-3.713,0.0351,0.0709,0.285,0.348,0.561,103.04,3FtYbEfBqAlGO46NUDQSAt,229640
0.766,0.661,-8.034,0.0428,0.462,0.00824,0.109,0.744,101.005,6q1OTBE6VFcJDmysQj0eaG,280387
0.646,0.63,-10.748,0.0435,0.00462,0.27,0.122,0.164,109.018,7lPgKA5mLFNmGPMdb07OlM,283067
0.33,0.423,-10.504,0.0279,0.265,0.731,0.347,0.117,143.086,052z2UsE2wPrHsBJ9tly0g,211500
0.533,0.251,-11.283,0.0372,0.873,0.104,0.134,0.186,77.503,2IqjKEBiz0CdLKdkXhxw84,223600
0.566,0.647,-6.815,0.0335,0.0477,0.0,0.121,0.22,111.96,1Ist6PR2BZR3n2z2Y5R6S1,264773
0.573,0.679,-5.693,0.079,0.237,6.82e-05,0.375,0.583,98.085,2U5kSevItDmL0XzSDyemRp,203160
0.303,0.9,-2.352,0.0574,0.0277,0.635,0.11,0.491,149.508,0LtOwyZoSNZKJWHqjzADpW,192960
0.72,0.595,-6.109,0.0976,0.0672,4.73e-05,0.0775,0.486,111.0,1x5MjCffpcdHLf65eR9r3T,207187
0.639,0.715,-8.954,0.0392,0.0243,0.000552,0.619,0.813,128.072,04caEZhAsQKnWqKsMwk9ud,238853
