danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.489,0.119,-23.428,0.0805,0.987,0.947,0.104,0.0731,125.535,6AYKnVV6OEgnOreURn48Kt,129595
0.498,0.0749,-22.481,0.0473,0.982,0.925,0.111,0.263,106.329,7EaZOfcQgKj53K2FPKWpIk,189250
0.614,0.0734,-22.777,0.145,0.972,0.911,0.115,0.386,131.68,7qNq3sxKEdzYWvxLSLkj0J,142750
0.629,0.0496,-20.758,0.0475,0.965,0.696,0.112,0.0693,97.88,783rIPMloYUfHcBnNwdj9Q,124755
0.588,0.0385,-18.995,0.0488,0.994,0.938,0.112,0.149,96.066,7qzfZetxTQEZlFi3QB7zHx,135531
0.655,0.0471,-17.201,0.166,0.994,0.931,0.11,0.146,98.505,4ZKXTmQ9vGQG4QJEZjhm8u,134931
0.618,0.108,-21.031,0.123,0.936,0.913,0.102,0.159,125.662,0inkIpP5IGzsoPSswvOQX8,105892
0.482,0.0742,-19.028,0.055,0.956,0.94,0.108,0.234,100.343,3NvvbRZxy4yis6QTaHyVMx,185849
0.607,0.0227,-22.359,0.378,0.963,0.887,0.108,0.326,84.306,5dqXVZIkN8zzWQTStYGr0i,142000
0.54,0.0867,-21.854,0.122,0.948,0.916,0.115,0.256,80.05,3hl7B9bDfLmDd32hh3pD4Y,144000
0.715,0.0526,-14.427,0.108,0.885,0.858,0.109,0.207,110.813,3xLAwCiPGV4Tw89RPfpXqP,134373
0.461,0.0803,-24.977,0.291,0.98,0.911,0.108,0.404,172.663,7zHT43ArNRONxVmJ6Hxxio,142000
0.674,0.081,-23.824,0.0651,0.978,0.964,0.111,0.223,105.996,6QgsCarVTD1jp6wFq6sk3E,134151
0.61,0.0245,-21.095,0.0489,0.994,0.905,0.101,0.232,84.204,6qFynggiuKEUNZrzjuuzWQ,104785
0.625,0.101,-18.092,0.0596,0.981,0.928,0.117,0.157,94.257,5wMHOl6I3s50DgLuajsJZM,110364
0.594,0.124,-16.434,0.0735,0.99,0.925,0.112,0.166,97.779,1oEq1W6ChwTxUE87Jx9MFG,162843
0.588,0.022,-17.52,0.116,0.992,0.956,0.107,0.317,62.58,0odeeMwtvPisk7GJdTrP8m,122553
0.667,0.0961,-20.721,0.0829,0.982,0.946,0.111,0.184,71.341,00ktuagJxL4lP7xyJ1d82N,161117
0.617,0.127,-18.35,0.0874,0.987,0.938,0.108,0.329,60.443,4DzBcv4qWnW7RfkWJ8fz2M,107840
0.465,0.138,-18.469,0.079,0.99,0.955,0.11,0.385,101.887,1sgihll2tdAfRm3ko1Bay3,166004
0.686,0.063,-17.628,0.0677,0.95,0.92,0.111,0.253,124.162,5U3u4NXauUXzsnki4PbjPC,172375
0.599,0.0498,-20.059,0.391,0.985,0.932,0.107,0.584,138.199,3fdjOJT2aXArEAmx68eK8P,90923
0.652,0.121,-15.782,0.0698,0.973,0.937,0.11,0.35,95.025,78AHmGv11Zs0uXa0Yi0BZS,176845
0.611,0.0283,-18.64,0.0927,0.974,0.936,0.107,0.183,70.272,5uqwPOIOyFuvtx5e9JfEF0,130831
0.579,0.0612,-18.955,0.207,0.907,0.685,0.0906,0.0383,147.056,6mueyqJyIsSTHJBZaR6b2n,89699
0.77,0.0697,-15.865,0.0724,0.983,0.776,0.113,0.0398,121.029,27JyPhZMT8qnYNlOyMZLgP,149751
