danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.257,0.109,-21.356,0.0597,0.9,0.867,0.0762,0.307,75.02,61dYvvfIRtIDFuqZypPAta,151480
0.135,0.0428,-26.085,0.0483,0.988,0.924,0.134,0.0394,63.831,0wgqbmYhQyoL2TXGzQEg4k,240000
0.0921,0.0183,-31.858,0.0513,0.942,0.94,0.195,0.039,166.979,3JdD9wqvohYMjK6BmEHtTP,172120
0.27,0.0212,-27.692,0.0504,0.991,0.826,0.107,0.0838,111.718,0fNr9GAypfX7roqk9sFyI0,188693
0.065,0.341,-12.743,0.0482,0.154,0.854,0.109,0.0334,65.38,56oReVXIfUO9xkX7pHmEU0,371747
0.0975,0.0077,-34.135,0.0471,0.988,0.83,0.0603,0.0989,87.152,0rFdP3ZfwsUajBLUuex0Kb,190813
0.214,0.0437,-27.122,0.0524,0.991,0.518,0.0604,0.0385,89.16,3EptTG2j9TGvWQmOazro3L,192000
0.226,0.108,-18.898,0.0396,0.988,0.865,0.0889,0.0766,119.878,6wFh4rVU0zbuCSMnjXA3S7,419933
0.0892,0.0961,-23.09,0.0428,0.99,0.9,0.193,0.0773,84.337,2v6VES9HsN7M3cmY40hDM5,399000
0.434,0.148,-20.672,0.0367,0.847,0.873,0.126,0.0939,127.997,1WEGB2t1ZYHjQODNPaiftb,250587
0.0934,0.02,-33.082,0.0451,0.972,0.892,0.145,0.0452,85.332,1OiiMWZyDpXZysavzJ0LtB,206827
0.249,0.0387,-25.66,0.0453,0.992,0.907,0.0747,0.0511,117.595,4kPjycSu2K6IAlVVu5TuwP,380133
0.301,0.186,-13.635,0.0354,0.699,0.883,0.0979,0.0383,141.004,4aWpPyXgZsRr2winLc0mjp,340133
0.203,0.0143,-27.518,0.0482,0.994,0.911,0.0771,0.046,66.845,12Q1dPxQhzdwCe9ZeKFtiV,301000
0.259,0.0218,-27.173,0.053,0.992,0.918,0.112,0.0643,65.267,3ZJTnugRytfjlvOdhdWOiS,262413
0.165,0.0239,-26.612,0.045,0.995,0.922,0.0966,0.0953,66.737,66zjSAHGUoGZQKXXnbtXNn,418227
0.161,0.261,-13.907,0.0376,0.978,0.902,0.134,0.0477,70.282,4tZIHyRe46VpgRYMJWcqPO,192067
0.259,0.0699,-22.174,0.0356,0.988,0.918,0.098,0.239,149.225,3uJEHLscjZPNbMc1iF1mYy,342000
0.132,0.0195,-29.76,0.0445,0.993,0.888,0.0569,0.14,81.616,2kyEgPaAW8wdpvevPnkf0Z,163267
0.176,0.0428,-26.31,0.0473,0.989,0.888,0.103,0.0545,85.543,2CMo3GGC3fsPXDC1stfQzz,273000
0.199,0.0618,-22.286,0.047,0.97,0.864,0.111,0.0687,119.842,3piSeZsUx79vyAJYMpODvy,292627
0.115,0.0128,-31.33,0.0479,0.993,0.931,0.0518,0.0445,88.572,5rLOPYvtTgH5QhespqLPaQ,184160
0.192,0.0335,-22.595,0.0364,0.982,0.933,0.089,0.0377,92.811,1xPWXdLYrz4bX2ad1g30fP,293027
0.212,0.239,-17.042,0.0365,0.919,0.942,0.149,0.117,119.345,3NoTSP54RBUKGE0CK0wLis,149752
0.147,0.189,-16.853,0.0384,0.986,0.871,0.109,0.0533,91.653,6k9L1XDzkuIO2OMg9FLptR,264333
0.218,0.0363,-23.891,0.05,0.96,0.886,0.124,0.078,121.017,5EGQC8qSbx5xQD8dlat1R3,219693
0.186,0.364,-8.288,0.0377,0.962,0.899,0.101,0.0392,88.955,3tN0o0Dl0S7hG3YMDFNDkc,206400
0.214,0.243,-17.301,0.0319,0.917,0.912,0.0657,0.0381,80.187,1QwnjxsFzruTTCbuuKQdnH,176062
