danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.436,0.141,-13.271,0.0308,0.902,2.81e-06,0.126,0.146,76.64,6jGnykaS6TkWp15utXSAeI,198227
0.653,0.429,-10.473,0.0297,0.0849,0.00371,0.0693,0.627,146.073,7H3ojI1BsVy0dEJENqMt1k,274933
0.319,0.117,-13.233,0.0325,0.905,0.000111,0.108,0.138,78.563,3sICyTPASesVzpfGc1nM2t,194347
0.54,0.348,-10.641,0.0339,0.804,0.00199,0.11,0.456,135.73,1GGK81j5LaThJjnJHhfGDq,300520
0.89,0.279,-14.044,0.0345,0.724,0.0153,0.108,0.598,98.528,1oAs44xVvu4QaZpX9033S5,230267
0.651,0.221,-15.223,0.0273,0.847,1.11e-06,0.0895,0.319,88.17,5vVLUqs9ogEGnH44Lh8Tuc,217573
0.694,0.265,-11.319,0.0569,0.894,1.79e-05,0.246,0.422,77.389,3VFr9JYb6ppsl4yxwerUXq,199427
0.727,0.413,-9.621,0.0346,0.712,0.000158,0.0765,0.314,110.545,1WWVlkmJSdLBSiqF2m8Ex2,192173
0.745,0.219,-11.216,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,1zNXF2svmdlNxfS5XeNUgr,186251
0.449,0.431,-11.02,0.0984,0.606,0.0013,0.121,0.493,156.725,5Eh01izYB2eY2SZLHgzBwH,225093
0.666,0.303,-11.028,0.0356,0.841,0.000711,0.0971,0.342,81.923,4bJbSERtCqK9D6DRUPMmMh,212160
0.741,0.085,-18.854,0.0369,0.952,0.0042,0.114,0.364,95.242,7CbgvHE083TAjaRuEfwwgm,261920
0.66,0.437,-10.716,0.0466,0.906,0.00128,0.101,0.796,95.902,6UeCjzfLUBhHOtney81sPn,280529
0.271,0.1,-18.67,0.0331,0.935,0.16,0.0947,0.2,78.31,0zjOktNIgywCUwaJrIX93E,227347
0.798,0.234,-10.699,0.0317,0.875,0.000626,0.134,0.403,103.152,2MKLbFPQ3QDXpQ0KnS06Kl,202640
0.637,0.343,-11.831,0.0981,0.653,0.00255,0.102,0.658,203.783,1TT7MMEeEz2W4jxaQxU7lZ,219773
0.759,0.45,-10.5,0.0334,0.59,0.0113,0.102,0.457,96.051,2pzhO7ZJ3tQGnnkxI6sc5o,287613
0.649,0.334,-11.843,0.0451,0.856,1.58e-05,0.216,0.412,88.79,4EPwpBN0t11bIxjsAI8oaF,237800
0.373,0.278,-14.124,0.0476,0.908,0.147,0.182,0.207,74.883,3zh5km8gPDYMiWvmLTsos0,261360
0.539,0.443,-7.079,0.0366,0.575,1.26e-05,0.137,0.409,147.789,1eWgwHZXvYG6Odpx7QwJmT,201400
0.744,0.327,-9.834,0.0345,0.874,8.39e-06,0.137,0.442,132.018,6SYFwqZvPueoTBLoNjidAs,248417
0.753,0.189,-14.235,0.0352,0.287,0.00301,0.0854,0.579,104.95,68FhagAoZr9Ld8oCp9JoYP,267720
0.383,0.271,-12.538,0.0832,0.919,0.0,0.368,0.341,69.234,4IEGZYUSKkgWMy8vpp1Z7H,248500
0.651,0.347,-9.175,0.0341,0.694,0.0249,0.11,0.533,75.978,0AMKZWRgdFfGYYTxiWrwwH,210000
0.826,0.423,-9.196,0.122,0.595,0.0,0.112,0.574,104.01,63GVVtC9u2csLf7CqfInL7,150813
0.814,0.317,-12.495,0.0515,0.612,0.0166,0.093,0.281,102.434,2DPBgT4BHfawknU40BZ1gg,251920
0.612,0.128,-16.581,0.0311,0.783,0.0126,0.175,0.0941,75.971,49GsE7zUrjEea5QXfP4NWS,259480
0.855,0.155,-11.594,0.0441,0.979,0.00111,0.0905,0.548,109.913,55A5X28Hd8AvSAYKx6kcND,180000
