danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.772,0.487,-10.063,0.0698,0.553,0.9,0.0838,0.693,81.978,4Xp91oprIAo7n9tMYvK1f4,133847
0.769,0.375,-13.436,0.161,0.615,0.871,0.111,0.513,81.015,5PVWIBum4skGcuHkI8bWKB,97748
0.665,0.4,-12.71,0.0548,0.229,0.851,0.0814,0.341,157.965,0MWcu0NXEJszqLvK19n0hy,113165
0.744,0.324,-12.928,0.0872,0.788,0.897,0.0985,0.295,93.568,5O6z2ai9ZENm9XywrUjZZU,159379
0.694,0.615,-8.181,0.0351,0.545,0.848,0.0812,0.848,94.038,2R7A0xNBsAHLNY66uiCScE,179250
0.748,0.456,-9.829,0.0497,0.103,0.804,0.0943,0.392,90.021,0uhAmpy7XNbshBNnRXDXAS,141333
0.659,0.453,-17.4,0.112,0.94,0.928,0.109,0.192,78.005,0i175zzCfpfTWA40Y3uqjs,136772
0.766,0.757,-5.761,0.0734,0.439,0.861,0.0883,0.596,90.018,0EncdyFKNletEI25jFT3Ao,186667
0.573,0.583,-6.165,0.0529,0.239,0.704,0.102,0.15,88.379,0wO5Kuq82JCh1w5XZBSqiZ,153974
0.54,0.298,-14.647,0.0764,0.751,0.943,0.109,0.229,84.822,62ETSS8iVAoE47L0nNinTK,104573
0.779,0.487,-10.608,0.0447,0.625,0.856,0.113,0.179,132.015,0tQHFnqCqhvR6tv0COYl6o,150000
0.564,0.226,-9.487,0.0256,0.778,0.858,0.1,0.223,84.977,3bAUmGi6G9MNWIkTmap9WD,203837
0.702,0.142,-16.284,0.0751,0.911,0.793,0.0784,0.64,149.927,0ibru2bNyCrClfqznOVXFI,90400
0.652,0.572,-11.081,0.0888,0.249,0.753,0.138,0.6,187.765,6ottSGnUxB1xuyLR9Pd4Vd,233253
0.6,0.337,-13.237,0.0455,0.738,0.899,0.0778,0.107,154.018,0s9VfOoqJPquZo84u9B6oS,387693
0.804,0.338,-9.532,0.0604,0.63,0.834,0.108,0.446,85.01,41Iyj7VLspMaPVQP47toOK,321547
0.458,0.27,-13.611,0.179,0.948,0.958,0.0762,0.201,81.723,7gmBN587F9l6jUfcXnqGuq,117988
0.595,0.522,-9.533,0.0528,0.436,0.857,0.346,0.715,82.981,6ia5xYHJJdSwgCPVMFnDEV,132000
0.598,0.635,-10.074,0.0346,0.411,0.781,0.118,0.0636,108.953,13u3ooUx4eEn7vXJ9TFkBf,222554
0.674,0.307,-11.304,0.0484,0.811,0.912,0.13,0.168,87.982,4Cesp17kIKOhUwQnqzdbG6,153174
0.672,0.498,-5.899,0.0717,0.379,0.751,0.1,0.51,172.034,1UKn8bOlQO1gakfDhyu1FN,181600
0.525,0.359,-16.458,0.0658,0.787,0.471,0.36,0.151,86.363,6YmAN8wW3S1GFa3FQ7hYc5,202120
0.813,0.29,-12.829,0.117,0.441,0.75,0.0789,0.547,142.097,2vgb3IA5TbrEoenhqFdpmO,135211
0.7,0.0785,-17.997,0.0543,0.805,0.879,0.102,0.703,80.029,0EJ4R1FWyczgGsdlIKgjyX,84000
0.825,0.372,-9.898,0.149,0.838,0.905,0.316,0.743,83.991,3XC4cQ8qffBghftJ7W2QKC,164888
0.588,0.366,-14.62,0.0331,0.0338,0.426,0.091,0.0391,89.99,2VLwrtdD36caMB8NLcte9v,242507
0.672,0.492,-7.942,0.107,0.587,0.876,0.442,0.315,77.949,7kPQE1Ras4XcoFAhqkMuLG,145577
0.681,0.574,-9.346,0.0382,0.577,0.895,0.219,0.522,90.183,70eLlZeUn31MKzLaVlSlbP,198547
0.507,0.437,-13.352,0.215,0.556,0.938,0.117,0.627,172.145,3XvmzqTtljQMpSGqvxA6IO,236250
0.735,0.496,-9.901,0.154,0.871,0.815,0.0726,0.69,171.898,6dkFwu9Z7HUuz69P2Nr6yF,139535
0.696,0.341,-12.003,0.0358,0.799,0.842,0.0681,0.342,122.984,6WNRv5EhU3pi2kH71qoYuw,124878
0.721,0.303,-13.986,0.047,0.567,0.944,0.154,0.883,141.925,2zgbN6Db0WvF2pyVuSisnt,140605
0.611,0.412,-10.624,0.0274,0.256,0.852,0.332,0.388,85.028,577MuVDzCHjTASuPsU34Hs,149124
0.787,0.575,-10.043,0.0652,0.00984,0.82,0.331,0.7,80.025,6BtRzObrcOEv2jTTGaNp25,213639
0.559,0.532,-8.592,0.0507,0.837,0.826,0.111,0.315,80.136,6uOaF86KVwPuSGkklnYrko,177442
0.736,0.28,-13.09,0.0641,0.559,0.917,0.0724,0.411,176.011,4FIKrQcAqi5I6PGWb5BNPB,441818
0.632,0.47,-10.93,0.0458,0.385,0.842,0.089,0.597,75.005,0eDMWlp5OKqwujmaYU52uW,211200
0.788,0.456,-8.033,0.108,0.774,0.871,0.128,0.55,82.0,4Hpaw4ZNuFWZiEIam7T3Nd,152195
0.792,0.71,-10.353,0.0537,0.266,0.899,0.112,0.963,164.025,02StEGitEzSYO4tHxIgJXp,109200
0.687,0.435,-8.308,0.132,0.55,0.839,0.118,0.273,79.954,21huKjQlBFcumcRIwhFWG1,145500
0.769,0.191,-17.826,0.0758,0.919,0.794,0.0869,0.262,119.975,7nhFat90m89TNhlHdqjOM5,137635
0.441,0.411,-9.812,0.0418,0.673,0.846,0.201,0.33,84.179,5Hc511aAeqSeQ5PoBqZd84,182000
0.7,0.622,-7.972,0.0776,0.0384,0.77,0.308,0.477,91.102,64tfJLNhrWpUtTvEeFqqQq,153533
0.411,0.397,-10.863,0.0378,0.944,0.931,0.0914,0.548,82.676,0IEhsMbSmiwiDzDENW3LK5,232941
0.601,0.592,-9.945,0.0439,0.213,0.886,0.0885,0.614,173.986,0AmxMNsfzteEOvlMx3r5JU,147142
0.76,0.366,-11.047,0.249,0.959,0.869,0.129,0.354,81.939,60ypA21Lm4l9A19fR7FJuB,119936
0.637,0.201,-14.996,0.059,0.956,0.896,0.189,0.0783,133.927,5T78R7NpMs9DJVSaxEowuM,136000
0.753,0.652,-8.285,0.043,0.383,0.139,0.076,0.411,110.003,0Ge9juv7gNX6B3LaYICwk5,231286
0.687,0.801,-7.554,0.0461,0.163,0.749,0.115,0.904,99.953,31IXUhiPiTtdkxw5mRWsMW,159145
0.688,0.651,-11.612,0.0482,0.536,0.889,0.115,0.335,96.072,65tWLAZnxG5UqOw0M07Pfs,209501
0.839,0.34,-7.411,0.0444,0.374,0.334,0.318,0.619,88.98,2aL3zAplBlchkeDypG2f1U,135963
0.711,0.514,-9.142,0.0291,0.013,0.353,0.253,0.257,126.965,3qa5y1yALHkSU3i698pici,105721
0.74,0.157,-16.162,0.0732,0.723,0.913,0.111,0.332,75.001,788O8dH7FJlO7SebmtLqj4,132006
0.605,0.471,-6.671,0.0321,0.0922,0.841,0.12,0.0674,81.007,0clBXqkR2kqIhkAGdSnSHB,121482
0.698,0.575,-8.106,0.094,0.294,0.866,0.17,0.529,95.904,7DtmONac7b0he2AshEFd3u,204440
0.668,0.629,-9.984,0.0486,0.311,0.787,0.0957,0.714,90.014,40WnxbuSovGpDcJrZqO0lP,213333
0.762,0.427,-8.129,0.0301,0.602,0.873,0.0713,0.559,121.084,3i4AOqloOwc33r7pwJGLXh,274970
0.414,0.286,-11.325,0.0522,0.907,0.898,0.106,0.0808,73.809,6WtvZcBhLlI1pTWkAmyHDk,140000
0.638,0.353,-14.437,0.046,0.561,0.898,0.0919,0.515,172.006,35UFkxj74k0NpzuLfnUYIE,125188
0.708,0.368,-12.772,0.0502,0.341,0.855,0.107,0.524,87.022,4a1xFaCJZT4HTeu2cW49Wa,155375
0.715,0.529,-10.031,0.284,0.189,0.865,0.114,0.535,80.011,4sshFtDRFl9ZxlxnJg2IWk,158003
0.757,0.273,-12.619,0.107,0.954,0.895,0.119,0.531,85.102,36X8j52PvjhJztIGopCjIJ,137118
0.617,0.597,-7.95,0.0407,0.0103,0.88,0.0857,0.179,79.864,0adBScenhPmsuAE8kd7vjQ,147000
0.644,0.484,-8.229,0.115,0.767,0.907,0.173,0.366,75.846,5DdzyKfJMCGTk4RTbpSaXL,128250
0.77,0.491,-10.381,0.0791,0.807,0.936,0.101,0.486,140.109,067izDpCvzsbpGIgJNWDrz,101235
0.76,0.561,-11.101,0.0559,0.733,0.847,0.108,0.681,83.008,0rpf1OhSfp8hkOsFhONU0d,160843
0.681,0.237,-16.413,0.0364,0.972,0.921,0.0982,0.126,120.067,0JOyBXKbIAMqYpjif4HxMX,146000
0.761,0.453,-10.06,0.0487,0.938,0.903,0.103,0.522,130.047,5h849dbRZVoyMM4hwKG2Om,121385
0.653,0.431,-11.65,0.0404,0.566,0.956,0.102,0.403,87.993,1lZj8bgdCrkLFCd7WXjTyd,154528
0.442,0.344,-10.399,0.0586,0.759,0.327,0.12,0.584,162.223,7rFYeoifHq9wYNSL7nQpAj,123750
0.734,0.484,-9.205,0.117,0.0939,0.579,0.122,0.198,81.972,5b4huQ1YuF8GiJXWlBGpjz,163902
