danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.54,0.348,-10.641,0.0339,0.804,0.00199,0.11,0.456,135.73,1GGK81j5LaThJjnJHhfGDq,300520
0.777,0.291,-14.87,0.0351,0.64,0.00928,0.0818,0.636,140.014,70im7N6meAYoKT60tHvpq4,137926
0.852,0.225,-13.899,0.05,0.83,4.97e-05,0.0996,0.399,96.018,3B0gvjxlqRgY7stPPl3qoQ,210546
0.741,0.085,-18.854,0.0369,0.952,0.0042,0.114,0.364,95.242,7CbgvHE083TAjaRuEfwwgm,261920
0.33,0.161,-15.495,0.0355,0.891,0.0191,0.101,0.13,67.398,4zKbPdCC2o8726tHh5sEJw,269800
0.66,0.437,-10.716,0.0466,0.906,0.00128,0.101,0.796,95.902,6UeCjzfLUBhHOtney81sPn,280529
0.69,0.235,-12.42,0.0305,0.704,0.000984,0.087,0.285,94.044,32SkNdTcuxvUGjtv0ObOgu,211307
0.412,0.0627,-14.542,0.0442,0.987,0.000894,0.106,0.171,125.407,2t96CFKbjUUd6Fc1OXQiKv,321257
0.549,0.139,-12.539,0.0288,0.946,2.93e-06,0.145,0.34,92.994,0Z9yS8hMAZ3cNeavV0KKpv,261507
0.74,0.164,-14.175,0.047,0.868,0.00217,0.107,0.356,108.205,7sx41M0GEQPLMYt3FjCnSw,185240
0.845,0.353,-7.545,0.0758,0.512,0.0,0.0657,0.393,120.111,3Mizu9oMBUCm14uctRt2uL,174467
0.363,0.299,-13.825,0.054,0.82,3.65e-05,0.111,0.178,149.307,2IYWqinJpFhid2qRqnqPDA,273627
0.458,0.223,-15.897,0.0322,0.916,2.51e-05,0.101,0.214,147.22,0VYYhGLcD6IuFvqSzI6rzu,226558
0.539,0.433,-11.124,0.0437,0.515,8.6e-05,0.124,0.484,144.675,39hPwPyP8GMOSnfS9tJ4qH,283027
0.353,0.146,-12.076,0.0321,0.881,0.0,0.0854,0.197,114.941,12J3Vk6944iKANUQZcuidf,272785
0.324,0.203,-12.948,0.0397,0.652,0.00109,0.106,0.198,207.423,14IV6ycAWxurGj5KvHtNAT,197147
0.568,0.396,-9.367,0.0285,0.754,0.0,0.102,0.291,105.998,5PPFu9Ezev083u2bEuoz3q,217172
0.599,0.398,-9.916,0.0367,0.826,0.000943,0.11,0.474,138.314,13zjNPZUyWvzZC2dlYjW0L,237640
0.732,0.45,-11.016,0.0424,0.672,0.00104,0.124,0.297,94.031,1TcoNPMDaoEv3rCebQnl7L,195987
0.718,0.304,-11.38,0.0331,0.832,0.0,0.31,0.44,98.879,1cfxSquzIuVUXxG7yfUmwF,252200
0.583,0.138,-19.705,0.0549,0.95,0.904,0.114,0.179,126.416,7AP03AuSv0uWp0i3ef9HaH,284750
0.256,0.217,-13.003,0.0378,0.873,9.27e-06,0.12,0.161,176.524,3Fn1AoG7bIcMKPKy30KtKD,380067
0.752,0.347,-8.595,0.0317,0.312,0.0,0.177,0.475,119.967,3f3hT4I98nzIeqijasHcud,173253
0.503,0.216,-13.32,0.028,0.925,0.0258,0.149,0.316,57.956,7tJfyCZz0x7QwboxTjVPnc,232867
0.493,0.126,-16.534,0.0322,0.964,6.44e-05,0.14,0.311,139.444,2tsqu3KVPqofbieVP3zYU3,215250
0.45,0.21,-18.862,0.0361,0.897,0.854,0.0734,0.189,100.909,6PtZaHjsx2Pnk3x9O92bB2,299040
0.714,0.582,-7.372,0.0292,0.28,0.000168,0.683,0.355,117.006,3NgbqEb4VID47c65fyAJic,250093
0.355,0.416,-12.814,0.258,0.64,0.00248,0.0666,0.256,177.675,1rMrh2p6xDuKywDZZPZgmp,288880
0.528,0.251,-16.179,0.0275,0.19,0.0361,0.107,0.267,92.549,32MYjAA4HpI6il0dZ7pe8e,294293
0.604,0.307,-10.985,0.0302,0.687,1.85e-06,0.137,0.22,119.961,4WQnAZU9ydRZ7XCwj4aEB5,242667
0.539,0.338,-10.74,0.0321,0.735,0.00158,0.113,0.355,147.161,69WRDCEjZS2Tejw5FSSqoD,388115
0.532,0.258,-11.64,0.0329,0.958,0.00247,0.102,0.346,138.716,5ZcDIHP2IAuluC75GAZkz2,228190
0.534,0.366,-15.239,0.0435,0.653,0.528,0.145,0.724,101.828,0RYJnTy9kC4KreZKEGRDdd,160280
0.619,0.483,-10.984,0.0419,0.137,0.00319,0.107,0.419,94.01,3VukmzGvVbB4FyGyBPf0A7,267279
0.685,0.233,-14.148,0.0544,0.893,9.07e-06,0.112,0.315,136.138,1OlxI4JNTDvYQRiC9P2rHg,262174
0.652,0.216,-13.702,0.0371,0.923,0.000388,0.113,0.371,149.806,6kyUOXEadxHeG9ya0TuMIr,211529
0.546,0.254,-11.213,0.0364,0.928,0.118,0.108,0.253,86.865,7e24GhiKpJF41P3gZLz0GZ,229827
0.321,0.196,-18.771,0.0291,0.88,0.000311,0.907,0.137,99.44,3FZww2GzwVH3uvp0B084TX,270000
0.63,0.286,-15.023,0.043,0.923,0.953,0.0948,0.705,96.697,3URt3hJlLJEJFwBNBIyOGY,205502
0.479,0.119,-11.798,0.0323,0.921,0.000979,0.137,0.158,88.879,3R3qPpiWfYbSqwgS7A8Ypy,378347
0.242,0.181,-14.144,0.0342,0.901,0.00874,0.114,0.114,80.73,1ylDLEWQHFWSbqoloqL1iy,342952
0.295,0.103,-21.58,0.0412,0.925,0.887,0.0901,0.112,78.404,3yArsNjOHHr7FF0pxDFhwo,345707
0.594,0.599,-7.821,0.0348,0.48,0.000567,0.101,0.593,78.345,3jUSBrXmLIYVdlXbHIcTzm,216120
0.283,0.174,-21.064,0.0331,0.921,0.676,0.0582,0.117,154.72,73ik3a517Lz2W7eLWejapJ,263933
0.706,0.18,-19.197,0.0495,0.981,0.947,0.0952,0.388,107.292,2hOd88IAX1JT3EfktlSp4D,296000
0.654,0.18,-14.624,0.0336,0.944,1.55e-05,0.0836,0.328,111.553,0VezvV7xjZm8MUVKuJTely,250133
0.76,0.444,-6.277,0.0371,0.295,2.18e-06,0.156,0.228,119.994,6YdHo9aVSZ0bnkm9gMKDYz,209107
0.365,0.168,-15.273,0.0334,0.913,0.478,0.118,0.174,172.135,5Zfe0oV4iNs4kYIvdbPntt,456480
