danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.757,0.91,-3.953,0.0524,0.105,0.0,0.387,0.686,119.04,4kSDi21MeOoSvpZs6MveI9,189773
0.707,0.86,-2.935,0.191,0.103,0.0,0.0989,0.922,152.026,7eBpUuPnDTfbeP1P4P93CS,204467
0.712,0.893,-3.995,0.0851,0.00788,0.0,0.169,0.828,125.022,0rhI6gvOeCKA502RdJAbfs,186571
0.644,0.945,-2.436,0.123,0.0204,0.000133,0.328,0.759,149.986,70yszWsLJvNZuZwaHNMROf,196827
0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108,0.739,126.956,65FftemJ1DbbZ45DUfHJXE,212253
0.543,0.947,-1.785,0.0861,0.00106,2.07e-06,0.135,0.555,172.941,62DuGCeDO3gfVkKe0gBM9m,230733
0.732,0.937,-2.812,0.053,0.0477,1.06e-05,0.17,0.766,89.043,60Oo6tKR0ckwZsRr95NrjL,202800
0.749,0.781,-3.265,0.0578,0.392,2.12e-06,0.086,0.606,125.09,5NcLyVjUgG0yfwHgr5t81w,180320
0.556,0.745,-5.607,0.118,0.168,0.0,0.236,0.585,160.01,0S2GNnqAHC96zqB8ZIcxg4,209400
0.882,0.797,-3.299,0.0819,0.0821,0.0,0.113,0.824,105.025,4fsQ0K37TOXa3hEQfjEic1,184444
0.814,0.641,-5.957,0.111,0.027,0.0,0.0993,0.183,133.854,3r8RuvgbX9s7ammBn07D3W,185507
0.726,0.91,-1.948,0.179,0.0413,7.81e-06,0.479,0.648,135.966,6NnCWIWV740gP7DQ8kqdIE,178453
0.78,0.683,-5.319,0.0575,0.0801,0.0,0.22,0.608,100.049,61AZsmFB3VoJdmraMk5ZSn,175776
0.442,0.748,-4.718,0.0895,0.0272,0.000128,0.0642,0.408,99.981,0ra3bPUOj2YnY4FJHXtgHZ,165135
0.632,0.849,-1.462,0.0408,0.0309,0.000142,0.182,0.393,142.959,0mlxHb4jbPr1PUBUv0WHRS,232813
0.753,0.845,-2.751,0.121,0.00629,0.0,0.317,0.413,90.002,2KwOuFfwQyT9mZqjvchd81,221493
0.399,0.706,-5.033,0.372,0.211,2.07e-06,0.132,0.538,203.187,4DxEb2Pk4KAAFqqD241whz,199040
0.593,0.935,-3.43,0.225,0.268,0.0,0.286,0.783,99.976,0a4MMyCrzT0En247IhqZbD,179027
0.68,0.922,-1.215,0.121,0.103,0.0,0.0877,0.799,125.014,2gYj9lubBorOPIVWsTXugG,176973
0.79,0.838,-3.183,0.0501,0.332,7.07e-06,0.357,0.738,98.966,7ixVW7RobslvMrvlzHYLha,182453
0.65,0.964,-1.329,0.0348,0.0538,0.0,0.245,0.836,120.008,27bIik73QCu8Xzt3xpG1bI,217067
0.736,0.879,-4.359,0.186,0.0592,0.0,0.339,0.574,129.947,1F6qqwgyBjcIMzen8RrOXQ,183120
0.82,0.686,-5.102,0.038,0.00412,0.0,0.184,0.668,110.058,0ARKW62l9uWIDYMZTUmJHF,175889
0.556,0.798,-3.331,0.254,0.0848,0.0,0.33,0.628,131.096,1QpwvWMQGdOgA8MXXfgs4H,165747
0.811,0.648,-3.684,0.0368,0.236,0.0,0.0761,0.695,104.988,2pIUpMhHL6L9Z5lnKxJJr9,180067
0.482,0.884,-4.538,0.0668,0.000677,0.000575,0.0883,0.377,171.915,5cTnKClHyczcUhFT8MKBZe,197026
0.863,0.62,-7.167,0.135,0.0508,0.00324,0.129,0.432,103.971,296nXCOv97WJNRWzIBQnoj,168437
0.703,0.709,-4.169,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,0Q5VnK2DYzRyfqQRJuUtvi,177187
0.772,0.907,-2.438,0.124,0.136,0.0,0.334,0.783,119.973,0RDqNCRBGrSegk16Avfzuq,177467
0.474,0.901,-1.22,0.254,0.00513,0.0,0.343,0.404,176.083,2RqjrPwWWk6MOo6YzqYJ6U,197347
0.75,0.718,-2.817,0.0468,0.0814,1.75e-05,0.322,0.592,90.027,5uFqjHOo3Sh0bVPCKf3DdH,195053
0.872,0.546,-6.183,0.184,0.23,2.68e-06,0.137,0.533,109.923,6Uvj0I6nDoxTmIZQwOZqvQ,224000
0.748,0.775,-1.884,0.0343,0.0751,0.0,0.101,0.722,98.944,3H1B6KuqXvRCBNrln32Bpa,205284
0.812,0.89,-2.661,0.209,0.0961,0.0,0.0222,0.69,100.006,3O8G8eVrhfXTGttyQ1xVuq,191965
0.718,0.752,-3.425,0.0338,0.0481,0.0,0.124,0.81,98.994,7n21DchMhEHga46iMecQHW,177307
0.809,0.731,-1.455,0.0447,0.0734,0.0,0.0822,0.614,99.957,7EP9G7AIKrywWGdYsYZzGv,168053
0.914,0.805,-3.339,0.132,0.0894,2.57e-06,0.0668,0.349,105.003,11BLMmPoTgKEi4XBDxdpYN,213071
0.486,0.766,-5.821,0.0938,0.0282,0.0,0.123,0.417,154.992,1AZjCZSGEjlxUufFQwSszF,273500
0.645,0.864,-2.065,0.0538,0.0486,0.0,0.0491,0.673,149.949,4LJgBT9yo0beHlaBesCFEv,216440
0.713,0.806,-2.562,0.11,0.143,0.0,0.21,0.702,110.01,5QYXBAiagfRIwzlouAnJXQ,216680
0.475,0.695,-5.919,0.102,0.0159,0.0,0.125,0.552,100.009,1HsSIPLTQT354yJcQGfEY3,191038
0.71,0.879,-4.218,0.0422,0.158,0.00142,0.439,0.341,114.993,1RDvyOk4WtPCtoqciJwVn8,201391
0.653,0.575,-5.432,0.0571,0.0315,0.0,0.0764,0.528,135.015,1ex8euBuzVyqjThnYfwY2k,181433
0.775,0.865,-2.015,0.307,0.0453,0.0,0.261,0.663,175.12,5mdWIwsJAzR97ShGkt8gcR,147427
0.836,0.903,-4.249,0.105,0.0318,0.0,0.0688,0.882,128.009,34y2pV3RGFiCHSP12bNHVk,223373
0.766,0.651,-3.546,0.0952,0.211,2.51e-06,0.144,0.488,121.995,1dfsPqH09vnzUWEOsN98Ex,189413
0.54,0.761,-5.356,0.0311,0.00446,2.5e-06,0.137,0.215,124.988,0h7QMc9ZRzA9QJrbEHytn2,282463
0.523,0.83,-2.089,0.167,0.00359,0.0,0.0806,0.812,173.931,0oeVHAgY8Q7Mdce5Quj2G4,166053
0.509,0.83,-4.446,0.0742,0.0138,0.00263,0.208,0.83,174.009,1lUNlmwyhsJy6kXmmrO11t,159640
0.534,0.861,-3.177,0.0361,0.0758,0.0,0.167,0.286,97.977,6RBziRcDeiho3iTPdtEeg9,300787
