danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.663,0.818,-4.975,0.0765,0.629,0.0,0.421,0.742,103.985,5XARFcDeJmdjBTZXGDmUNJ,172312
0.672,0.416,-14.129,0.039,0.934,0.053,0.142,0.748,117.659,4VUMevwK5WhDrEjxH7okJL,202682
0.782,0.648,-4.195,0.137,0.644,0.0,0.157,0.961,122.089,3WIAH5gwrFhd4tJz0oyEZ9,99083
0.44,0.617,-11.664,0.0903,0.845,0.0103,0.364,0.699,71.432,0xA6b2OppmTqMjojgf6Ipb,287011
0.801,0.727,-6.001,0.157,0.229,0.0,0.0549,0.616,115.978,4oPm1gYvMhP7fQNLlY2tEu,467667
0.46,0.761,-6.921,0.0492,0.398,0.0068,0.206,0.896,207.907,3HISZkVKGdicqfeytw8WRL,256382
0.767,0.464,-7.963,0.192,0.857,0.0,0.139,0.654,141.706,1XF1YnaPNTuR4pmi66qBhm,152258
0.741,0.781,-5.571,0.0417,0.113,0.0,0.0919,0.87,99.999,2I0JqlIwvI8AtR3M3v0oGe,242448
0.576,0.458,-14.256,0.0401,0.936,0.767,0.17,0.547,131.5,7G9FvCGsh9sLMyKwcNudid,249050
0.683,0.767,-9.226,0.036,0.732,4.04e-05,0.112,0.643,101.194,2zZf1Wm2ywhK3g72JrnXT3,234458
0.587,0.864,-6.509,0.0746,0.49,0.0,0.108,0.691,93.962,2uV7vMIRLxYleQpkHLBxIf,224200
0.614,0.469,-12.413,0.262,0.828,1.38e-06,0.0827,0.812,175.468,2869XYduH4Dp3YfUwvroOe,206952
0.6,0.428,-12.514,0.0319,0.853,0.434,0.0813,0.567,117.372,3s8CTencXxfmKex6E5SU2S,284162
0.592,0.497,-8.955,0.0455,0.762,0.0,0.126,0.668,80.851,2hLkOauE0bNHoIDwJ45dFj,180416
0.49,0.612,-10.328,0.2,0.917,0.00667,0.158,0.777,109.133,0yUb1n9E4tp3uf6hd6xvlM,253878
0.455,0.763,-6.185,0.12,0.706,0.008,0.116,0.805,79.48,0fIKhy4BBJJ5flq3GwySkD,275064
0.584,0.598,-7.951,0.0541,0.318,5.83e-06,0.131,0.457,90.071,4gYCz0aEcywZ3yY5HStjCn,216189
0.618,0.5,-14.905,0.0486,0.895,0.839,0.219,0.752,141.684,7CWuTxu15rF0Yq41Za2ASy,327480
0.651,0.529,-12.106,0.052,0.952,0.524,0.124,0.732,92.058,5Yf4UF6cYLsoG6ePHDC1ec,217587
0.5,0.715,-5.241,0.056,0.504,0.0,0.0892,0.77,79.816,1ZsJGnLQ6Dz8IKGdjlwsz6,175334
0.759,0.5,-10.169,0.0333,0.821,0.000835,0.114,0.689,110.001,3FvDdjshs2Jn1nEx4OvUnJ,283466
0.505,0.619,-11.576,0.0605,0.864,0.569,0.135,0.583,198.251,6KGZkRIA9deMBQa1ywMShu,250106
0.711,0.696,-5.562,0.0369,0.159,0.0,0.121,0.69,98.084,34iXouLD9DE3bBa2pmInEF,230286
0.613,0.536,-7.699,0.0601,0.642,0.0,0.0907,0.606,74.898,5ualLmOR4a5jJJnnITLtYc,255048
0.435,0.642,-5.465,0.0414,0.769,0.0,0.431,0.557,85.249,6LTjugDnOwFFlLy8mfCWJN,184833
0.685,0.407,-11.26,0.0334,0.789,0.000548,0.0944,0.695,139.934,32erzTQUUgGoCsqnpp0Wd8,284618
0.517,0.647,-5.977,0.0488,0.515,2.47e-06,0.391,0.449,111.784,621bdki1XqcmcrfM2qtsGv,298598
0.312,0.617,-6.143,0.0438,0.84,0.0,0.286,0.38,73.958,1R6ZbF9uHDH9lkoaP0bvR9,247406
0.342,0.382,-12.228,0.0546,0.872,0.0,0.156,0.815,71.481,6enpBkR6j3UrpImRSAG20s,313784
0.63,0.817,-7.074,0.037,0.69,0.0189,0.372,0.708,95.999,6BrH7iaWBkHlmuKfTulkC1,232333
0.642,0.403,-10.182,0.0354,0.71,0.0,0.341,0.805,139.927,0CpKjyK98dwLyDuZX68BxD,349316
0.71,0.706,-5.476,0.258,0.639,0.0,0.535,0.852,111.909,5poJi9KfMINtm0sZ06nSoD,242997
0.761,0.777,-7.844,0.0456,0.216,0.0,0.24,0.628,114.018,2a1pjwjBwXjRKtbcxB43t0,294842
0.352,0.776,-5.407,0.0683,0.798,5.99e-05,0.35,0.826,71.109,6KGGBeH3rOopzg40XZ6Ser,178840
0.69,0.565,-12.155,0.0987,0.829,3.1e-05,0.112,0.501,93.075,4SWldutKma2NvU850zeEkd,206280
0.668,0.705,-5.205,0.0561,0.544,0.0,0.0682,0.791,85.999,35EGTBHsIEIfGhxLyAriZy,223600
0.827,0.717,-7.059,0.0549,0.2,0.0,0.149,0.867,104.008,0H66amn66zZeVCCXjUTdMS,195048
0.63,0.542,-11.567,0.0443,0.894,0.607,0.0824,0.569,93.067,28jNmt1G200EdfkK2Utn27,235266
0.607,0.854,-4.647,0.0775,0.209,0.0,0.0725,0.475,101.955,1CTX0NAUvAZN3X2rUhoqfR,232280
