danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,3AJwUDP919kvQ9QcozQPxg,266773
0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,6Qyc6fS4DsZjB2mRW9DsQs,289533
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,3d9DChrdc6BOeFsbrZ3Is0,264307
0.472,0.671,-4.649,0.029,0.0129,0.0,0.159,0.0681,82.952,77loZpT5Y5PRP1S451P9Yz,232800
0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,104.011,5hnyJvgoWiQUYZttV4wXy6,267960
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,3JvrhDOgAt6p7K8mDyZwRd,204280
0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,1EzrEOXmMH3G43AXT1y7pA,242947
0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,0.354,205.846,78TTtXnFQPzwqlbtbwqN0y,188238
0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,5fVZC9GiM4e8vu99W0Xf6J,262533
0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,2aibwv5hGXSgw7Yru8IYTO,334667
0.717,0.455,-8.303,0.0276,0.0846,0.0,0.11,0.389,127.812,2ixsaeFioXJmMgkkbd4uj1,200733
0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533
0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,5Hroj5K7vLpIG4FNCRIjbP,194240
0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,2M9ro2krNb7nr7HSprkEgo,296800
0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,104.98,3ZffCQKLFLUvYM59XKLbVm,285653
0.453,0.655,-4.22,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,0ll8uFnc0nANY35E0Lfxvg,236160
0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.243,74.897,1KxwZYyzWNyZSRyErj2ojT,252733
0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,0vg4WnUWvze6pBOJDTq99k,209493
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,4JehYebiI9JE8sR8MisGVb,261640
0.459,0.427,-7.734,0.0267,0.114,0.0,0.168,0.354,139.902,0815caqt2Lytro5EIzMufT,195493
0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,7nnWIPM5hwE3DaUBkvOIpy,232453
0.558,0.719,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027,5QpaGzWp0hwB5faV8dkbAz,208600
0.667,0.361,-8.69,0.0273,0.575,0.00506,0.0805,0.29,134.018,2jdAk8ATWIL3dwT47XpRfu,242000
0.685,0.466,-9.074,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,0W4Kpfp1w2xkY3PrV714B7,163133
0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,130.088,0IktbUcnAGrvD03AWnz3Q8,189613
0.835,0.741,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963,2N5zMZX7YeL1tico8oQxa9,182066
0.565,0.546,-7.496,0.0314,0.189,0.0015,0.17,0.195,139.757,0R8P9KfGJCDULmlEoBagcO,273427
0.868,0.347,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,4VywXu6umkIQ2OS0m1I79y,207680
0.647,0.729,-6.251,0.0236,0.0206,0.0489,0.134,0.687,94.01,7vFv0yFGMJW3qVXbAd9BK9,249627
0.545,0.485,-9.941,0.151,0.3,0.00137,0.119,0.341,80.401,2uhEKg8kIzpdvz4gyy6x8W,249173
0.542,0.589,-6.623,0.0318,0.292,0.000522,0.177,0.137,111.665,7w5cxTEzp1rfV3KCy0Bd5N,303200
0.592,0.729,-4.156,0.0448,0.022,0.0,0.0653,0.709,116.03,1N62wozuHCvczCkY4QidpP,236267
0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,92.018,38YgZVHPWOWsKrsCXz6JyP,215173
0.598,0.56,-11.679,0.0375,0.607,0.0432,0.196,0.221,115.01,3ekNuTF3UpOvIZCfiejpnC,279000
0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109,1fXiYSWmkKJfRKMegCkI11,276720
0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858,3bHhUEOTIbezeZ856R0BX5,236307
0.946,0.289,-9.413,0.0584,0.152,2e-05,0.234,0.816,102.073,4KqBoq7MoDJeVsvUHTjXCM,129627
0.371,0.609,-5.524,0.0295,0.386,0.0,0.104,0.426,136.526,5K7AMlpc4796JRWXb26nCV,266533
0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,1XpYodsD36XN7ygcdF7mJJ,258373
0.571,0.438,-7.007,0.0279,0.534,1.56e-05,0.187,0.444,145.948,5hviCr3lgg6LY6noG6DPKs,230549
0.627,0.699,-4.504,0.0244,0.174,0.0,0.0789,0.535,94.003,38xWaVFKaxZlMFvzNff2aW,261427
0.544,0.5,-8.253,0.026,0.0325,3.78e-06,0.109,0.177,93.621,0EKBV6GybPtALXUgWqWrym,238493
0.594,0.51,-9.621,0.0383,0.047,7.27e-05,0.0959,0.368,141.979,3vUn7FE3ZaQgJmkhIrIirF,217984
0.396,0.803,-6.186,0.0487,0.0334,0.0,0.0688,0.286,116.705,0qksx8mV28lztYIZ1om8ml,304200
0.27,0.275,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964,4oa14QBfWRDfJy2agySy0L,232760
0.618,0.504,-9.328,0.0319,0.496,4.73e-06,0.698,0.58,98.12,2sLS4tVaEoMYrNS67PVz0V,276787
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,6fxVffaTuwjgEk5h9QyRjy,258987
0.388,0.66,-7.372,0.0308,0.312,0.000307,0.0943,0.401,143.554,429EttO8gs0bDo2SQfUNSm,230507
0.636,0.625,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931,6dwkFmLUz6hx2CZG2EqLol,249120
0.517,0.206,-12.233,0.0421,0.924,0.0,0.118,0.489,80.401,3kZC0ZmFWrEHdUCmUqlvgZ,189187
