danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.952,0.44,-11.073,0.204,0.596,5.84e-06,0.0679,0.873,109.009,6YBMiyDbvr2Kb2qB99WV4C,91995
0.874,0.227,-13.448,0.105,0.812,0.0,0.173,0.919,120.161,3WEwruu7TrngI1ytUbWIeM,78000
0.966,0.584,-13.154,0.0587,0.67,6.3e-05,0.0598,0.866,109.168,7vgCw8AiOzjiwDGwUFOeOE,40004
0.893,0.443,-9.045,0.0441,0.712,0.0,0.141,0.941,120.014,23dwpRvxImSXGWXSFJ2ldh,126733
0.883,0.366,-15.505,0.0923,0.858,0.0,0.0765,0.84,109.915,1AJhMfIYCZ5mQHwYVGZRto,151693
0.918,0.309,-15.539,0.0961,0.0378,0.193,0.0953,0.962,105.96,1kFSaw8FyShcJ4pgWnqLQT,68520
0.617,0.224,-15.295,0.0691,0.894,0.00137,0.0893,0.575,96.275,1qXOgIZQ8tYQJOUcPjA7wj,46307
0.786,0.291,-12.592,0.0795,0.628,0.0,0.0977,0.862,199.991,0NpFHSfDIXCEJy4hsEwr5L,146747
0.502,0.138,-15.637,0.0407,0.94,7.01e-05,0.11,0.583,81.12,2XKiyNB1ypVn6PiszdOBwg,85347
0.945,0.667,-6.178,0.0852,0.25,0.0,0.301,0.966,110.295,2oLjRpzASaAXloHWC0NopH,95600
0.762,0.142,-15.06,0.0839,0.948,9.01e-05,0.0836,0.771,120.186,3yCoWlqfp2wnOS4PeNsADE,113000
0.391,0.209,-14.96,0.233,0.951,0.15,0.0918,0.918,176.748,4MxQXSflDP7IU8pyhYK17q,90177
0.716,0.768,-6.638,0.0884,0.413,2.32e-05,0.129,0.9,144.896,0E3Yz2MLrVCp2QpExwOlvv,133241
0.952,0.229,-13.142,0.218,0.798,0.0,0.162,0.775,119.915,5nuj2vFLnmFTucZApI1fE5,114000
0.746,0.223,-13.583,0.054,0.851,0.0,0.309,0.834,111.662,1xz2R4M3WsJDnrPqb7TJA7,62893
0.821,0.203,-16.187,0.04,0.896,0.0,0.146,0.976,111.886,3ujFXkZvr3qtjRBjqnePQm,44173
0.601,0.392,-11.273,0.379,0.656,0.0,0.15,0.748,103.339,7GaJX6Rzid7yJp6bPRyLUZ,68093
0.756,0.244,-12.389,0.0701,0.878,0.655,0.146,0.738,200.122,59VpBIyqaoXMnVq2o7Hzt9,99200
0.8,0.257,-7.16,0.0952,0.894,0.000604,0.116,0.643,120.317,4GMjBJN54qELidKZrXlrh9,112385
0.857,0.548,-7.206,0.0781,0.745,0.0,0.15,0.796,120.108,1i9yffcCZxrulp1orjAH6U,72173
0.753,0.634,-6.833,0.0289,0.126,0.0,0.224,0.779,108.031,31hqhNMdqOTI894c6mR3LR,209005
0.815,0.187,-13.564,0.0378,0.84,1.78e-05,0.112,0.571,110.044,6tvrDc3v0O9gBfIGKaGNHV,91493
0.88,0.426,-9.777,0.0674,0.925,0.0,0.297,0.991,115.435,2BGjRJoBLcy9cNeQVWdEQO,73635
0.733,0.899,-4.869,0.0913,0.117,2.29e-05,0.049,0.924,120.049,3jMgacRlTozfADKJSuTTid,120375
0.581,0.214,-10.121,0.0549,0.486,0.0,0.081,0.654,171.7,7C96x4gy7INy9H1QZuqtHR,31613
0.521,0.196,-15.36,0.0623,0.632,0.0,0.119,0.258,180.134,4hAlYODF9lmtx4tdHynyGo,240000
0.462,0.307,-11.002,0.0414,0.757,0.0,0.0971,0.679,178.29,3Wyb7Z6qhumaRrAC1shAT7,120011
0.822,0.48,-10.436,0.0349,0.739,9.56e-05,0.149,0.897,144.055,01DILTuzLap9yrWikMbqyt,101029
0.81,0.496,-7.833,0.0358,0.802,0.0,0.122,0.956,129.977,41oKrlt3MVduk4SacHbERN,87973
0.931,0.347,-12.821,0.0979,0.187,4.31e-06,0.11,0.748,99.878,1xZ5IuDUNtolxSHQKlAd3G,75201
0.756,0.283,-12.783,0.0375,0.886,0.671,0.161,0.666,95.021,5VlNJRsRhXGGxVqdMYGILd,181173
0.88,0.482,-9.143,0.0397,0.867,4.95e-06,0.184,0.963,135.049,5rhpwj5bb0vtqL5nPZp7UZ,88773
0.782,0.332,-11.937,0.0507,0.733,0.0223,0.123,0.891,127.007,4hCXhWdsdxnUAsi6A68W5w,92503
0.899,0.256,-15.217,0.0639,0.863,0.0,0.156,0.771,105.91,5ucIoEZnj7u70PKgIJsXep,85145
0.484,0.145,-13.388,0.0407,0.974,0.71,0.123,0.856,144.65,2X9NnuAocIMYgByxDupr6q,82756
0.902,0.46,-14.296,0.0462,0.737,0.377,0.213,0.965,120.116,4kZrl2XN9G6qbE17bQmHkI,198149
0.956,0.422,-11.277,0.0708,0.621,0.0,0.088,0.962,106.021,3RKNRjrWBiW6DZxZsfbkSC,61293
0.638,0.327,-12.55,0.0739,0.939,0.0,0.109,0.958,179.608,3CZxTlgDDh71hlC33SrjWI,98707
0.757,0.209,-13.829,0.0491,0.0945,0.0,0.12,0.961,93.995,7e7BOACAJMcTk7sRxwWVEx,63800
0.933,0.352,-13.925,0.201,0.193,2.25e-06,0.139,0.747,100.014,47ukIySF5lFT0jkHSqQhig,111552
0.874,0.0885,-17.181,0.0991,0.962,0.0,0.105,0.893,99.918,7DUUrNIqCOtFIjHwk3EvHr,75300
0.734,0.0945,-9.005,0.532,0.948,1.97e-06,0.0648,0.947,120.6,4fToPSaAyhwyloAcYa56kM,82240
0.774,0.307,-12.223,0.122,0.888,0.00721,0.0915,0.715,180.074,3Ki7k0IBdAPgCYGEhBjzWv,92693
0.933,0.612,-15.367,0.0401,0.00103,0.0256,0.135,0.961,120.034,4AcSfeyxy4caGMj8vpKgwT,69000
0.886,0.121,-14.957,0.53,0.936,0.0,0.113,0.593,100.02,6NEtaQqcU2UNTqujdmClmM,158364
0.919,0.34,-11.579,0.0717,0.873,0.0,0.137,0.979,111.854,3PsvK6Y0BU4qg0hm22660T,107200
0.726,0.339,-8.855,0.0915,0.866,0.0,0.0841,0.722,65.68,2mrX2pS7gm4usEihmQXfYK,64093
0.928,0.404,-7.532,0.447,0.77,0.0,0.0865,0.681,122.011,7Ao827ASZPIDeSG4Hgy5XW,49253
0.764,0.177,-14.687,0.042,0.884,0.00136,0.119,0.644,100.002,5JUPYmI0xaqVX1XRLC5m4c,67400
0.791,0.13,-13.44,0.0347,0.84,0.0,0.25,0.823,94.984,4IgLZpeWcbgdmG795amxCL,155878
