danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
,,,,,,,,,,
,,,,,,,,,,
0.175,0.144,-39.434,0.0734,0.924,0.502,0.112,0.19,67.105,0X97bKfDQg76Abx5LDfs8g,152681.0
0.162,0.118,-35.892,0.0657,0.956,0.761,0.112,0.0361,128.229,591wpGDM2pd9yMTLFtOOBG,269000.0
,,,,,,,,,,
0.194,0.168,-39.656,0.13,0.93,0.918,0.112,0.0221,66.418,0TtxJQ3O4Mz8rg5Eme4Tgt,151938.0
0.0802,0.421,-35.322,0.0632,0.904,0.999,0.112,0.0382,83.401,4TVbi0QfkzKCvLeIIPfKqb,121133.0
0.152,0.32,-34.049,0.0551,0.733,0.697,0.112,0.0626,71.019,2InYISGssmeLsVXzLCC6iw,270000.0
0.157,0.228,-32.985,0.0574,0.683,1.0,0.112,0.0349,83.378,0wVyUtOvYWJvniPRidlNnQ,272000.0
0.151,0.335,-34.08,0.073,0.721,0.969,0.111,0.142,136.862,2JVO6M02HMNuW4lbWE8ocT,265000.0
,,,,,,,,,,
,,,,,,,,,,
0.0594,0.000814,-27.65,0.0905,0.68,1.0,0.111,0.017,73.459,7ciuALfxne17Z0YjGPwaBN,287000.0
0.16,0.00259,-34.07,0.0864,0.829,0.0108,0.111,0.0181,128.668,6RS9yHVAFYXf2yspUgQkDH,244000.0
0.144,0.665,-31.262,0.101,0.721,0.436,0.112,0.00977,137.257,3ZOLttGxtw1aNxnfKtm78c,104769.0
0.194,0.313,-28.82,0.0715,0.886,0.829,0.11,0.0298,63.606,3ZoQVbQygzjKMERzQCuUll,158335.0
0.134,2.03e-05,-29.661,0.126,0.331,1.0,0.111,0.0104,58.252,7xirU92R68BcxUGYy4MeF1,246000.0
0.165,0.113,-30.488,0.0561,0.95,1.0,0.112,0.0208,124.223,146Y0ZLNuP29oSaR6wWeNd,240000.0
,,,,,,,,,,
0.0959,0.041,-30.584,0.0527,0.947,0.999,0.11,0.0142,90.386,2qcROjiCc0JSGVUiNsWrtw,242000.0
0.0716,0.232,-29.956,0.0582,0.903,0.262,0.109,0.0336,81.194,75fyPQxfL7MDpX5BFr9vQ7,277500.0
0.133,0.231,-34.957,0.0531,0.741,0.93,0.111,0.0336,142.1,5RbVq0wsb6uAwFBYNzqHuD,214000.0
,,,,,,,,,,
0.0616,0.35,-33.531,0.057,0.774,0.895,0.112,0.0783,71.1,4aDDlJRc1WbIlFqhc4aMgx,273500.0
,,,,,,,,,,
,,,,,,,,,,
0.101,0.00351,-31.336,0.687,0.139,0.38,0.111,0.0152,79.637,7Fys0m6kGltWbqYeSAGAMx,165500.0
0.185,0.799,-29.205,0.0791,0.985,0.645,0.111,0.0248,139.763,2i28I5oI7HrkYxX1zS91AK,180000.0
0.0559,0.000865,-31.77,0.112,0.935,0.997,0.107,0.0268,67.041,2NbKo7vh9ysSALZTCb2wiw,244000.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.122,0.262,-37.177,0.105,0.813,0.768,0.112,0.0204,70.979,7c0H5pm4XvkhYyyxk4Ifm3,149077.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
