danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.443,0.0248,-25.351,0.0622,0.996,0.967,0.12,0.52,68.123,147gCksvDRmjG1pO51ZCcf,100562.0
0.726,0.151,-21.956,0.0873,0.994,0.966,0.13,0.893,109.803,53OUBSsdeNaLWBlJgsCmCf,94000.0
0.452,0.0238,-27.5,0.0622,0.995,0.966,0.154,0.36,109.71,1oMUYmXy85ZOQGZ2fylBiN,82500.0
0.562,0.0331,-25.551,0.103,0.996,0.961,0.111,0.386,63.696,0SjsIzJkZfDU7wlcdklEFR,185250.0
0.501,0.0294,-27.433,0.0912,0.996,0.967,0.116,0.534,79.789,5MFR2Gq7oBZvTjxdCp8WJc,89217.0
0.444,0.0847,-24.279,0.075,0.994,0.961,0.114,0.763,70.919,75apuD4FSexqsVIVE6czFc,98609.0
0.521,0.0473,-21.921,0.0601,0.996,0.964,0.101,0.879,137.368,6ffUjpr83utMRU2X4BDu63,99877.0
0.494,0.0165,-28.487,0.0547,0.987,0.965,0.0983,0.296,64.879,4QlZFHDwrV9n8aZ8cWslaB,125000.0
0.836,0.0772,-17.393,0.151,0.996,0.967,0.0989,0.358,114.43,4WDlK8ycKUkpE6lKwcyV13,60802.0
0.391,0.0194,-28.933,0.0436,0.995,0.927,0.119,0.508,132.721,0Fz2W2KGI7rXDf0HjOhRa7,125500.0
0.723,0.0141,-25.211,0.136,0.993,0.96,0.0984,0.408,75.958,5jKn3SBLWAMIDeT32Jyn9a,102632.0
0.41,0.0361,-31.143,0.0915,0.996,0.965,0.107,0.495,135.629,5arPYmjgjEAn8bOVDya2hb,107771.0
0.468,0.0118,-25.252,0.0595,0.994,0.95,0.123,0.355,79.557,3h6YThz5QFWgnF5sBFxDDo,86609.0
0.687,0.164,-28.191,0.073,0.995,0.972,0.123,0.7,72.399,0ccGW26pWsP8ic4h2yQdQs,84248.0
0.41,0.00831,-28.141,0.0386,0.995,0.857,0.0974,0.359,69.121,6JHCZw34Fv0aRWDz34F0A1,95676.0
0.608,0.0523,-29.188,0.0378,0.994,0.949,0.123,0.486,96.587,3tD3QHMN4LfTKYPjGsSkre,84000.0
0.598,0.0387,-31.039,0.196,0.996,0.971,0.144,0.75,71.192,047f2N27bn7YVyDmjN2CcH,104250.0
0.578,0.057,-20.537,0.054,0.994,0.955,0.122,0.275,123.903,60BrRLaI447qMQoqbZYGLj,106354.0
0.675,0.0599,-30.606,0.113,0.996,0.973,0.117,0.883,69.438,3jqgSCeCfn179Gu9gVHFOL,107250.0
0.617,0.0322,-25.316,0.0942,0.996,0.969,0.116,0.842,139.457,281nk7IRScZJrj3veskbDW,105630.0
0.474,0.0266,-28.169,0.122,0.996,0.973,0.101,0.892,67.781,2WEY4VI0zgLGsQLQWdNRC4,61659.0
0.655,0.092,-22.906,0.0571,0.996,0.919,0.0973,0.445,116.599,4zkjDKRClIoGCjzVzh4x6R,75803.0
0.563,0.0423,-25.557,0.222,0.995,0.955,0.101,0.303,75.36,1mhDofX8Jy9eTfiWZQXSzY,96282.0
0.485,0.0453,-24.41,0.0693,0.994,0.97,0.106,0.473,172.222,0UIcUfBUAayEf7c7EP3igY,150662.0
0.425,0.0653,-29.162,0.0605,0.996,0.96,0.109,0.597,133.016,6D8blsYLr2kmTvZIJsAzRv,130269.0
0.607,0.021,-30.224,0.0403,0.995,0.966,0.13,0.306,68.606,5lwKHPF8C3a0z3IrFqpCPu,76410.0
0.512,0.0177,-29.88,0.0552,0.99,0.934,0.103,0.138,117.492,2EJ8IyDnVE9o6qJH9gEA8G,103750.0
0.601,0.044,-23.197,0.0667,0.996,0.968,0.0964,0.455,86.479,1rCBX1iRZwzrTWC5FnHaei,132995.0
