danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.571,0.307,-10.958,0.0499,0.649,0.0,0.178,0.108,83.72,6mb6lVLNrcUgLnEN8QnDJd,163387
0.543,0.485,-6.85,0.0305,0.558,0.0,0.12,0.371,136.961,0qcr5FMsEO85NAQjrlDRKo,223840
0.65,0.584,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,760jhRscwGbIIe1m1IIQpU,202227
0.62,0.496,-7.509,0.133,0.597,1.36e-05,0.322,0.636,126.032,0OFknyqxmSQ42SoKxWVTok,112205
0.274,0.144,-14.516,0.0482,0.92,0.000388,0.29,0.302,61.551,7tUSJY4nsDBJTjd1UXKRsT,195493
0.673,0.42,-7.581,0.0317,0.112,0.0,0.0897,0.385,108.066,03xWMkKEbeO4SnylA53ipj,152333
0.737,0.637,-6.308,0.0735,0.262,0.0,0.319,0.537,100.033,3IPnBzGRMg6BfViFxxa0Gq,124733
0.474,0.82,-7.699,0.243,0.493,0.0,0.0978,0.697,164.718,4zDfgax6Ihb0UWdour1ZEs,140573
0.718,0.709,-5.568,0.039,0.258,0.0,0.101,0.54,119.974,3XoYqtiWHhsk59frZupImG,179427
0.5,0.342,-9.536,0.175,0.536,0.0,0.59,0.684,77.124,7bG6SQBGZthPDG5QJL5Gf7,110987
0.321,0.429,-7.073,0.0302,0.724,9.1e-05,0.0606,0.174,123.419,50WeOnXhM1H7AZEeIDoWfZ,260907
0.306,0.121,-15.551,0.0554,0.85,0.000176,0.257,0.166,174.053,2yi7HZrBOC4bMUSTcs4VK6,206507
0.517,0.421,-12.822,0.172,0.813,0.0,0.0788,0.578,121.459,6btdYzQ8eZFBrOlUKVHuz0,224733
0.524,0.504,-7.641,0.05,0.82,0.0,0.0817,0.327,123.66,1cPfKp9ThNZ1fez9itmUMN,333265
0.607,0.543,-7.603,0.0991,0.628,0.0,0.172,0.885,134.242,0x6KKx5DATCW0tBdosjMyg,191413
0.577,0.45,-8.516,0.0834,0.357,0.0,0.111,0.83,205.863,52xJxFP6TqMuO4Yt0eOkMz,216120
0.788,0.745,-7.072,0.258,0.29,0.0,0.0373,0.672,135.278,6U4VqEHy4n5VeiH4pQPL24,163893
0.594,0.628,-6.345,0.359,0.12,0.0,0.0582,0.556,141.391,4b1yxSdlumA8N4fEk4UOZp,257213
0.408,0.313,-18.09,0.137,0.617,1.18e-05,0.115,0.725,170.013,5k3U0OGYBccHdKJJu3HrUN,213600
0.672,0.322,-17.669,0.0339,0.144,2.96e-05,0.074,0.496,113.852,28UMEtwyUUy5u0UWOVHwiI,201680
0.689,0.533,-14.205,0.0544,0.321,7.37e-05,0.0958,0.898,98.801,0qxtQ8rf3W1nId3D2r0xH4,170880
0.283,0.227,-15.793,0.0366,0.846,2.08e-06,0.1,0.128,121.419,1hwdPQtFHISvZ9SXMkNrIK,160800
0.702,0.624,-9.927,0.0285,0.314,0.0152,0.0669,0.947,114.542,7GmiJVBAzWNikX5VkNQg85,208227
0.323,0.405,-8.533,0.0413,0.849,0.000544,0.138,0.274,145.104,3Z0oQ8r78OUaHvGPiDBR3W,194848
0.511,0.475,-14.667,0.161,0.708,0.0,0.105,0.819,98.957,6oYkwjI1TKP9D0Y9II1GT7,195147
0.354,0.411,-6.018,0.0344,0.815,1e-06,0.106,0.43,90.831,70b5Sq3ePOu3Gqg0hjlOtR,225080
0.688,0.732,-6.162,0.0618,0.0536,0.0,0.145,0.665,97.703,5f2TWu6R2YYCJtLQ0fP78H,155532
0.707,0.656,-9.279,0.173,0.743,0.0,0.172,0.748,118.037,2bwSCIuNtVrQPVddCi8sOW,210320
0.905,0.631,-10.06,0.177,0.129,0.0,0.101,0.751,105.026,4bV5sf2B4hWBBd5HQ8S7KB,160947
0.705,0.609,-4.897,0.0307,0.0257,0.0,0.0846,0.476,115.474,1N3dZ7TTWO6VcD4Y3hHYLZ,196853
