danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.56,0.0452,-18.185,0.111,0.537,0.778,0.0804,0.805,137.841,0auI02VsQeSX5DJ3e17Bmh,91004.0
0.558,0.149,-15.532,0.125,0.989,0.962,0.107,0.644,133.126,2VZF8Q8GoTGQPSOZikEAZl,106093.0
0.716,0.0626,-21.4,0.117,0.996,0.964,0.13,0.267,83.342,4qshSUTSmcdgrMNyxgk2P2,77401.0
0.352,0.0588,-21.926,0.0655,0.992,0.959,0.12,0.655,173.491,1neW540exG7Nm22gWhiHDu,72754.0
0.549,0.0598,-20.032,0.0533,0.996,0.969,0.123,0.546,50.289,2Tp0gVMGxB3s23g8dScJes,76130.0
0.679,0.0401,-18.489,0.182,0.995,0.963,0.152,0.397,71.921,2q9xrd99wsoIskmSRrWA2J,110452.0
0.609,0.0711,-29.12,0.101,0.996,0.964,0.138,0.401,94.899,3lUeZg1nFKs90uuP759lLx,98500.0
0.594,0.0737,-17.277,0.062,0.995,0.949,0.11,0.348,138.062,5uUBBxRCra5nkzhMDumebO,117902.0
0.762,0.0458,-30.304,0.0845,0.996,0.967,0.0972,0.887,56.027,7z1VnmeKEV0iNhjPo6ILTk,152143.0
0.658,0.0791,-22.976,0.185,0.993,0.967,0.124,0.778,82.584,2LAf4b2AM8H7tN1qzYRJDc,97250.0
0.638,0.0116,-28.646,0.131,0.995,0.952,0.108,0.336,87.738,2WPQXLUNLV0MpnLsXq216q,141039.0
0.573,0.1,-16.932,0.0672,0.989,0.943,0.11,0.0851,125.359,04NuldVRd8pUIpmgEwUC3C,127694.0
0.672,0.00985,-20.8,0.144,0.972,0.959,0.106,0.394,122.079,3I31ZqTMemYn9LqnZf5cJt,95312.0
0.464,0.197,-20.822,0.0825,0.993,0.891,0.105,0.513,83.813,0n72nvkzZjI1hEXAe64wzA,142250.0
0.539,0.0515,-28.944,0.137,0.994,0.967,0.102,0.648,62.655,4kcH5LaUrWwGHb1BlIAhSD,127250.0
0.531,0.0248,-22.006,0.0312,0.99,0.904,0.108,0.35,77.799,1YnMwAi7bVwAFyAWhrzTt9,85771.0
0.623,0.0302,-29.438,0.266,0.996,0.973,0.122,0.868,122.362,3FUSlmcxGqDSrqg498rXhS,101250.0
0.34,0.0333,-27.142,0.123,0.994,0.967,0.0779,0.675,166.925,66TR57LOceNV0jviVsp6HC,99125.0
0.605,0.0567,-19.449,0.0623,0.988,0.947,0.0857,0.508,115.411,2XN4TGkQYND2X9BCdzXKqX,102807.0
0.832,0.0599,-15.808,0.256,0.989,0.919,0.118,0.478,111.789,5JI8o8Gt9V7csefGcOINA0,62297.0
0.71,0.298,-19.889,0.0842,0.884,0.867,0.0784,0.984,119.696,2zJAXSQ9Vp8g39Na5hsJ2s,82083.0
0.637,0.038,-16.13,0.0951,0.879,0.855,0.104,0.357,128.607,0CBLqVCOalzlHumLvX0IEd,75521.0
0.535,0.0646,-19.327,0.385,0.975,0.96,0.109,0.279,77.513,49INsxQEM7B4lAHbHXSuxD,113125.0
0.545,0.00444,-26.393,0.169,0.996,0.959,0.11,0.671,63.339,2OaFLsGttK4pQaun0vLU4d,81622.0
0.592,0.05,-22.988,0.111,0.994,0.967,0.104,0.492,116.821,24wJorV1SF4AfPPCI7k97q,63243.0
0.488,0.0257,-22.213,0.0572,0.992,0.941,0.119,0.158,80.656,4eIZdb7KkPKcXhmWimNTE1,120478.0
