danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.446,0.124,-29.653,0.0385,0.981,0.951,0.109,0.265,105.318,6BYKWcHi1QjG8AtPkKFD4C,119662.0
0.289,0.00751,-32.953,0.05,0.984,0.882,0.108,0.173,79.917,5NoSvkAWZakc4pWrd3sJHC,136500.0
0.652,0.0439,-24.37,0.0895,0.996,0.958,0.104,0.803,76.364,43JkPkAXVCcyuZK8WqBZT3,118918.0
0.465,0.0289,-27.689,0.043,0.996,0.959,0.136,0.448,99.873,4SMp3hkQV64IoaaKsBQoBo,123500.0
0.443,0.0248,-25.351,0.0622,0.996,0.967,0.12,0.52,68.123,147gCksvDRmjG1pO51ZCcf,100562.0
0.397,0.0296,-27.502,0.0447,0.991,0.949,0.0864,0.799,101.435,2PqiCiWnloBwbtRDopvSZU,114091.0
0.352,0.0588,-21.926,0.0655,0.992,0.959,0.12,0.655,173.491,1neW540exG7Nm22gWhiHDu,72754.0
0.609,0.0172,-28.573,0.118,0.996,0.973,0.108,0.89,68.619,1dKxf4Ht2SsKLyXfSDJAgy,82500.0
0.583,0.0796,-29.559,0.15,0.996,0.969,0.101,0.774,122.182,2Ygx4161pwI6xWkd3zu6HV,81750.0
0.578,0.00756,-33.493,0.0728,0.996,0.97,0.0773,0.324,78.985,4BnTacOCGVq0PLgiIR4O2C,96636.0
0.545,0.0284,-30.433,0.0991,0.995,0.958,0.168,0.92,67.659,1ufUQRuEPV4m0c4eWeKsOc,76216.0
0.634,0.00281,-29.403,0.0592,0.99,0.931,0.103,0.473,115.202,4Inc8AkgrMinJkUTwgR8JX,93922.0
0.603,0.00543,-32.068,0.0629,0.996,0.97,0.0921,0.839,63.589,1sDjxNFyypPdv3SuHb8tSB,93000.0
0.632,0.0242,-30.848,0.244,0.996,0.97,0.101,0.651,79.464,2plQn19ZnV5cquaAPu3NZc,103625.0
0.592,0.0827,-30.577,0.0389,0.984,0.879,0.118,0.448,64.297,5lGbPQlAf985dbQwKs3SeU,110217.0
0.581,0.026,-24.717,0.0508,0.993,0.968,0.135,0.205,77.988,2biFygmxMUsxlbIYrGVOkC,130000.0
0.49,0.0268,-26.278,0.0999,0.995,0.948,0.104,0.832,208.316,1g018zlZlQXBUw6FYvexxU,88884.0
0.445,0.0134,-28.504,0.0447,0.995,0.963,0.0873,0.276,64.089,51OmKI5UtlEgtMKlj1Llgk,145163.0
0.531,0.0248,-22.006,0.0312,0.99,0.904,0.108,0.35,77.799,1YnMwAi7bVwAFyAWhrzTt9,85771.0
0.636,0.0237,-25.661,0.117,0.995,0.97,0.112,0.676,134.816,31czMw13DeNKlKSzpkhtXp,96102.0
0.42,0.033,-28.713,0.0353,0.993,0.922,0.121,0.138,133.776,2rvH33qiSxBPYXB2nMeYGt,175000.0
0.531,0.0337,-28.114,0.044,0.996,0.891,0.11,0.51,114.285,3OqMH2afD1luc6LkPCSXL8,72949.0
0.494,0.0165,-28.487,0.0547,0.987,0.965,0.0983,0.296,64.879,4QlZFHDwrV9n8aZ8cWslaB,125000.0
0.625,0.0267,-25.567,0.0372,0.989,0.953,0.185,0.23,59.056,1TFzBNWPnHtHhDhdyNI1eT,120000.0
0.537,0.0168,-27.941,0.07,0.996,0.963,0.0849,0.936,72.187,3lTPY5wxck9tBvuROCct7c,68649.0
0.653,0.00486,-22.472,0.118,0.996,0.962,0.101,0.614,98.33,2IfpYMm771j822FH5FVTpY,84181.0
0.782,0.0197,-29.438,0.0677,0.996,0.962,0.102,0.892,70.026,1ikXHodxfzZNYZXSzv0UST,124286.0
0.357,0.00331,-32.336,0.046,0.996,0.952,0.0963,0.4,98.907,1hXVKf8iXLbvpM546ptPFZ,90427.0
0.5,0.0207,-28.785,0.0517,0.996,0.961,0.0864,0.492,173.052,5IHcpNi5zMtQFDLhMPBFOA,99402.0
0.486,0.184,-26.136,0.117,0.996,0.973,0.102,0.83,68.341,1YfOi6EOZxp3zKIXuXTxYA,85500.0
0.58,0.0697,-30.498,0.0705,0.994,0.966,0.11,0.554,63.855,37kjqjUgTdKgvvjgsExBKB,64000.0
0.867,0.0551,-26.325,0.353,0.995,0.955,0.0971,0.742,69.948,7m8gA1WxEKPlIKsChhuTtk,135208.0
0.474,0.0446,-29.155,0.101,0.995,0.963,0.105,0.766,117.982,0kHZ9XUe9ewCb7GUZjArlP,104000.0
0.721,0.0402,-28.748,0.113,0.995,0.971,0.111,0.842,61.781,0s5sRfIRGstws2SF4nEhSL,129500.0
0.48,0.0416,-30.322,0.0769,0.995,0.968,0.113,0.645,97.037,0ssGaSyS6FrfPa6NtncKnr,125250.0
0.568,0.0176,-30.386,0.0777,0.996,0.925,0.0873,0.627,119.8,0Uf7YfpUwzvMvcvYbPm2Ib,136251.0
0.652,0.0221,-27.415,0.0623,0.995,0.953,0.0766,0.815,74.777,08ZmHvSIhQl4T8zCEcvQuH,91062.0
0.598,0.0387,-31.039,0.196,0.996,0.971,0.144,0.75,71.192,047f2N27bn7YVyDmjN2CcH,104250.0
0.625,0.0326,-28.091,0.101,0.995,0.965,0.0796,0.409,134.207,0jN75qBVKAWZqhxOXKyQB5,79614.0
0.573,0.0224,-24.362,0.333,0.996,0.97,0.106,0.807,65.16,71tEUkRXpGDFEqAkVIcOkX,137453.0
0.36,0.0174,-29.476,0.049,0.995,0.91,0.094,0.479,78.991,2rSKZz8D6GjCyFoBtnMrJr,84595.0
0.694,0.00656,-22.345,0.104,0.996,0.972,0.106,0.809,130.159,0uSaKxMuMKIxksSDvNTiY9,123469.0
0.444,0.00496,-25.271,0.0585,0.995,0.947,0.208,0.276,68.528,3wqVMY63RfSWuXVBsppr77,92973.0
,,,,,,,,,,
0.493,0.00356,-26.853,0.0509,0.996,0.935,0.127,0.864,69.977,0F1XRhGjNehOTU9wzHoOpA,61081.0
0.387,0.0695,-22.846,0.0386,0.989,0.946,0.117,0.38,100.475,69yqJDedbETZZWbNAZoB9w,70906.0
0.601,0.00937,-24.605,0.12,0.995,0.923,0.0932,0.719,95.305,18yeinKKQE4obQK8bs0iqa,66132.0
0.415,0.0568,-28.166,0.039,0.987,0.93,0.101,0.298,61.515,3VKuGHMdxkXLATdMPKK7ih,81839.0
0.745,0.0725,-24.98,0.441,0.996,0.966,0.0937,0.683,69.382,20yZQDGlkCdCfXvDMZLBeS,105704.0
0.333,0.086,-32.731,0.0861,0.993,0.972,0.107,0.631,203.431,7AnxXHYrL5oWZLMKnkY8oc,115875.0
0.729,0.0244,-26.285,0.18,0.996,0.969,0.103,0.598,63.906,4AWYArPZBjVldd7QV7KQHr,92000.0
0.551,0.00843,-20.162,0.0865,0.995,0.946,0.131,0.406,139.13,4Qs0Xv9tpzOc7SPY5s1mVn,103607.0
0.585,0.0139,-24.441,0.0726,0.995,0.936,0.112,0.343,80.924,7pH5qDUn1EhsAvoK66Ykj6,109250.0
0.393,0.0289,-29.553,0.0308,0.994,0.926,0.105,0.223,83.785,3sczfPrh9pmu3mkLGNSmJ1,74507.0
0.673,0.0304,-30.82,0.19,0.996,0.973,0.0979,0.883,67.148,3Hfc2BB0RAZ13TW1TFliE6,74500.0
0.583,0.0189,-24.063,0.0685,0.995,0.947,0.108,0.32,64.51,7u42YpWdUuymB2hEct0m20,130555.0
0.49,0.0624,-27.13,0.078,0.996,0.952,0.11,0.54,123.767,6gADa9cE5XwpVQQLH5HqG6,127500.0
0.503,0.0798,-26.336,0.139,0.996,0.97,0.127,0.91,212.704,5GrcAAUOcEozkmvXfQI8Jd,105579.0
0.634,0.0784,-23.129,0.0884,0.996,0.921,0.13,0.657,111.834,5IZygSMNKKsStlhRZEpAOg,108672.0
0.521,0.00431,-25.282,0.145,0.995,0.878,0.0866,0.381,58.181,39KcOZBl9cdMR3ReyV3VBK,123780.0
0.52,0.0975,-28.281,0.0469,0.975,0.968,0.127,0.443,137.348,3gYcHzSXbTQ0A8AcOoczZN,113533.0
