danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.801,0.502,-7.169,0.408,0.141,0.0,0.153,0.215,75.019,4r4PJQBHAE0bIKCjunhTgd,255557
0.727,0.431,-12.007,0.395,0.0111,0.0166,0.506,0.223,150.005,6DB2KOEwHnjkgEnBt5SdeJ,257987
0.92,0.675,-5.661,0.263,0.307,0.0,0.104,0.749,141.967,6p8NuHm8uCGnn2Dtbtf7zE,304041
0.763,0.598,-6.865,0.0539,0.0714,0.0,0.112,0.182,140.987,1yxgsra98r3qAtxqiGZPiX,190678
0.817,0.587,-6.502,0.108,0.052,0.00165,0.185,0.352,140.062,2XaInsPPUkZRkY4uFJ3AHK,209143
0.747,0.704,-6.743,0.0986,0.136,0.0,0.131,0.494,136.936,1jQsKN68yE94tMYml0wHMd,213693
0.71,0.547,-8.215,0.0691,0.022,6.04e-05,0.12,0.142,152.003,0dvu4Irbq0SM5BWny30rRR,202752
0.967,0.646,-4.818,0.0593,0.0242,2.31e-06,0.0916,0.2,124.994,5hfpu8saHLGedbHRtNCYjm,203000
0.851,0.625,-5.417,0.303,0.195,0.0,0.266,0.668,99.061,2NyrXRn4tancYPW6JwtTl2,158684
0.704,0.558,-6.042,0.287,0.379,0.000111,0.407,0.414,163.964,5HtziFfFGxXpugCqZaAHoY,260009
0.898,0.283,-12.335,0.356,0.319,0.000383,0.11,0.469,138.97,0utlOiJy2weVl9WTkcEWHy,216520
0.702,0.762,-2.733,0.0328,0.00196,0.000451,0.142,0.233,95.019,4f1QbCjIAgQwnf7ms9NXWx,164200
0.94,0.615,-6.284,0.155,0.119,2.96e-06,0.0849,0.702,135.97,6HL9fQAZ5jwajChlEIqVzf,227667
0.511,0.735,-6.026,0.239,0.352,0.0,0.196,0.379,110.965,27mF2eUbhExYWiOT0y9cuc,276160
0.434,0.785,-4.169,0.128,0.00895,0.0,0.132,0.38,106.926,4QwyZncLTHlA1y409ogbON,332600
0.852,0.715,-6.788,0.195,0.43,0.0,0.176,0.607,120.036,40w54lV96ebjEfTAHKujAb,302067
0.564,0.797,-5.193,0.319,0.263,0.0,0.33,0.735,129.939,4ZouZMeVN4sXoASghgfGpv,254787
0.81,0.64,-7.001,0.28,0.27,0.0,0.529,0.681,113.976,01yblO2BTB0PShDWXlpTd6,242333
0.907,0.489,-5.79,0.158,0.0477,0.0,0.115,0.252,136.982,5wihevBA7MO9PNYyWyTfkh,211244
0.745,0.686,-5.7,0.0313,0.528,0.0,0.176,0.437,121.978,204U3zjm9kkzX25Pr4Rdld,363934
0.779,0.56,-7.564,0.253,0.258,0.0,0.241,0.421,142.032,1r0faljjM2b876iNoaDUh5,287320
0.79,0.621,-7.634,0.275,0.333,0.0,0.122,0.15,118.895,1bzM1cd6oqFozdr4wK6HdR,252040
0.801,0.64,-5.508,0.278,0.0422,0.0,0.111,0.218,127.986,1o8jNa1Rsgh0iI9KQKRDHN,215440
0.716,0.531,-7.355,0.122,0.0703,0.0,0.224,0.344,71.994,0AOvNRgl0SMfOibWA5bP8o,386907
0.779,0.572,-9.985,0.378,0.157,0.0,0.246,0.647,135.956,2P3SLxeQHPqh8qKB6gtJY2,300160
0.487,0.729,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,2cDCojn6uIBM6A5xTAbl3H,350120
0.716,0.485,-7.745,0.404,0.123,2.69e-05,0.604,0.26,74.132,5ujh1I7NZH5agbwf7Hp8Hc,313787
0.631,0.791,-5.776,0.227,0.0545,0.0,0.226,0.123,133.672,7ALEBJ8LOQqXVJ2tqnXtoH,278800
0.587,0.711,-6.33,0.42,0.171,0.0,0.125,0.381,98.008,3muBQDekYAg7jm6hDu6R0Z,254694
0.784,0.66,-5.813,0.308,0.226,0.0,0.117,0.505,150.169,3eQPJYfhgcW3T1ypwIZN7n,173512
0.73,0.54,-10.805,0.838,0.854,0.0,0.269,0.664,118.123,4W50Sqm4ME8i1Z9TTYgWZA,194684
0.877,0.391,-8.196,0.063,0.0317,0.000502,0.0945,0.122,131.018,6UjfByV1lDLW0SOVQA4NAi,189230
0.925,0.443,-8.216,0.264,0.0172,0.0,0.276,0.35,136.078,2bjwRfXMk4uRgOD9IBYl9h,236615
