danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.555,0.634,-5.522,0.273,0.129,2.32e-06,0.188,0.555,170.228,2SiAcexM2p1yX6joESbehd,174045
0.822,0.719,-3.633,0.0576,0.165,2.48e-05,0.174,0.659,82.01,3SlKme42qm1vWrkl3BrZmm,225366
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,2oiixB9QMIzhWaHGVlQx4g,216148
0.951,0.692,-4.038,0.312,0.472,0.000182,0.0894,0.431,115.047,6WbAhuwE6fCOriBu5786X1,201280
0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,1zsPaEkglFvxjAhrM8yhpr,196600
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.754,0.773,-3.779,0.0676,0.0469,0.0,0.265,0.687,88.071,0w49NuhCUPdJpzE3ClojSa,168159
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
0.729,0.894,-4.054,0.0798,0.0612,0.0,0.36,0.757,101.053,0Rj2yNpEvXOl8yn9UOuIRs,224320
0.751,0.761,-4.113,0.15,0.251,0.000238,0.0991,0.553,92.032,0oBtwScT4B4BR5kZitNWd5,151325
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,6G12ZafqofSq7YtrMqUm76,158805
0.77,0.521,-6.982,0.195,0.372,3.91e-05,0.3,0.222,92.014,39qtjJ454r2fgyXaenq8Wv,208935
0.793,0.78,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360
0.662,0.828,-5.854,0.0821,0.148,0.0,0.423,0.451,113.039,6WU2eYUtOL91iROonROPyh,191693
0.531,0.58,-4.688,0.188,0.0984,0.000201,0.101,0.887,169.865,0Dl34Kegtc0y0m0oPhQfiI,151988
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.892,0.662,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976,54ELExv56KCAB4UP9cOCzC,227013
0.793,0.628,-4.728,0.049,0.258,0.0446,0.173,0.561,100.012,5XmAauYsJ9KctEO70myiRJ,148701
0.763,0.669,-4.402,0.0651,0.156,0.0,0.0867,0.609,135.028,5QQKWOwPjG9vcDBTQ5Hv5Q,212000
0.755,0.703,-6.922,0.0757,0.0461,0.0,0.12,0.369,93.943,4qpTCXnBSPtkMEmdE4Dzi8,201387
0.754,0.841,-3.19,0.135,0.113,0.0,0.466,0.541,128.019,493Rk3iS7rs8uPfpnfm95u,267547
0.711,0.711,-6.243,0.406,0.102,0.0,0.138,0.663,173.945,7EyGZtJuOckQfMDJL1PPrH,169560
0.713,0.703,-5.769,0.194,0.298,0.0,0.321,0.576,123.06,5MxFWjuqQIsbNWbMdMdbli,255693
0.627,0.858,-2.824,0.386,0.263,0.0,0.21,0.342,92.523,1ga4PztXOIw1yBbdUt2X8v,209160
0.853,0.619,-5.842,0.154,0.499,0.0124,0.102,0.755,94.988,2GS9AEoOjgbztBfIbCJ2mr,160421
0.647,0.801,-2.946,0.249,0.0451,0.0,0.0628,0.517,180.108,3PpWCS95gDUDRPko3u1MZ9,166253
0.795,0.672,-4.392,0.0574,0.0396,0.0,0.0783,0.805,92.005,63OA8vSo2PhUkmQopR1l64,191555
0.744,0.783,-4.192,0.0951,0.406,0.000285,0.509,0.754,176.0,06WTESRQbdQE1AQQdtEnWd,209840
0.691,0.801,-4.172,0.0623,0.231,1.63e-06,0.537,0.594,109.99,1A7lwaWzcPtflW1bvrrvDJ,165818
0.865,0.522,-4.648,0.0761,0.105,0.0154,0.0671,0.692,91.015,2CGhzWArXQZG86V1Ztv4Q2,192320
0.825,0.758,-1.73,0.238,0.0895,0.0,0.0661,0.828,176.059,2oNSHvGBGZIrZouRAA1eaX,170397
0.839,0.71,-3.823,0.0409,0.0534,0.0,0.283,0.661,129.998,3c7H5RL3H6jFgDTbMxGBe9,234707
0.792,0.895,-3.112,0.0589,0.165,0.0,0.0501,0.794,94.968,4QtiVmuA88tPQiCOHZuQ5b,201526
0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717
0.855,0.83,-2.815,0.106,0.0783,1.31e-06,0.08,0.775,90.009,3AbNNvo2OmyeDMvRBgf9vk,190667
0.747,0.752,-5.324,0.0417,0.116,0.0,0.128,0.512,106.97,4IsO1J5LSrVwkQOIEdZ417,188411
0.689,0.856,-3.394,0.0813,0.0493,0.0,0.232,0.706,126.108,1c2vVx6knoiZHXbJJ9Mk8L,161881
0.596,0.658,-6.574,0.206,0.00533,3.02e-05,0.0942,0.63,101.056,2frnGNQ88mVmr2da2VKKrN,187257
0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,3IAfUEeaXRX9s9UdKOJrFI,193806
