danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.937,0.63,-6.063,0.0502,0.61,3.88e-06,0.0734,0.943,132.033,0FDTPGlLjF8SGWSsHyzNBe,167273
0.39,0.499,-7.778,0.0381,0.632,0.000497,0.115,0.34,200.156,3NqBxTOMCJ3zW9CIP51td4,275194
0.585,0.643,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,3lGMtkONrZdJ8kTCg6KIFf,221800
0.714,0.645,-5.493,0.0514,0.229,0.00083,0.0942,0.434,85.046,28GCbKgjlVD9eDmasGbe0T,180930
0.654,0.354,-7.358,0.0738,0.724,0.0,0.134,0.262,81.956,2x8oBuYaObjqHqgGuIUZ0b,183547
0.577,0.363,-12.378,0.0263,0.86,0.000282,0.0868,0.265,91.511,75UMtPC77vqKRwfSuYuNPO,247197
0.726,0.544,-4.44,0.229,0.44,3.56e-05,0.124,0.613,178.117,3LWay44eeYFEh27Gf1UA7J,204827
0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,1p7m9H4H8s0Y7SgRm7j3ED,277653
0.732,0.647,-7.031,0.109,0.654,8.12e-05,0.0788,0.82,149.877,5Y1R365I3Z4zAJCr3wMHf1,186245
0.846,0.548,-6.397,0.256,0.241,0.0713,0.0419,0.516,94.925,7MmrcXVA7A5zZ2CbDuGHNa,209680
0.652,0.607,-8.657,0.0368,0.0314,0.00285,0.0721,0.72,94.089,3uMYq07Kj5m564OQwdSCrD,229160
0.764,0.577,-7.764,0.0361,0.113,0.0118,0.183,0.563,124.002,56IhOJAcMc28qxDqjmuwJC,215867
0.857,0.561,-7.288,0.0292,0.435,0.0,0.0831,0.76,99.989,3YmA3gZqlXl0MkwhkVKxRy,272576
0.223,0.459,-9.327,0.0317,0.123,0.00142,0.741,0.151,180.06,7b3k8I1fncAzbk9PHnLkbX,280400
0.463,0.214,-8.959,0.0392,0.843,0.0,0.14,0.452,141.865,57i3tg8kJYRL13vZqoq0kC,277675
0.537,0.502,-8.406,0.025,0.44,0.0709,0.199,0.288,80.511,3oqWr0jDWNXxWufNogGREp,232027
0.667,0.287,-9.718,0.0334,0.769,3.61e-06,0.106,0.545,127.981,5wWxUdgn2OugIOvLJOdreH,279213
0.7,0.545,-5.563,0.349,0.723,0.0,0.111,0.643,91.05,2rm9Jixn9sLzTM6PF8u8AH,159483
0.738,0.8,-3.366,0.0283,0.043,0.0543,0.595,0.532,122.858,65DBZofI0b79kfHTcWWDuU,200800
0.838,0.708,-4.668,0.166,0.176,0.0,0.343,0.96,119.984,7MVIfkyzuUmQ716j8U7yGR,128677
0.74,0.428,-8.458,0.0959,0.644,1.76e-05,0.117,0.281,84.739,1ZR473PTTSHGcnyRyidBoA,142576
0.868,0.347,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,4VywXu6umkIQ2OS0m1I79y,207680
0.603,0.31,-10.843,0.0447,0.793,0.0,0.108,0.48,188.155,75zvC8d4iozawMJvxt8T1f,228253
0.679,0.368,-15.449,0.0251,0.689,1.02e-05,0.28,0.736,104.931,2qBirMakpTdz9ymxrZEyzg,160867
0.551,0.624,-7.42,0.0744,0.808,2.99e-06,0.329,0.633,100.555,4zsDA31stWMtLveU61hejd,218440
0.798,0.299,-9.634,0.0447,0.723,3.67e-05,0.129,0.701,115.03,7FwSZyO5ynlN0OJGVOjE6k,206147
0.8,0.925,-5.709,0.0369,0.132,0.000463,0.089,0.864,127.018,2K6QTldAHBRFk3c6BHWYr5,207633
0.68,0.527,-6.748,0.11,0.232,0.000402,0.115,0.192,88.958,3CQDFLetMMxD5hzAnUk410,219681
0.853,0.48,-9.052,0.0512,0.0234,0.000618,0.0323,0.815,92.157,6yyrsrci6u2nreFlhXSy3J,254865
0.444,0.471,-9.107,0.0322,0.00161,0.00159,0.14,0.205,76.335,6gwaa6ElIixNTvu6RwkMyo,273800
0.72,0.325,-16.922,0.0319,0.0756,0.0,0.308,0.318,101.3,2PkTjm1QAJCZbJ9MqC4RqA,178267
0.775,0.576,-6.343,0.0693,0.528,0.0,0.115,0.637,89.99,5aQtcr0PfEtk4FZCz5rLdV,254667
0.622,0.818,-6.784,0.0327,0.0831,0.0,0.31,0.849,138.495,5QhOF5HXgZ0OFUZSE5kEv1,208200
0.643,0.616,-6.358,0.0266,0.469,5.74e-05,0.0886,0.652,139.931,6MuJUSYCqA4FpMogUHzb2R,185867
0.656,0.652,-7.899,0.0276,0.0428,0.017,0.121,0.527,140.004,06kZbAkPevdwrQDa1Y41UM,221250
0.554,0.672,-7.489,0.0291,0.0169,5.42e-05,0.186,0.285,111.963,10zSgbysU2KyVTrcRmtu62,283884
0.751,0.595,-6.422,0.0274,0.209,0.00268,0.0881,0.713,92.999,12UQIJePnGeLmpVReYpG2w,160493
0.587,0.639,-8.065,0.0357,0.395,0.0,0.68,0.789,116.499,0639sfoRA7sW4fGS1EzcQu,249307
