danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567
0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120
0.792,0.895,-3.112,0.0587,0.165,0.0,0.0501,0.793,94.968,737gzPI5VAmgUGWiJ9yXuu,201526
0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,3IAfUEeaXRX9s9UdKOJrFI,193806
0.843,0.7,-3.563,0.0803,0.0934,0.0,0.14,0.899,93.991,1ri9ZUkBJVFUdgwzCnfcYs,226088
0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,1zsPaEkglFvxjAhrM8yhpr,196600
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717
0.531,0.58,-4.688,0.188,0.0984,0.000201,0.101,0.887,169.865,0Dl34Kegtc0y0m0oPhQfiI,151988
0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.627,0.858,-2.824,0.386,0.263,0.0,0.21,0.342,92.523,1ga4PztXOIw1yBbdUt2X8v,209160
0.759,0.561,-5.643,0.131,0.803,0.121,0.101,0.491,104.915,7iwJOi3hlMqZt6pj1sQOBj,180673
0.639,0.703,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB,207301
0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200
0.808,0.697,-5.899,0.241,0.041,0.0,0.0546,0.554,95.06,5gflgO9EPbIBf16n5TKnQS,232020
0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235
0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS,206710
0.804,0.787,-3.824,0.0746,0.14,0.0,0.0927,0.562,91.974,2beS6dD5rovBxSA1zYoSHR,309120
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938
0.801,0.633,-2.785,0.0777,0.414,0.0,0.27,0.676,92.025,7kYbxvrGXv8cmKjkqgqhrw,167674
0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,179940
0.712,0.557,-4.861,0.115,0.0397,0.0,0.27,0.594,170.079,2z9YkcLojiOE7Eu2p9lPZR,171987
0.817,0.932,-4.232,0.0467,0.0938,0.0284,0.0792,0.396,126.008,5xhFO6kaUjGcSezSp5hIhG,259334
0.815,0.856,-3.825,0.122,0.4,8.34e-05,0.244,0.872,91.995,5YJ4BVvTFmVCxUyhKejHfR,151667
0.845,0.677,-4.798,0.136,0.269,0.000917,0.108,0.68,90.013,4HYDUMY0xSpeBr0AMY9cUz,219048
0.822,0.851,-3.314,0.0422,0.333,0.00792,0.105,0.749,117.992,1Y62KpDaP5MEL43ZcI6IaG,185085
0.731,0.573,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,47EiUVwUp4C9fGccaPuUCS,205090
0.725,0.86,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,2vmfvSoZBFAt9hhRoEByLi,230125
0.812,0.855,-3.725,0.0554,0.0789,0.000167,0.108,0.573,90.04,48AJSd42lXpicsGqcgopof,192477
0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,6ZOcbKub95XSDESsKKuH41,224997
0.639,0.791,-4.443,0.253,0.0275,0.0,0.362,0.939,92.603,25ZAibhr3bdlMCLmubZDVt,222347
0.762,0.77,-2.758,0.223,0.138,0.0,0.15,0.631,177.998,4HzqWEdAbzcVFDv0pvxV4w,201181
0.68,0.808,-3.854,0.224,0.0911,2.23e-06,0.205,0.868,176.131,3Ne5uYDFzHEFYAPbaBMIck,175317
0.802,0.846,-4.495,0.207,0.233,1.92e-05,0.114,0.26,109.982,0OTNHGKcqQbk51bOYe462Y,227221
0.787,0.7,-4.598,0.0768,0.568,0.00051,0.663,0.791,90.02,6lX6l7OuA3qrnIRfdsr0dw,233453
0.734,0.836,-4.803,0.0735,0.017,1.64e-05,0.179,0.623,80.002,3jbT1Y5MoPwEIpZndDDwVq,270741
0.744,0.804,-6.327,0.0677,0.0231,0.0,0.0494,0.426,104.823,6De0lHrwBfPfrhorm9q1Xl,205715
0.85,0.756,-3.439,0.0407,0.0999,0.0,0.0873,0.896,120.024,4XqXNU8MwPHwbgZmNXmAdc,168601
0.737,0.86,-2.652,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,5w9c2J52mkdntKOmRLeM2m,193227
0.849,0.781,-4.635,0.159,0.406,0.0,0.0801,0.893,84.041,4SJHHpKhcuXwDsCsPqshXj,217143
0.822,0.736,-3.969,0.15,0.157,0.000781,0.0748,0.679,175.93,704LUEih663hiE3CnyUrFW,181107
0.743,0.655,-5.015,0.159,0.114,0.0,0.0764,0.785,172.031,05bfbizlM5AX6Mf1RRyMho,261335
0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,1yoMvmasuxZfqHEipJhRbp,199112
0.759,0.842,-3.758,0.096,0.101,0.0,0.134,0.584,105.059,3JCaq3KDSROg3TXhdiDa9n,263253
0.855,0.83,-2.815,0.106,0.0783,1.31e-06,0.08,0.775,90.009,3AbNNvo2OmyeDMvRBgf9vk,190667
0.714,0.761,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,5y7DaS3jAc9eZzcSOoUIwU,230693
0.877,0.777,-4.246,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,059bcIhyc2SBwm6sw2AZzd,231848
0.773,0.767,-4.019,0.0819,0.0352,0.0,0.299,0.49,94.99,0LKu09Iq053CEUZ5ktQEWc,252162
0.715,0.622,-5.102,0.046,0.163,0.0,0.0948,0.808,80.015,2rCbl9naJYhaxjLsfx88uM,195053
0.692,0.75,-4.328,0.0411,0.145,0.0,0.133,0.443,120.037,5R2hNuiiwnKVAUNktF9j2Y,154000
