danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.806,0.83,-3.767,0.0981,0.117,0.0,0.101,0.663,81.01,1j4yhkxSCEDmiLVKjpYKWq,217255
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,2oiixB9QMIzhWaHGVlQx4g,216148
0.775,0.465,-8.365,0.365,0.609,3.23e-05,0.114,0.707,169.781,6odrHMSLjP3aOXC4ipKUC6,223993
0.691,0.765,-4.727,0.111,0.464,3.29e-06,0.203,0.855,174.021,06s3QtMJVXw1AJX3UfvZG1,246000
0.758,0.888,-2.851,0.0706,0.34,0.00139,0.144,0.408,107.039,0fADaWdT3obxk7zvHS18VY,197383
0.724,0.631,-4.42,0.0686,0.249,0.0,0.213,0.957,176.076,0Iozrbed8spxoBnmtBMshO,160909
0.823,0.892,-5.306,0.119,0.176,0.0,0.495,0.785,100.05,4HehbhlVK81hZT5Yg7QmiR,174947
0.862,0.739,-4.612,0.387,0.703,2.29e-05,0.141,0.885,98.073,3KI4rfS7kRC58Dd4ToY7P3,197663
0.757,0.789,-3.46,0.0583,0.307,0.0,0.0717,0.464,91.911,5jt25aFjW2kNoBqaEVaz5W,202174
0.834,0.828,-2.657,0.0452,0.21,5.91e-06,0.103,0.58,102.019,79HZAZNnOE97rb2hnI0XQr,195294
0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567
0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,6ZOcbKub95XSDESsKKuH41,224997
0.759,0.561,-5.643,0.131,0.803,0.121,0.101,0.491,104.915,7iwJOi3hlMqZt6pj1sQOBj,180673
0.87,0.548,-5.253,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,1O2pcBJGej0pmH2Y9XZMs6,153750
0.892,0.662,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976,54ELExv56KCAB4UP9cOCzC,227013
0.808,0.697,-5.899,0.241,0.041,0.0,0.0546,0.554,95.06,5gflgO9EPbIBf16n5TKnQS,232020
0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940
0.793,0.78,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360
0.808,0.754,-3.774,0.156,0.243,0.0,0.117,0.726,95.046,4llRitxwDsJF4NJbXPfatx,246316
0.87,0.55,-5.537,0.0722,0.102,0.0,0.293,0.566,95.019,3kUq4sBcmxhnOtNysZ9yrp,156400
0.852,0.797,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,228BxWXUYQPJrJYHDLOHkj,192600
0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,1zsPaEkglFvxjAhrM8yhpr,196600
0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS,206710
0.819,0.741,-6.538,0.0412,0.104,0.0,0.283,0.84,97.014,26QKsGW4hMuwiEE1ftUMHe,210933
0.815,0.856,-3.825,0.122,0.4,8.34e-05,0.244,0.872,91.995,5YJ4BVvTFmVCxUyhKejHfR,151667
0.743,0.831,-4.042,0.0584,0.114,6.43e-05,0.35,0.609,95.975,0CYTGMBYkwUxrj1MWDLrC5,168133
0.841,0.783,-4.915,0.0432,0.106,2.49e-06,0.0528,0.514,94.989,7JwdbqIpiuWvGbRryKSuBz,190560
0.712,0.557,-4.861,0.115,0.0397,0.0,0.27,0.594,170.079,2z9YkcLojiOE7Eu2p9lPZR,171987
0.793,0.676,-9.003,0.0633,0.0335,0.0,0.304,0.461,99.009,3cubuvfYq2yHijwV7eCHwL,249463
