danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.736,0.9,-4.575,0.0825,0.224,0.0,0.375,0.562,149.947,6jRZ33ifS5VOTMwmPxhPhN,204000
0.619,0.739,-5.743,0.167,0.464,0.0,0.285,0.672,149.975,6LBpjWMfy1NUfyxAJbcMRs,217072
0.719,0.759,-7.725,0.0542,0.141,0.0,0.334,0.683,152.936,44VMZB1D8fovWxdDIwIPo6,220753
0.698,0.829,-6.167,0.0358,0.195,0.0,0.308,0.933,141.931,03wQrSM0nV1WyPIgWvapG4,174869
0.784,0.775,-4.894,0.241,0.657,0.0,0.0984,0.846,130.1,0HgkRcmGDiza3KTjM3Ifnu,237739
0.744,0.89,-4.684,0.0386,0.178,0.0,0.057,0.77,149.895,6fRxpmgnQVpIlqQ7qxjy7M,362817
0.616,0.935,-2.923,0.13,0.067,0.0,0.0862,0.868,152.949,7o3AnZAepnOd46KYzgpAMf,213333
0.601,0.864,-7.577,0.0474,0.0497,0.0,0.903,0.632,153.007,0wW9gBzVnskOA1xqDXvsVb,178431
0.812,0.822,-6.672,0.0401,0.0854,0.0,0.103,0.924,145.958,5dAxWaxAqZPlXUUxEkIJ7I,238029
0.714,0.844,-3.481,0.0617,0.19,0.0,0.0719,0.626,145.976,66ggNhGinVQLTYJODy6P74,233561
0.656,0.889,-4.515,0.103,0.556,0.0,0.332,0.852,149.992,79pz16ngfYU2iZV0dvj3QU,192507
0.708,0.782,-8.279,0.0813,0.0558,0.0,0.616,0.841,152.991,2WFrChyI5KlmxunG45Sqws,181539
0.614,0.702,-10.145,0.0316,0.0759,0.0,0.297,0.851,147.98,6jDx3MNG0yJdrvEBZohKBE,354627
0.517,0.831,-6.956,0.0474,0.00383,4.62e-05,0.804,0.677,150.933,3Thxy7NVkqg97PVWLrlt2n,230767
0.736,0.916,-4.017,0.0379,0.0679,0.0,0.0485,0.809,149.955,4EOTkRt48d1Eu31V2o4mNw,274260
0.585,0.841,-6.269,0.0408,0.188,0.0,0.36,0.928,156.982,0Ldh6OMRNPUAkDazVwnKWP,246360
0.771,0.743,-4.375,0.0559,0.354,2.74e-06,0.0992,0.864,146.983,248ZoUtGhfMzv7jhDIOK68,232020
0.67,0.821,-4.683,0.0897,0.289,0.0,0.0989,0.735,149.984,2749jULVf3n93RHzAIpmTi,219800
0.668,0.812,-4.841,0.0459,0.0921,0.0,0.211,0.379,76.498,1NMLQOcIXPRwYXh9P8BycF,233288
0.431,0.938,-6.066,0.0453,0.0804,2.34e-06,0.575,0.884,158.375,0SBHkYiZh8ih1RHoOcDtHl,261067
0.733,0.884,-4.987,0.0406,0.073,5.07e-05,0.127,0.869,145.002,2QSGExkfdhQo5mj4dNjAqK,244901
0.717,0.785,-6.967,0.121,0.513,0.0,0.219,0.717,152.981,3Oa9oxOLUYGQgzKXGIMpWy,190045
0.654,0.567,-10.157,0.0465,0.245,0.0,0.159,0.695,123.999,0VyS8re7IhTDbpZmKrKfv2,208709
0.725,0.847,-6.632,0.042,0.0742,0.0,0.14,0.821,149.052,4hUkPGHP86mERlxYzZXF6o,247353
0.756,0.839,-6.942,0.0428,0.0445,0.0,0.112,0.956,147.973,7xUuyJLGZg0osGSxhlI8MV,188945
0.607,0.773,-7.041,0.0316,0.0334,0.0,0.0902,0.862,150.038,0URzkqWsT0YCaV4Nskgwl7,217428
