danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.837,0.459,-8.217,0.0488,0.617,0.00096,0.12,0.589,129.992,6iYurd8rUYCoQTAi1V9XUn,157269
0.766,0.295,-7.893,0.0464,0.947,4.44e-05,0.119,0.805,136.016,6Y46tOTRhkBamosyuWa6YX,188107
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,6G12ZafqofSq7YtrMqUm76,158805
0.743,0.768,-5.235,0.0291,0.216,1.46e-05,0.13,0.878,126.984,5iB0npbmkMygzGFcksUEeb,221360
0.757,0.632,-6.83,0.0549,0.499,0.0,0.0723,0.742,122.936,5PycBIeabfvX3n9ILG7Vrv,235133
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.78,0.792,-5.572,0.0356,0.0695,0.000242,0.0671,0.937,130.012,2PH533J1xudlfZ5GaHAdVX,264758
0.732,0.708,-7.905,0.262,0.534,0.0,0.237,0.717,175.924,6G4U9avyBNEfP0fAIduev3,267787
0.628,0.69,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,7qCAVkHWZkF44OzOUKf8Cr,205907
0.733,0.689,-5.083,0.0307,0.345,0.0,0.0429,0.828,126.943,46GsFW8AFIvi8TUDlYRlXR,246850
0.735,0.712,-5.119,0.0326,0.732,0.0,0.302,0.894,131.938,2dy3TKVDEbIeWxeIb8JWqZ,229333
0.821,0.583,-6.028,0.0472,0.318,0.0,0.313,0.795,132.056,5OPte07J5hRK1pTn0f7ldr,212827
0.932,0.772,-3.599,0.0369,0.225,3.24e-06,0.176,0.863,135.063,0wDEs6WvqDHq4XJZC0dHhO,307200
0.843,0.729,-3.634,0.0374,0.401,1.2e-06,0.206,0.903,123.046,6I86RF3odBlcuZA9Vfjzeq,250640
0.838,0.515,-8.622,0.0658,0.126,0.0,0.115,0.686,130.025,3TtXbnqC4U5BUW1NlOFHVz,160560
0.804,0.56,-6.912,0.0397,0.416,0.0,0.0608,0.768,133.682,65H6t1WQBim6q93yM8fEwn,254720
0.73,0.867,-1.946,0.0325,0.0749,6.81e-06,0.0712,0.929,130.02,07p0kLnvfQQ2bLujHyzSGK,223200
0.826,0.74,-4.45,0.0368,0.142,2.59e-05,0.175,0.733,130.025,5xiAfKzE3mbxYbOkUZPR11,239925
0.736,0.77,-6.477,0.0335,0.109,0.0,0.112,0.837,135.018,3Q7o2zzvXj7QiSCumjBpvu,209516
0.792,0.605,-4.407,0.0341,0.786,0.0,0.0877,0.9,129.921,0muI8DpTEpLqqibPm3sKYf,212973
0.862,0.72,-4.048,0.0379,0.487,1.19e-06,0.0604,0.965,129.972,7D7EH7MGyNHWSkqrszerI1,198707
0.757,0.838,-3.579,0.0285,0.281,0.0,0.331,0.916,140.008,5anRovfNkeo83bshruaWX9,221773
0.757,0.711,-4.643,0.0349,0.36,0.0,0.121,0.817,139.962,6cJLfIqwh0tCKRjYM3WpZ5,206933
0.737,0.709,-6.889,0.045,0.333,0.0,0.289,0.556,125.997,6r46lnXFbE9fr2d3KNaGbe,234829
