danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.758,0.719,-6.524,0.0547,0.185,3.9e-06,0.0717,0.752,124.056,3wyQDkVQ4ZyV6TbnUxMbiU,216160
0.758,0.618,-9.419,0.0257,0.0298,6.55e-06,0.101,0.679,105.214,7eJdx83TiKsVqAzLFBelMO,230867
0.446,0.262,-7.323,0.0449,0.892,0.0,0.0995,0.309,192.432,3ghmFXEXTP6DdVOyvuPHpr,153800
0.601,0.456,-8.442,0.0553,0.683,0.0,0.115,0.563,98.78,0AbscoxNUBOrmEpePPEVb7,219000
0.555,0.363,-7.606,0.0336,0.914,0.0,0.085,0.412,124.031,0QprVASPJEbmOhD9P2gcNG,262373
0.635,0.469,-8.851,0.0428,0.715,5.02e-06,0.133,0.281,146.995,6cZDf3mpynxrZbnx95j0tp,198773
0.55,0.543,-7.933,0.108,0.751,0.0,0.0536,0.65,123.106,63eflEIBAF5VmO5AdVuZF7,178787
0.362,0.368,-12.878,0.042,0.861,4.99e-06,0.0937,0.393,82.751,1MOSRjdAbUhvLNnHCdUEL5,165933
0.797,0.599,-5.248,0.0349,0.671,0.0,0.352,0.817,94.507,4XaVGXF1KVcXBvxN5ovVxM,206320
0.551,0.787,-3.899,0.0691,0.318,0.0,0.0909,0.424,122.181,13bGMVe4lIR3LO7b45hvyg,222080
0.624,0.454,-9.234,0.0292,0.688,0.000181,0.0595,0.305,117.053,5TTfQvVwzlsatGExuQOFCC,232973
0.683,0.555,-9.171,0.0401,0.525,0.0113,0.107,0.446,138.07,7dXY0BIuVGLCIgjuu2jkrs,184520
0.738,0.689,-6.53,0.089,0.249,0.0,0.0817,0.756,91.988,1XpblLS50JizDEF78BsrbF,206605
0.621,0.792,-5.028,0.037,0.151,1.83e-06,0.077,0.375,109.045,1KSFqVqZm5QQXr9FLsppSL,201107
0.774,0.396,-9.268,0.0669,0.765,0.0,0.117,0.63,151.881,1rv2GsrtNqhDhRzokBeCnS,212013
0.719,0.805,-4.688,0.0446,0.0322,0.0,0.0866,0.689,97.993,5e1paVG2mX1A4aHQ8MazoM,172667
0.551,0.811,-5.044,0.035,0.0132,0.0,0.691,0.651,123.986,54vtz2MeGYtbvOG440hsYQ,195973
0.657,0.688,-4.504,0.0874,0.0566,0.0,0.144,0.752,96.072,3Faj4qzIs6EORmnZcnqSEf,191920
0.675,0.679,-4.743,0.046,0.487,0.0,0.0851,0.495,103.928,10ZrEcxWcD9vOSUVhUH33O,205587
