danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.802,0.828,-3.601,0.0756,0.0217,0.0,0.0692,0.722,91.983,0nDGgXV5oI8TdAmWjUx65l,151573
0.891,0.819,-3.964,0.106,0.0261,0.000354,0.173,0.768,101.968,6hf0RpxTbOprT5nnwzkk8e,217773
0.889,0.641,-4.494,0.0668,0.0515,2.75e-05,0.19,0.588,87.99,0bBd6K5X4W7t9GyXcaVOA7,159387
0.622,0.257,-9.811,0.0293,0.478,0.0,0.0954,0.174,79.924,6TYuTMfBTU4hpXrhLsjIiV,190893
0.789,0.802,-5.818,0.0577,0.22,3.44e-05,0.189,0.765,112.962,1Ho6cbsVlusCvv0grlswlj,199120
0.906,0.807,-3.963,0.0904,0.152,4.39e-05,0.109,0.681,97.009,1AFcJGVt4enuH1gqGw2axN,198247
0.915,0.72,-3.126,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,63aj87TQG6F3RVO5nbG2VQ,131067
0.503,0.548,-7.564,0.164,0.0751,0.000234,0.145,0.441,94.036,2CdTLdDjwZdVcm0bresVWx,228920
0.662,0.788,-4.55,0.205,0.0191,0.0,0.0559,0.711,179.876,7iqOIHHEmu6Vhw25GgQ2eA,170760
0.609,0.821,-4.888,0.191,0.112,0.00052,0.305,0.575,115.028,4Zj3K3UaUMC6ndSwl05Zyd,212000
0.664,0.659,-4.232,0.0873,0.0625,0.00024,0.0874,0.797,175.826,5KFHrrBMyGj5MhVbZMM3ts,157320
0.821,0.65,-5.877,0.103,0.239,0.000138,0.11,0.604,164.033,4iDhQFNWG6uHWi7LOKhmkP,202947
0.911,0.669,-6.701,0.13,0.0319,0.0005,0.125,0.673,136.989,4iFSDLdPrWIaYo2VQeCv4f,226387
0.843,0.836,-2.474,0.0695,0.0816,0.00138,0.0532,0.65,94.018,2lCkncy6bIB0LTMT7kvrD1,205933
0.665,0.697,-4.819,0.154,0.427,1.39e-05,0.599,0.556,94.053,5zj8WNkBrEzlI5FKeYV4ol,216747
0.77,0.477,-9.728,0.292,0.68,0.0,0.21,0.565,93.027,48wkz2E0apRJr6E4zQyDpx,209640
0.727,0.687,-5.088,0.036,0.00137,2.51e-05,0.103,0.752,110.031,2psUZ3pOZZ95FHLgPvWv05,222089
0.702,0.811,-4.448,0.11,0.152,0.00252,0.263,0.765,172.007,4L5ltYlOriaIigdAvQT6Gc,215228
0.778,0.651,-5.421,0.266,0.167,0.0,0.177,0.569,100.094,7CtbxAGq2P0jtYh6SH9DMR,159666
0.849,0.709,-4.717,0.0794,0.229,0.0,0.329,0.916,93.06,1syf62zw48zu4FrPwMtDHk,176627
0.641,0.857,-5.725,0.301,0.013,0.00534,0.0695,0.961,122.728,6zEgnpM0qYmHLDnh8WPejL,157733
0.571,0.693,-8.234,0.0545,0.00536,0.0,0.173,0.393,168.169,0EhpEsp4L0oRGM0vmeaN5e,232253
0.811,0.683,-2.028,0.241,0.46,4.75e-05,0.128,0.571,176.037,22Sh5dlwbERqJAq1fZk5b2,190101
0.87,0.721,-5.311,0.11,0.522,0.648,0.108,0.489,92.025,2XghxCSGfhpGR2B3ahQXVr,188910
0.828,0.738,-4.295,0.0516,0.0381,0.473,0.0917,0.818,94.995,3HTbI3yUJQw3fP0Po8qLcD,142547
0.755,0.882,-1.957,0.0532,0.125,0.00142,0.103,0.606,99.984,3JCqB2HhpIPNNg1O4os8o5,193555
0.714,0.761,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,5y7DaS3jAc9eZzcSOoUIwU,230693
0.793,0.771,-3.417,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,35UUpTmrcFXNIVIN26ujXl,247308
0.652,0.595,-4.04,0.113,0.15,0.000115,0.0842,0.444,172.27,4uziEsK1yiqdauKVDPsmVG,150853
0.651,0.561,-5.715,0.25,0.25,0.000109,0.435,0.369,175.992,464uJVLmr0fDJGXOnciaDe,189827
0.881,0.696,-3.838,0.0797,0.137,4.13e-05,0.0927,0.781,97.002,3mQ6SLdxxaL52Yte7KF2Ks,200667
0.795,0.911,-2.228,0.0875,0.0157,0.206,0.131,0.8,164.081,2hsA9YWuF3C9Gosi4dpjJN,182093
0.731,0.787,-5.26,0.0721,0.0853,0.0,0.316,0.393,92.971,5zzbORcD0GwLY0wQHP1Xs1,186693
0.792,0.736,-4.764,0.0815,0.0939,1.06e-06,0.075,0.69,167.915,4iKznA0Zia7dNQxZ6574uC,333400
0.717,0.799,-3.737,0.0525,0.211,3.42e-06,0.259,0.619,169.961,3nowY0ZuWMuAmmAu1plEBP,227718
0.87,0.706,-5.395,0.126,0.0253,0.0063,0.0872,0.593,100.013,2rc7BkzO8qepMFAxHtOrXc,145800
