danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.395,0.784,-5.903,0.132,0.0135,0.0,0.213,0.353,161.946,4CiVz4bw7X1zjCaJ5ZwxUS,203948
0.311,0.905,-4.65,0.0829,1.48e-05,0.000744,0.304,0.172,179.995,3K7YN5yFIZFPTtSwXjpXHR,270454
0.395,0.701,-5.471,0.0377,0.00148,0.0049,0.05,0.148,172.965,1yCE0X5qLWOrLkR8NC0ZUJ,395716
0.447,0.982,-3.82,0.077,6.9e-06,0.0198,0.0517,0.383,94.941,3u4djE2yAEkKMWJEUOOJyT,187895
0.481,0.976,-4.57,0.119,8.25e-05,1.96e-06,0.145,0.189,129.093,3UgZA53hNSPbwtNJ7x8Bd9,216580
0.551,0.871,-3.998,0.0477,9.45e-05,0.0968,0.286,0.367,106.043,35i03ZqMFb5Q3O9TAQ7XLB,261812
0.546,0.899,-6.728,0.0925,0.000659,0.0,0.0917,0.558,165.071,78frUxVotRtpMrNMcyYtns,228727
0.459,0.959,-5.223,0.105,0.00022,5.68e-06,0.325,0.427,95.535,0u9PGHiydskvvPmyPVvm73,187836
0.532,0.93,-5.766,0.0977,0.00531,0.0033,0.113,0.124,101.007,4l0UQ0zDIPYaaa5FF2Kvwt,175205
0.425,0.972,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,6ZCh9hBeFzMIPycRnyPqZT,330453
0.614,0.899,-5.186,0.0384,0.000981,0.585,0.114,0.671,114.932,4sg5Vfd2fM6Y8gMz5VYXz6,244598
0.507,0.816,-5.419,0.0436,0.00118,0.0,0.0972,0.239,91.068,5tX5qGeEImk2CZYyGHrq9I,200495
0.492,0.869,-6.403,0.0673,0.000879,0.00185,0.588,0.136,123.118,2OYtcqflvzQwh3cMPmTHs4,234945
0.208,0.992,-2.63,0.163,6.45e-05,0.0131,0.69,0.0374,98.435,6qA3JeQaSLng3XmIFr7IC0,262925
0.249,0.951,-4.062,0.211,2.49e-05,0.0134,0.0892,0.117,143.018,6pUUtKVRmODliJWTyY2pet,275205
0.458,0.948,-4.759,0.0901,0.00013,0.0,0.194,0.502,160.033,1lk2MrlN6AEdDwWH4WxTPe,208979
0.469,0.937,-3.427,0.0773,0.00061,0.00176,0.329,0.198,89.041,2XNJNwSOq8tLWhQ5a9sGBb,211849
0.428,0.939,-4.917,0.089,2.24e-05,2.89e-05,0.13,0.454,94.972,11beGBTthT9XhdQXYFkajZ,221433
0.463,0.917,-3.776,0.13,0.000266,1.8e-05,0.0872,0.369,160.028,2ah5gOCogw00A62XBoepmc,243978
0.578,0.835,-5.307,0.0313,0.000562,2.82e-05,0.0599,0.926,128.095,720C8mWrqRdh1zYBGqLj9p,199809
0.407,0.95,-6.998,0.193,0.000103,0.191,0.516,0.246,191.741,0FCY8j3JRrZ2ynRUdMK9pS,265750
0.341,0.558,-8.597,0.039,0.0831,0.36,0.129,0.0894,125.076,36sAFU68abNDrMOJI5QYZi,327240
0.352,0.973,-3.25,0.119,1.07e-05,0.747,0.499,0.238,200.094,6P6h9RdPJxPWqFqpLFIYA9,234000
0.393,0.905,-4.382,0.0801,0.000633,0.000137,0.339,0.273,174.986,2Rw6wkd0q3LXx5xsdjLs1P,237354
0.457,0.834,-4.674,0.0817,0.00252,0.00125,0.1,0.201,140.032,1H4Y9uW4N0LsxJUz0VnaPJ,204677
0.229,0.949,-3.315,0.0537,1.67e-05,0.187,0.153,0.4,99.325,0dDs144SVansAFynvKYQMW,271418
0.402,0.912,-3.108,0.0711,2.07e-05,0.0165,0.159,0.217,176.007,7EtQ5CqjSRgItuTYXeEtc9,278182
0.24,0.961,-7.592,0.123,3.63e-05,0.00426,0.164,0.0576,102.424,4jPU94aF0U2PMNN0aBnhgX,338960
0.245,0.889,-3.401,0.0884,9.3e-05,0.835,0.239,0.052,139.775,1PZ1po0vZzESv0AJCURC72,370493
0.437,0.97,-4.285,0.11,0.000557,2.8e-06,0.0591,0.259,129.045,094hTvgTyLna5FsFulp3DH,217321
0.538,0.988,-5.937,0.114,9.7e-05,0.149,0.642,0.42,119.988,4X91JzJfMO32JiyRe62Alv,206000
0.617,0.667,-5.948,0.0357,0.00252,0.779,0.11,0.319,115.002,0cXHEFaNtrgXuoBtOiaZDo,306783
0.495,0.951,-3.01,0.149,0.0006,0.0,0.116,0.515,95.01,1e1rQNYCZToyBDDka1Io34,212082
0.543,0.895,-4.576,0.0881,0.00098,0.000547,0.155,0.623,143.007,5SDhI2jKg0S5fzEEqPCHiV,197374
0.586,0.933,-2.515,0.0578,9.89e-05,0.0016,0.275,0.447,101.982,0gukK40IEqCb6arYVQxMtl,232609
0.508,0.866,-5.785,0.0687,0.000702,0.778,0.238,0.342,149.992,5G6jZFDAFlpAA9v5LTV4NI,206924
0.41,0.964,-5.573,0.14,0.00295,0.000395,0.335,0.0771,104.936,3SDcDLF3wwQwnI3Wst38aY,222571
0.384,0.938,-6.323,0.124,0.000236,0.0,0.132,0.163,92.859,1Gwu3d6lZjL99kw4dcFCsq,186129
0.396,0.964,-4.509,0.0881,9.25e-06,0.015,0.339,0.531,162.036,087mtS3g2C2oL1V1hSmOvB,230434
0.48,0.958,-4.241,0.0664,2.45e-05,0.0,0.52,0.385,110.05,4Y7eqYTpV7fQxpYj1isN2F,179182
