danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.372,0.954,-4.192,0.0594,8.28e-06,0.927,0.324,0.479,163.108,4lTypHFJlOykJPbrHaMLSC,244785
0.485,0.913,-4.899,0.223,0.00319,0.00105,0.301,0.396,159.98,5ANRQynbKDA0Y5OWzFPxzg,203813
0.36,0.887,-6.281,0.129,0.000344,9.16e-05,0.34,0.259,134.967,4eu2uIoc6auaMJ0sVzI1qh,243088
0.414,0.903,-4.716,0.108,8.9e-05,0.00843,0.295,0.486,160.014,76yzd7vlrHw6DhCGsgETly,198238
0.229,0.949,-3.315,0.0537,1.67e-05,0.187,0.153,0.4,99.325,0dDs144SVansAFynvKYQMW,271418
0.509,0.989,-2.71,0.0681,8.72e-06,0.000158,0.287,0.449,113.016,7IIEbK3UP3HDtin5XJ91jm,207478
0.343,0.965,-4.588,0.0863,0.000172,0.000116,0.362,0.211,135.549,1Wg7OGyolmdA7wFpAV2y7h,208000
0.303,0.953,-6.757,0.0968,0.000146,0.435,0.833,0.317,89.765,1Fd8XiyyECWSU4ao7DzAb3,199812
0.506,0.736,-5.284,0.031,0.00182,0.000629,0.0999,0.233,89.975,58Y5toDaRuNdvc1mk0Hlo6,336312
0.49,0.875,-5.03,0.0575,0.000993,0.0,0.544,0.191,90.022,79yyFalyPfayW3LblsAOLr,222833
0.251,0.84,-9.904,0.0945,0.00395,0.0127,0.0828,0.343,150.064,0Vk7mmMrbo9TdQki9WVIGQ,335500
0.29,0.869,-10.024,0.154,0.00123,0.000165,0.117,0.177,111.423,4eLZoP5zSuJmFwydKWSAvL,236360
0.386,0.971,-3.786,0.198,6.33e-05,0.248,0.626,0.332,160.05,3GGnANu7K7It1xaHSxj6jD,265887
0.425,0.977,-4.457,0.0665,2.27e-05,0.556,0.311,0.117,90.017,41A7ddd3pMiX5lX0hAQrfs,353400
0.534,0.818,-12.249,0.0462,0.00616,0.884,0.091,0.122,109.996,6jGuxCMxnnoXrpEAyl6QQM,440727
0.511,0.931,-5.07,0.0401,0.000101,7.61e-05,0.218,0.214,113.001,5o9LbFRtoxDRXiJdlPOXSy,281947
0.465,0.965,-3.979,0.253,7.94e-05,1.85e-05,0.38,0.217,145.023,0dHHyFVp7GL0FCoYtWZbqv,207411
0.511,0.904,-6.202,0.0616,0.000163,0.0151,0.232,0.232,100.07,02RiJ3Y4FYjV6RWABCc3fu,222300
0.508,0.904,-3.801,0.0402,5.78e-05,6.81e-06,0.112,0.4,102.979,03BGskMoUl6CaoBglUcc6q,287707
0.543,0.844,-7.962,0.0367,0.0134,0.0157,0.0878,0.303,105.044,47NmvC3h6W226bFesGsFWq,266286
0.504,0.959,-4.931,0.0592,0.000127,1.23e-06,0.261,0.263,95.009,2TRJtKdk8ZeR9UFzH8EK31,230427
0.533,0.98,-4.818,0.0592,0.000163,0.00031,0.451,0.192,125.019,6CnVeCcn6hgoiPf32QLJK2,223000
0.443,0.944,-9.22,0.082,2.38e-05,0.000127,0.0938,0.321,95.523,3vsYAodbiC1IgDb72Pvnba,242765
0.554,0.935,-4.19,0.14,0.0517,6.95e-06,0.0668,0.304,125.036,3WDjgZaryG9YAcEjPULe5G,142117
0.49,0.9,-4.51,0.109,0.000312,0.0131,0.219,0.224,159.968,4aH9cL5AoA9rdyAcGDfsZc,280120
0.709,0.755,-10.074,0.0736,0.0794,0.506,0.106,0.209,125.065,26jocv9sWHU7Hed7K5Ch3E,222307
0.535,0.439,-6.954,0.0291,0.0228,0.0122,0.11,0.0937,135.018,7yeBvGIwLYhaLXcqwlNfHP,322373
0.367,0.649,-5.751,0.0361,4.83e-05,0.726,0.0964,0.163,119.987,0rFOrGLhowIeFn8XBQYQeR,317733
0.592,0.842,-7.24,0.0753,0.0302,6.2e-06,0.274,0.614,134.08,7tB2O1idqilD8g0cCA6qVx,160400
0.472,0.863,-6.771,0.0799,0.00725,0.00134,0.0778,0.172,88.0,40b0EgUE4XlHnzbv906vO6,392956
0.464,0.935,-4.796,0.0462,0.0015,0.000457,0.0763,0.682,148.721,1PpSehY71EVkeku3e04nar,323853
0.309,0.88,-8.36,0.0546,0.00175,0.0535,0.168,0.269,144.939,3Xp5ID54WsoF3vwHoPceFx,336987
0.513,0.942,-4.951,0.0363,0.000412,1.01e-05,0.176,0.483,99.957,1kOwgYuSkKRKnqF1F3dPrK,276000
0.483,0.937,-3.284,0.0592,1.18e-05,0.015,0.121,0.508,132.13,3L2frdGD2P4IbtNdoXJjLc,177683
0.365,0.954,-4.172,0.11,0.00039,0.0,0.231,0.153,119.915,73dmDQmHWRDRXbek9J3F2k,116056
0.421,0.778,-7.408,0.0731,0.0273,0.095,0.0981,0.0955,160.009,5Vl30DcSMvRb9s4Z3vg6Ua,504750
0.297,0.753,-9.286,0.0427,3.28e-05,0.303,0.218,0.208,169.994,5S1ArOit8zTWvIgSj7fnAc,269127
0.506,0.951,-4.478,0.0699,8.61e-05,0.00047,0.203,0.172,99.93,1FhkxFPLqk9xpog43SvjH5,348876
0.439,0.808,-7.194,0.0407,0.00153,3.67e-06,0.15,0.296,149.925,4x8hEkVM4OXnTyCFhX8MEK,227000
0.438,0.985,-4.529,0.0815,1.81e-05,0.496,0.853,0.143,140.023,5FAi77vFWf1kbkkgnaPmJy,325400
0.406,0.978,-7.717,0.0875,4.96e-05,0.171,0.483,0.0813,130.012,2i9MsYD8hjg68fn15mLu62,194778
0.359,0.957,-5.221,0.0671,6.25e-06,0.254,0.375,0.299,79.952,1NbSXJai6u9SjMFzHlMlFo,206000
0.199,0.942,-3.003,0.0941,4.59e-06,0.787,0.229,0.285,201.111,5LDl0UwOKOzAvUji3Z73ZI,157440
0.409,0.956,-3.642,0.0847,1.56e-05,0.577,0.296,0.342,180.025,1rBEjgnQ2UFveS7u3EYPP7,295267
0.379,0.942,-3.054,0.125,0.000134,1.33e-06,0.111,0.167,152.133,3ZRe0bPDYbiRYR4Zwf2iLr,301776
0.419,0.95,-3.233,0.108,9.62e-05,1.61e-05,0.108,0.448,106.018,7hAfR039udtSgDkLiQReHj,268868
0.369,0.943,-3.672,0.112,0.000168,0.0142,0.598,0.156,84.988,6xaaxDwcHCdbufQHU0ppO2,250830
0.477,0.96,-4.695,0.115,0.000765,0.00413,0.197,0.102,110.048,1zi8usav8eswpD1LttGbDV,261273
0.204,0.821,-8.995,0.0592,0.00206,4.91e-05,0.41,0.377,143.454,3GBdN9OnHNhZQG3AS1IeeS,297500
0.326,0.915,-5.28,0.0517,0.00353,0.426,0.424,0.343,130.047,0g2yKKwPYOHgl8UJ1KoDwq,238080
