danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.517,0.859,-7.01,0.0494,0.00192,0.000514,0.0781,0.313,100.05,3rjgOeWUEth90mFVR82WtG,231762
0.399,0.968,-5.42,0.106,0.00079,1.4e-05,0.215,0.176,170.065,51Uv9TL0fLY8t410e24Q4J,236107
0.393,0.86,-5.229,0.0785,0.000763,0.000145,0.142,0.254,74.793,5Y1kdeI9fwDwsVHrOhnVXD,207680
0.405,0.977,-3.314,0.098,0.000295,0.000557,0.122,0.384,140.169,4Cf7HDam6eNq1Rg2Gv8Ag7,262750
0.36,0.973,-5.125,0.128,0.000226,0.00111,0.169,0.157,154.998,5Tn0ThXVpTRvYOhToHpbqH,239427
0.184,0.972,-3.95,0.152,7.11e-06,0.0197,0.0709,0.318,97.103,6ZxPnDanbbK8UKbRTheSXf,220439
0.435,0.958,-4.114,0.073,0.000284,4.95e-05,0.322,0.165,90.002,0BAJUmKsaCLEu2qakcX4VI,208600
0.5,0.967,-5.495,0.0826,0.000158,9.11e-05,0.353,0.378,124.979,1OZ7RTkwhQgiOBub7HYtu2,284880
0.374,0.966,-4.79,0.191,7.43e-05,0.000886,0.203,0.12,160.027,1KTcrKImHvSKIOp0n2thvC,255020
0.302,0.955,-3.757,0.104,1.41e-05,0.0438,0.368,0.142,195.027,2n0ZEhM5zJcsJ8znt6T6S5,268450
0.494,0.9,-5.23,0.0544,0.00144,4.38e-05,0.245,0.293,89.997,6rKe90NVAyPwbrWj8F9sp8,217880
0.195,0.927,-3.858,0.068,1.94e-06,0.0281,0.333,0.331,154.608,73ewrvx7sdkaOOI3RR4HsX,252867
0.225,0.947,-4.881,0.178,4.68e-05,0.00231,0.265,0.209,111.782,1wkSFtXoIPKCLYZHESRGl5,249653
0.38,0.973,-3.572,0.1,5.57e-05,0.301,0.354,0.388,174.967,4TnMJ2jHaJAnxWTptmkP88,206763
0.12,0.973,-4.315,0.174,9.03e-05,0.000168,0.382,0.211,75.365,0fHllQOoeNt5Mt3duwkXmj,234638
0.18,0.87,-4.445,0.0573,3.39e-06,0.000102,0.363,0.271,111.608,2lnkc0N8tVo0NiYi9mrw8t,280307
0.436,0.974,-4.459,0.0644,7.47e-05,0.000994,0.46,0.221,90.014,37ZAYJJB9EIgNAnXlKT8le,262453
0.495,0.971,-4.709,0.0737,7.51e-05,0.106,0.0877,0.314,131.972,6y2d3v30rdPCDEIDodEagI,247736
0.465,0.97,-3.952,0.105,0.000157,0.000206,0.335,0.226,119.991,4BkF9PQa9r0GApf7zM1p5j,238822
0.3,0.868,-4.068,0.0993,1.95e-06,0.234,0.5,0.185,147.884,6vPa96biMaBYcE9WU4f0cx,253867
0.416,0.947,-5.075,0.079,0.000171,0.000444,0.197,0.293,130.39,4jp8zqZ3lIZUX3JxvpCXLt,290120
0.464,0.965,-4.039,0.0729,1.38e-05,0.504,0.0896,0.208,123.036,5vA6h8ppQuCxGC9LCyzebd,296886
0.142,0.968,-4.498,0.241,0.000522,0.0,0.412,0.143,179.983,5pqHxmH60www6APNCnITiI,202966
0.437,0.926,-5.479,0.0707,7.7e-06,0.822,0.403,0.235,139.905,5fOMC6pwVLRRAdYz55FKyO,110827
0.341,0.963,-5.4,0.0717,0.000277,4.75e-06,0.149,0.279,164.801,7FCGb5BnTtmMo4qBXsWFfe,211387
0.437,0.97,-4.464,0.107,1.89e-05,0.608,0.0247,0.0776,137.058,1TbvciJITPz28HmbCrvFB8,258287
0.311,0.981,-3.742,0.0846,0.000189,7.64e-06,0.352,0.175,95.084,06Ei2CQHVFhWtm725uZFlq,221560
0.297,0.818,-15.764,0.0563,0.00171,7.97e-05,0.384,0.178,119.36,7qTrCiegSVqdYYs2xPVK25,246933
0.237,0.909,-3.708,0.055,1.66e-06,0.514,0.204,0.237,102.601,277lGkxoH37b4UaAJ81ig0,276627
0.197,0.939,-4.632,0.0853,0.00184,3.36e-05,0.0852,0.296,164.528,4bNBRfeQN2d5rWuBAOxZ50,225463
0.443,0.99,-4.361,0.163,0.000161,0.000201,0.596,0.158,129.125,7q0K6KbcycPkYptNlBbzXY,247164
0.293,0.944,-15.501,0.0997,0.00241,0.00112,0.512,0.0524,119.125,1epvvDq0ZxIehyOWeCQQBq,174080
0.13,0.816,-7.495,0.0519,0.811,0.948,0.648,0.182,170.249,7uCPM5JVPVFR3eTfFqi3ts,90867
0.374,0.893,-9.075,0.142,0.000328,0.4,0.908,0.12,154.98,1RwQPVQ09mqbK9czTpDAdF,313249
0.295,0.747,-15.727,0.0887,0.00117,0.0512,0.365,0.166,139.954,4ft4zzuVzayQK5b0TG9oWF,219480
0.285,0.902,-15.912,0.0766,0.00108,0.00138,0.844,0.0719,100.012,3qkFHPSHWNiX8L6uxXb827,280013
