danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.409,0.964,-4.571,0.185,0.00154,0.0012,0.27,0.164,134.008,4whGYZQVkjI7r1hAyc4BFY,202418
0.445,0.984,-3.309,0.119,0.000205,3.98e-05,0.0997,0.178,129.987,0eLcZsqcdFoosQC3DV3d4L,252923
0.499,0.885,-6.853,0.0411,0.0886,0.000958,0.12,0.385,166.905,2xAszZFT3zNdc64U9gNo0b,189231
0.492,0.827,-6.929,0.0442,0.0731,0.68,0.134,0.362,76.923,6HXzMrlbzVUnCkHxk9iL0E,225974
0.345,0.952,-4.566,0.238,2.31e-05,0.00177,0.353,0.326,170.058,49sl0qA6id6Tz84Yrr3BsW,214057
0.265,0.883,-4.948,0.0556,0.0978,0.501,0.2,0.206,126.774,4OFUK9E5ZBOCaDybnjHIDQ,256789
0.419,0.924,-5.403,0.0453,0.00296,0.0226,0.351,0.477,88.489,5K6ooutGWxbvX5ISdKUNrn,226091
0.362,0.919,-4.985,0.0614,8.85e-05,0.0062,0.325,0.309,99.977,7pt5W9YAt2WlW5AsCd1Dcw,287281
0.361,0.91,-4.895,0.126,0.000105,0.0143,0.456,0.4,148.005,6kvQe0HWLETwLcsmn8ceIf,227295
0.381,0.958,-4.641,0.0641,0.000479,0.119,0.133,0.275,138.037,6iyBDmCErZcNNPTagScFhV,292900
0.379,0.668,-6.444,0.0327,0.0522,0.124,0.116,0.127,146.941,5TWhkBxH1XiAtECTutFNXo,313561
0.377,0.943,-5.174,0.0946,0.000483,0.00689,0.346,0.326,194.945,3ZNk6dW7iydfbHzW84JjXA,302189
0.414,0.903,-4.716,0.108,8.9e-05,0.00843,0.295,0.486,160.014,76yzd7vlrHw6DhCGsgETly,198238
0.45,0.961,-4.109,0.0635,0.000172,0.0584,0.905,0.186,109.032,2Bnb2GHR55HZYOIBbzYgap,284013
0.358,0.956,-5.631,0.213,0.0145,0.000724,0.113,0.252,197.864,020xEjfQg3lRvhQm3QKYDd,304644
0.374,0.95,-4.921,0.134,0.000817,0.000284,0.367,0.224,161.996,7jHwHPIssvoedeQ7ccw0HA,209259
0.494,0.934,-5.048,0.155,3.5e-05,0.00479,0.293,0.259,91.502,6DZMEQAPlHVqUp9VwKWHqw,236106
0.183,0.965,-4.377,0.188,0.000828,0.0567,0.0943,0.11,155.039,0azga0slIz2Mf63MlOe4uf,384352
0.419,0.886,-6.994,0.0717,0.0138,0.142,0.108,0.237,147.025,603y6z7Y80XaKMaY5udhcv,255023
0.501,0.834,-7.346,0.04,0.0172,6.2e-05,0.0831,0.141,135.995,2aIn2ojcNblQSt342PYk9y,242005
0.45,0.933,-5.614,0.0838,0.00154,0.0268,0.0845,0.267,134.982,3lRmCPSmymeUKEdAvdQ8Rx,290870
0.536,0.611,-12.871,0.0371,0.711,0.828,0.115,0.335,122.031,24HRVNibmVy86GMz9bQ8F8,83008
0.466,0.715,-8.096,0.0348,0.192,0.732,0.101,0.242,79.985,6a8F171VJyb8Xb7P8vYb7D,283050
0.502,0.871,-5.939,0.0424,0.00371,6.31e-05,0.334,0.238,90.064,2hPpT42jZ4P5blkpsUoOzU,228000
0.392,0.977,-3.803,0.181,0.00781,0.00269,0.138,0.11,147.08,2upfJGTowetgngKIHdf3wr,289388
0.35,0.974,-5.36,0.135,0.000622,0.0363,0.525,0.0469,158.122,7boNMTwk9oDvHwH0TyOEmx,121046
0.281,0.886,-4.537,0.0539,0.00138,0.028,0.255,0.167,196.041,0sjteMfCFgqDfR3WvQmLlZ,220867
0.524,0.956,-5.057,0.106,0.0003,0.000555,0.2,0.335,132.038,4w2D6ajqBdwKGAs4jpDUGZ,240287
0.419,0.983,-3.203,0.132,3.46e-05,3.66e-05,0.483,0.244,154.852,23YdEWMv4160ehxwp2qOKa,250054
0.415,0.885,-6.625,0.0392,0.000138,0.0457,0.256,0.19,156.989,1i9fL2MQnkjDabp3LLY5lR,328970
