danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.654,0.354,-7.358,0.0738,0.724,0.0,0.134,0.262,81.956,2x8oBuYaObjqHqgGuIUZ0b,183547
0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,1p7m9H4H8s0Y7SgRm7j3ED,277653
0.797,0.41,-5.777,0.032,0.158,0.0,0.0552,0.789,83.963,2cIDetbjLPkhYf4r7z86WH,245056
0.537,0.748,-6.392,0.0282,0.000633,0.557,0.272,0.78,124.24,2lpIh6Gr6HYjg1CFBaucS5,212747
0.605,0.349,-13.719,0.096,0.238,0.0,0.0753,0.6,99.362,7JEnT0uFWcwZqNZWv7hC9N,168345
0.708,0.672,-5.538,0.0352,0.346,1.97e-05,0.382,0.963,134.635,198qSChSMQFuSimdeeY9gK,279987
0.537,0.502,-8.406,0.025,0.44,0.0709,0.199,0.288,80.511,3oqWr0jDWNXxWufNogGREp,232027
0.625,0.804,-5.652,0.0268,0.236,8.22e-05,0.308,0.827,129.931,0CgpCtEPvyDizcg2p47VrU,207533
0.679,0.368,-15.449,0.0251,0.689,1.02e-05,0.28,0.736,104.931,2qBirMakpTdz9ymxrZEyzg,160867
0.62,0.741,-6.081,0.137,0.531,2.92e-05,0.156,0.353,140.04,5uHAzGa4d9j35DEbhUwGhi,176395
0.58,0.929,-4.849,0.0388,0.0629,0.000223,0.23,0.884,94.995,0dsViRiDTIuexAL42Nc1Kh,156198
0.509,0.887,-6.647,0.0392,0.183,0.0,0.355,0.824,145.088,2RognU2ViRdA6HxnpAITJl,222347
0.633,0.734,-5.158,0.0277,0.0104,0.0,0.0789,0.945,150.057,2dSz2px33HmyFwL5rDlh2e,195581
0.495,0.596,-5.45,0.024,0.14,0.00316,0.114,0.284,94.119,1rh4kDY9T4fHVDum8Foi5k,233747
0.694,0.531,-8.43,0.0327,0.135,0.0,0.121,0.949,75.003,4k3K6Ke6KfAWb7zyQWrTEA,235200
0.643,0.616,-6.358,0.0266,0.469,5.74e-05,0.0886,0.652,139.931,6MuJUSYCqA4FpMogUHzb2R,185867
