danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.748,0.856,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031,0Be7sopyKMv8Y8npsUkax2,189320
0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,179940
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938
0.715,0.622,-5.102,0.046,0.163,0.0,0.0948,0.808,80.015,2rCbl9naJYhaxjLsfx88uM,195053
0.453,0.673,-5.649,0.144,0.32,0.0,0.131,0.266,92.06,1UdzJEpgJxtuXAlCOvD4S0,159849
0.78,0.718,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949,4fSIb4hdOQ151TILNsSEaF,199604
0.788,0.771,-4.048,0.0562,0.0452,0.0,0.103,0.785,91.945,5iF33sXejXwfTuidVHMll0,169560
0.85,0.541,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,0cOa970mzTWAxKtltpkpLc,165275
0.804,0.788,-4.586,0.0598,0.118,0.0,0.215,0.837,96.005,1Cxd4ZJJ9VOQQpNcpdcZEQ,219184
0.574,0.891,-3.665,0.157,0.0847,0.0,0.16,0.707,100.978,21N4Buj4xsyLb218lYle61,183240
0.781,0.645,-4.136,0.0399,0.0903,1.58e-06,0.226,0.803,128.007,3nfICwo20uiFdEGzgNUSrG,207333
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256
0.82,0.804,-7.226,0.0528,0.175,0.00215,0.064,0.844,110.982,6mm3K0yWp6uzfOMuipM9Zh,211998
0.484,0.962,-3.25,0.256,0.137,0.0,0.174,0.766,154.666,5tpAcJ47UgF4udM5YXcDd2,195760
0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,3k3NWokhRRkEPhCzPmV8TW,258299
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,73vIOb4Q7YN6HeJTbscRx5,206000
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,76OGwb5RA9h4FxQPT33ekc,179551
0.75,0.522,-7.018,0.0293,0.282,0.0,0.0743,0.601,110.427,4OwhwvKESFtuu06dTgct7i,321556
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,6G12ZafqofSq7YtrMqUm76,158805
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717
0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200
0.736,0.727,-4.642,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,6OzUIp8KjuwxJnCWkXp1uL,229065
0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,207853
0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735
0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
0.793,0.736,-3.254,0.0469,0.0822,0.0,0.109,0.656,112.993,2t6IxTASaSFkZEt61tQ6W6,237525
0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4qu63nuBpdn0qHUHuObEj1,154983
0.588,0.701,-6.39,0.0402,0.00813,0.0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM,228000
0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,37BZB0z9T8Xu7U3e65qxFy,191014
0.627,0.858,-2.824,0.386,0.263,0.0,0.21,0.342,92.523,1ga4PztXOIw1yBbdUt2X8v,209160
0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,6dGnYIeXmHdcikdzNNDMm2,185733
0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,206071
0.668,0.802,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,6sZo5nJIsFWXefRCCexpx0,225789
0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041,72yP0DUlWPyH8P7IoxskwN,202246
0.843,0.7,-3.563,0.0803,0.0934,0.0,0.14,0.899,93.991,1ri9ZUkBJVFUdgwzCnfcYs,226088
0.869,0.74,-4.699,0.108,0.649,7.95e-06,0.135,0.598,117.949,2caVKAWz7oM5Hw3LDWWVnQ,206499
0.65,0.306,-9.443,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,3SdTKo2uVsxFblQjpScoHy,180056
0.702,0.773,-9.256,0.0343,0.0288,0.00871,0.147,0.953,103.564,5ubvP9oKmxLUVq506fgLhk,285373
0.776,0.808,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,0z8hI3OPS8ADPWtoCjjLl6,184104
0.766,0.295,-7.893,0.0464,0.947,4.44e-05,0.119,0.805,136.016,6Y46tOTRhkBamosyuWa6YX,188107
0.69,0.973,-3.588,0.0492,0.126,0.0,0.101,0.772,143.957,1mlGScrDQqHqmhdIqE8MmA,231533
0.836,0.637,-4.803,0.0367,0.535,0.0,0.129,0.875,120.025,3UI9I3e1g1y5T3SMfdgfGO,230280
0.744,0.804,-6.327,0.0677,0.0231,0.0,0.0494,0.426,104.823,6De0lHrwBfPfrhorm9q1Xl,205715
0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,108.875,2eF8pWbiivYsYRpbntYsnc,161160
0.699,0.83,-4.898,0.0633,0.00243,0.00024,0.0995,0.889,105.809,6kopmMZiyLmw7h66uXcXR7,219413
0.811,0.588,-3.161,0.0464,0.128,0.0004,0.0929,0.553,107.022,2qEoAz0i6yEz5dPggABcLH,226187
0.612,0.697,-5.476,0.0387,0.261,0.0,0.347,0.633,91.976,5OX1JvE7gTkOd1DSzlrtFw,176087
0.693,0.678,-7.159,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,6oJ6le65B3SEqPwMRNXWjY,228267
0.592,0.355,-14.051,0.0352,0.478,0.0,0.0585,0.499,133.032,3NfxSdJnVdon1axzloJgba,216773
0.722,0.588,-5.932,0.0544,0.0319,0.0,0.183,0.59,134.01,1diS6nkxMQc3wwC4G1j0bh,165507
0.877,0.777,-4.246,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,059bcIhyc2SBwm6sw2AZzd,231848
0.537,0.748,-6.392,0.0282,0.000633,0.557,0.272,0.78,124.24,2lpIh6Gr6HYjg1CFBaucS5,212747
0.777,0.712,-4.84,0.277,0.217,0.0,0.091,0.68,95.692,7KbF6AdprOXEEHlsq11Z6d,175733
0.692,0.75,-4.328,0.0411,0.145,0.0,0.133,0.443,120.037,5R2hNuiiwnKVAUNktF9j2Y,154000
